ICMP Messages/sec,ICMP Messages Received/sec,ICMP Messages Received Errors,ICMP Received Dest. Unreachable,ICMP Received Time Exceeded,ICMP Received Parameter Problem,ICMP Received Source Quench,ICMP Received Redirect/sec,ICMP Received Echo/sec,ICMP Received Echo Reply/sec,ICMP Received Timestamp/sec,ICMP Received Timestamp Reply/sec,ICMP Received Address Mask,ICMP Received Address Mask Reply,ICMP Messages Sent/sec,ICMP Messages Outbound Errors,ICMP Sent Destination Unreachable,ICMP Sent Time Exceeded,ICMP Sent Parameter Problem,ICMP Sent Source Quench,ICMP Sent Redirect/sec,ICMP Sent Echo/sec,ICMP Sent Echo Reply/sec,ICMP Sent Timestamp/sec,ICMP Sent Timestamp Reply/sec,ICMP Sent Address Mask,ICMP Sent Address Mask Reply,IPv4 Datagrams/sec,IPv4 Datagrams Received/sec,IPv4 Datagrams Received Header Errors,IPv4 Datagrams Received Address Errors,IPv4 Datagrams Forwarded/sec,IPv4 Datagrams Received Unknown Protocol,IPv4 Datagrams Received Discarded,IPv4 Datagrams Received Delivered/sec,IPv4 Datagrams Sent/sec,IPv4 Datagrams Outbound Discarded,IPv4 Datagrams Outbound No Route,IPv4 Fragments Received/sec,IPv4 Fragments Re-assembled/sec,IPv4 Fragment Re-assembly Failures,IPv4 Fragmented Datagrams/sec,IPv4 Fragmentation Failures,IPv4 Fragments Created/sec,Memory Page Faults/sec,Memory Available Bytes,Memory Committed Bytes,Memory Commit Limit,Memory Write Copies/sec,Memory Transition Faults/sec,Memory Cache Faults/sec,Memory Demand Zero Faults/sec,Memory Pages/sec,Memory Pages Input/sec,Memory Page Reads/sec,Memory Pages Output/sec,Memory Pool Paged Bytes,Memory Pool Nonpaged Bytes,Memory Page Writes/sec,Memory Pool Paged Allocs,Memory Pool Nonpaged Allocs,Memory Free System Page Table Entries,Memory Cache Bytes,Memory Cache Bytes Peak,Memory Pool Paged Resident Bytes,Memory System Code Total Bytes,Memory System Code Resident Bytes,Memory System Driver Total Bytes,Memory System Driver Resident Bytes,Memory System Cache Resident Bytes,Memory % Committed Bytes In Use,Memory Available KBytes,Memory Available MBytes,Memory Transition Pages RePurposed/sec,Memory Free & Zero Page List Bytes,Memory Modified Page List Bytes,Memory Standby Cache Reserve Bytes,Memory Standby Cache Normal Priority Bytes,Memory Standby Cache Core Bytes,Network Interface Bytes Total/sec,Network Interface Packets/sec,Network Interface Packets Received/sec,Network Interface Packets Sent/sec,Network Interface Current Bandwidth,Network Interface Bytes Received/sec,Network Interface Packets Received Unicast/sec,Network Interface Packets Received Non-Unicast/sec,Network Interface Packets Received Discarded,Network Interface Packets Received Errors,Network Interface Packets Received Unknown,Network Interface Bytes Sent/sec,Network Interface Packets Sent Unicast/sec,Network Interface Packets Sent Non-Unicast/sec,Network Interface Packets Outbound Discarded,Network Interface Packets Outbound Errors,Network Interface Output Queue Length,Network Interface Offloaded Connections,PhysicalDisk Current Disk Queue Length,PhysicalDisk % Disk Time,PhysicalDisk Avg. Disk Queue Length,PhysicalDisk % Disk Read Time,PhysicalDisk Avg. Disk Read Queue Length,PhysicalDisk % Disk Write Time,PhysicalDisk Avg. Disk Write Queue Length,PhysicalDisk Avg. Disk sec/Transfer,PhysicalDisk Avg. Disk sec/Read,PhysicalDisk Avg. Disk sec/Write,PhysicalDisk Disk Transfers/sec,PhysicalDisk Disk Reads/sec,PhysicalDisk Disk Writes/sec,PhysicalDisk Disk Bytes/sec,PhysicalDisk Disk Read Bytes/sec,PhysicalDisk Disk Write Bytes/sec,PhysicalDisk Avg. Disk Bytes/Transfer,PhysicalDisk Avg. Disk Bytes/Read,PhysicalDisk Avg. Disk Bytes/Write,PhysicalDisk % Idle Time,PhysicalDisk Split IO/Sec,Process % Processor Time,Process % User Time,Process % Privileged Time,Process Virtual Bytes Peak,Process Virtual Bytes,Process Page Faults/sec,Process Working Set Peak,Process Working Set,Process Page File Bytes Peak,Process Page File Bytes,Process Private Bytes,Process Thread Count,Process Priority Base,Process Elapsed Time,Process ID Process,Process Creating Process ID,Process Pool Paged Bytes,Process Pool Nonpaged Bytes,Process Handle Count,Process IO Read Operations/sec,Process IO Write Operations/sec,Process IO Data Operations/sec,Process IO Other Operations/sec,Process IO Read Bytes/sec,Process IO Write Bytes/sec,Process IO Data Bytes/sec,Process IO Other Bytes/sec,Process Working Set - Private,Processor % Processor Time,Processor % User Time,Processor % Privileged Time,Processor Interrupts/sec,Processor % DPC Time,Processor % Interrupt Time,Processor DPCs Queued/sec,Processor DPC Rate,Processor % Idle Time,Processor % C1 Time,Processor % C2 Time,Processor % C3 Time,Processor C1 Transitions/sec,Processor C2 Transitions/sec,Processor C3 Transitions/sec,System File Read Operations/sec,System File Write Operations/sec,System File Control Operations/sec,System File Read Bytes/sec,System File Write Bytes/sec,System File Control Bytes/sec,System Context Switches/sec,System System Calls/sec,System File Data Operations/sec,System System Up Time,System Processor Queue Length,System Processes,System Threads,System Alignment Fixups/sec,System Exception Dispatches/sec,System Floating Emulations/sec,System % Registry Quota In Use,TCPv4 Segments/sec,TCPv4 Connections Established,TCPv4 Connections Active,TCPv4 Connections Passive,TCPv4 Connection Failures,TCPv4 Connections Reset,TCPv4 Segments Received/sec,TCPv4 Segments Sent/sec,TCPv4 Segments Retransmitted/sec,Thread Context Switches/sec,Thread % Processor Time,Thread % User Time,Thread % Privileged Time,Thread Elapsed Time,Thread Priority Current,Thread Priority Base,Thread Start Address,Thread Thread State,Thread Thread Wait Reason,Thread ID Process,Thread ID Thread,UDPv4 Datagrams/sec,UDPv4 Datagrams Received/sec,UDPv4 Datagrams No Port/sec,UDPv4 Datagrams Received Errors,UDPv4 Datagrams Sent/sec
2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,140674,113205,0,1,0,0,6,113398,27469,0,5,0,0,0,0,0,0,1575273,118841344,1081860096,2147016704,19415,370045,81804,1118699,180886,151145,32680,29741,82604032,20815872,120,47747,37287,33555668,18026496,36872192,52269056,7172096,2600960,5550080,6225920,18026496,264399,114344,111,149120,0,270336,4333568,112754688,0,144428719,140840,113242,27598,1000000000,142491983,113241,1,0,0,0,1936736,27320,278,0,0,0,0,0,1416918000,1416918000,1367502000,1367502000,49416000,49416000,1416918000,1367502000,49416000,28575,20202,8373,922470912,526193664,396277248,922470912,526193664,396277248,18908292000,1369,19594375000,12116250000,7478125000,5207416832,4436058112,1034838,1174224896,956272640,919326720,768409600,768409600,501,0,1.31353782155642E+017,0,0,5761840,770780,11038,465160,519460,984620,310454,548448442,416603951,965052393,16229117,598265856,6235937500,12131406250,1361250000,1685226,10625000,85937500,218403,0,6235937500,5212675722,0,0,67030,0,0,465976,523806,329536,558004733,420420533,17423446,7423903,41577780,989782,1.31353762425E+017,20,45,501,0,46623,0,54583488,156075,6,126,2,6,1,121224,34851,451,6979861,19360937500,11985312500,7375625000,1.31353782155974E+017,0,0,0,0,0,0,0,714,315,5,0,399
2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,140674,113205,0,1,0,0,6,113398,27469,0,5,0,0,0,0,0,0,1577263,114290688,1088045056,2147016704,19495,371051,81814,1119517,181103,151362,32724,29741,82604032,20815872,120,47787,37417,33555668,17920000,36872192,52277248,7172096,2600960,5550080,6225920,17920000,265636,111612,108,149951,0,262144,1150976,113131520,0,144428719,140840,113242,27598,1000000000,142491983,113241,1,0,0,0,1936736,27320,278,0,0,0,0,0,1418156000,1418156000,1368717000,1368717000,49439000,49439000,1418156000,1368717000,49439000,28622,20244,8378,923415040,527069184,396345856,923415040,527069184,396345856,18917816000,1371,19605156250,12125937500,7479218750,5271138304,4501352448,1036372,1179746304,961896448,922501120,771870720,771870720,509,0,1.31353782166404E+017,0,0,5876136,777324,11142,465164,519463,984627,313113,548448683,416605216,965053899,16415058,600502272,6235937500,12140937500,1362343750,1686408,10625000,85937500,218455,0,6235937500,5212675722,0,0,67030,0,0,465980,523809,332195,558004974,420421798,17609387,7427503,41618254,989789,1.31353762425E+017,16,45,509,0,46623,0,54583488,156075,6,126,2,6,1,121224,34851,451,6983122,19370156250,11994531250,7375625000,1.31353782166736E+017,0,0,0,0,0,0,0,714,315,5,0,399
2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,140674,113205,0,1,0,0,6,113398,27469,0,5,0,0,0,0,0,0,1577493,115249152,1086091264,2147016704,19496,371056,81815,1119737,181125,151384,32728,29741,82604032,20811776,120,47788,37417,33555668,17924096,36872192,52277248,7172096,2600960,5550080,6225920,17924096,265159,112548,109,150012,1155072,266240,933888,113160192,0,144428719,140840,113242,27598,1000000000,142491983,113241,1,0,0,0,1936736,27320,278,0,0,0,0,0,1418328000,1418328000,1368875000,1368875000,49453000,49453000,1418328000,1368875000,49453000,28627,20247,8380,923480576,527126528,396354048,923480576,527126528,396354048,18929179000,1371,19616562500,12135625000,7480937500,5271138304,4501352448,1036599,1179963392,960921600,922886144,770293760,770293760,509,0,1.31353782177869E+017,0,0,5876136,777324,11150,465166,519466,984632,315536,548448767,416606545,965055312,16594668,599498752,6235937500,12150781250,1364218750,1687690,10625000,85937500,218466,0,6235937500,5212675722,0,0,67030,0,0,465982,523812,334710,558005058,420423127,17793971,7431214,41658449,989794,1.31353762425E+017,10,45,509,0,46623,0,54583488,156075,6,126,2,6,1,121224,34851,451,6986451,19380312500,12003593750,7376718750,1.31353782178416E+017,0,0,0,0,0,0,0,714,315,5,0,399
2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,140674,113205,0,1,0,0,6,113398,27469,0,5,0,0,0,0,0,0,1577774,114237440,1088217088,2147016704,19496,371086,81816,1119987,181125,151384,32728,29741,82604032,20811776,120,47784,37438,33555668,17920000,36872192,52277248,7172096,2600960,5550080,6225920,17920000,265678,111560,108,150012,163840,262144,933888,113139712,0,144428719,140840,113242,27598,1000000000,142491983,113241,1,0,0,0,1936736,27320,278,0,0,0,0,0,1418333000,1418333000,1368875000,1368875000,49458000,49458000,1418333000,1368875000,49458000,28629,20247,8382,923485184,527126528,396358656,923485184,527126528,396358656,18940436000,1373,19627968750,12145468750,7482500000,5271138304,4505038848,1036879,1179963392,962023424,922886144,772075520,772075520,510,0,1.31353782189207E+017,0,0,5882312,778284,11178,465166,519467,984633,318105,548448767,416607795,965056562,16782822,600481792,6235937500,12160625000,1365625000,1688841,10625000,85937500,218467,0,6235937500,5212675722,0,0,67030,0,0,465982,523813,337187,558005058,420424377,17977151,7434618,41696694,989795,1.31353762425E+017,17,45,510,0,46623,0,54583488,156075,6,126,2,6,1,121224,34851,451,6989532,19390000000,12013125000,7376875000,1.31353782189597E+017,0,0,0,0,0,0,0,714,315,5,0,399
2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,140674,113205,0,1,0,0,6,113398,27469,0,5,0,0,0,0,0,0,1578046,114839552,1089773568,2147016704,19496,371096,81816,1120242,181231,151490,32737,29741,82604032,20811776,120,47785,37451,33555668,17915904,36872192,52277248,7172096,2600960,5550080,6225920,17915904,266058,112148,109,150012,458752,286720,1245184,113135616,0,144428719,140840,113242,27598,1000000000,142491983,113241,1,0,0,0,1936736,27320,278,0,0,0,0,0,1420467000,1420467000,1370998000,1370998000,49469000,49469000,1420467000,1370998000,49469000,28642,20257,8385,923996160,527626240,396369920,923996160,527626240,396369920,18949486000,1375,19639062500,12154375000,7484687500,5271662592,4508516352,1037151,1179987968,961400832,922939392,773525504,773525504,511,0,1.31353782200339E+017,0,0,5883304,778884,11188,465166,519468,984634,320544,548448767,416609044,965057811,16963188,599846912,6235937500,12169375000,1367968750,1690060,10625000,85937500,218480,0,6235937500,5212675722,0,0,67030,0,0,465982,523814,339626,558005058,420425626,18157517,7437789,41729678,989796,1.31353762425E+017,23,45,511,0,46623,0,54583488,156075,6,126,2,6,1,121224,34851,451,6992330,19399531250,12021093750,7378437500,1.31353782200681E+017,0,0,0,0,0,0,0,714,315,5,0,399
2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,140674,113205,0,1,0,0,6,113398,27469,0,5,0,0,0,0,0,0,1578501,117231616,1084649472,2147016704,19497,371148,81817,1120582,182010,152269,32801,29741,82604032,20811776,120,47854,37467,33555668,17920000,36872192,52277248,7172096,2600960,5550080,6225920,17920000,264807,114484,111,150703,3866624,278528,233472,113131520,0,144428719,140840,113242,27598,1000000000,142491983,113241,1,0,0,0,1936736,27320,278,0,0,0,0,0,1422529000,1422529000,1373060000,1373060000,49469000,49469000,1422529000,1373060000,49469000,28705,20320,8385,927118336,530748416,396369920,927118336,530748416,396369920,18959267000,1375,19650937500,12164531250,7486406250,5271662592,4508725248,1037573,1179996160,959152128,922939392,768753664,768753664,511,0,1.31353782212254E+017,0,0,5889480,779116,11208,465168,519473,984641,323107,548448863,416611206,965060069,17150934,597762048,6235937500,12179687500,1369531250,1691484,10625000,85937500,218546,0,6235937500,5212675722,0,0,67030,0,0,465984,523819,342189,558005154,420427788,18345263,7441841,41772305,989803,1.31353762425E+017,16,45,511,0,46623,0,54583488,156075,6,126,2,6,1,121224,34851,451,6996172,19409843750,12030625000,7379218750,1.31353782212634E+017,0,0,0,0,0,0,0,714,315,5,0,399
2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,140681,113209,0,1,0,0,6,113402,27472,0,5,0,0,0,0,0,0,1578827,117694464,1083727872,2147016704,19497,371148,81817,1120907,182018,152277,32802,29741,82604032,20811776,120,47803,37484,33555670,17915904,36872192,52277248,7172096,2600960,5550080,6225920,17915904,264582,114936,112,150703,4284416,278528,233472,113176576,0,144429789,140847,113246,27601,1000000000,142492349,113245,1,0,0,0,1937440,27323,278,0,0,0,0,0,1422794000,1422794000,1373288000,1373288000,49506000,49506000,1422794000,1373288000,49506000,28713,20321,8392,927189504,530781184,396408320,927189504,530781184,396408320,18969967000,1375,19661875000,12173437500,7488593750,5271662592,4510035968,1037899,1179996160,958693376,922939392,767586304,767586304,512,0,1.31353782223298E+017,0,0,5889480,779476,11213,465183,519490,984673,325677,548458307,416626122,965084429,17336206,597082112,6235937500,12188593750,1371718750,1692725,10625000,85937500,218562,0,6235937500,5212675722,0,0,67030,0,0,465999,523836,344759,558014598,420442704,18530535,7445432,41811666,989835,1.31353762425E+017,15,45,512,0,46623,0,54583488,156094,6,126,2,6,1,121234,34860,451,6999164,19419531250,12039375000,7380156250,1.31353782223709E+017,0,0,0,0,0,0,0,714,315,5,0,399
2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,140681,113209,0,1,0,0,6,113402,27472,0,5,0,0,0,0,0,0,1579083,118333440,1082462208,2147016704,19497,371168,81818,1121141,182036,152295,32804,29741,82604032,20811776,120,47855,37492,33555668,17920000,36872192,52277248,7172096,2600960,5550080,6225920,17920000,264273,115560,112,150703,4939776,278528,233472,113160192,0,144429789,140847,113246,27601,1000000000,142492349,113245,1,0,0,0,1937440,27323,278,0,0,0,0,0,1422999000,1422999000,1373493000,1373493000,49506000,49506000,1422999000,1373493000,49506000,28715,20323,8392,927263232,530854912,396408320,927263232,530854912,396408320,18980760000,1375,19672812500,12182968750,7489843750,5271662592,4510035968,1038154,1179996160,958001152,922939392,766156800,766156800,512,0,1.31353782234129E+017,0,0,5889480,779476,11218,465184,519492,984676,328182,548458367,416627432,965085799,17521286,596307968,6235937500,12198281250,1372968750,1693899,10625000,85937500,218564,0,6235937500,5212675722,0,0,67030,0,0,466000,523838,347264,558014658,420444014,18715615,7448847,41849670,989838,1.31353762425E+017,14,45,512,0,46623,0,54583488,156094,6,126,2,6,1,121234,34860,451,7002255,19428750000,12048281250,7380468750,1.31353782234578E+017,0,0,0,0,0,0,0,714,315,5,0,399
2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,140681,113209,0,1,0,0,6,113402,27472,0,5,0,0,0,0,0,0,1579301,117489664,1083510784,2147016704,19497,371169,81818,1121358,182036,152295,32804,29741,82604032,20811776,120,47856,37497,33555668,17915904,36872192,52277248,7172096,2600960,5550080,6225920,17915904,264529,114736,112,150703,4091904,278528,233472,113164288,0,144429789,140847,113246,27601,1000000000,142492349,113245,1,0,0,0,1937440,27323,278,0,0,0,0,0,1423008000,1423008000,1373493000,1373493000,49515000,49515000,1423008000,1373493000,49515000,28716,20323,8393,927266816,530854912,396411904,927266816,530854912,396411904,18992588000,1375,19684687500,12192812500,7491875000,5271662592,4510035968,1038372,1179996160,958849024,922939392,767713280,767713280,512,0,1.31353782245994E+017,0,0,5889480,779604,11224,465184,519493,984677,330654,548458367,416628682,965087049,17704106,597159936,6235937500,12208125000,1375000000,1695143,10625000,85937500,218567,0,6235937500,5212675722,0,0,67030,0,0,466000,523839,349736,558014658,420445264,18898435,7452432,41889850,989839,1.31353762425E+017,14,45,512,0,46623,0,54583488,156094,6,126,2,6,1,121234,34860,451,7005466,19439218750,12057812500,7381406250,1.31353782246511E+017,0,0,0,0,0,0,0,714,315,5,0,399
2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,140681,113209,0,1,0,0,6,113402,27472,0,5,0,0,0,0,0,0,1580752,116477952,1085022208,2147016704,19584,372135,81827,1121799,182243,152502,32847,29741,82620416,20815872,120,47965,37653,33555668,17940480,36872192,52314112,7172096,2600960,5550080,6225920,17940480,264898,113748,111,150703,2535424,286720,495616,113446912,0,144429789,140847,113246,27601,1000000000,142492349,113245,1,0,0,0,1937440,27323,278,0,0,0,0,0,1423665000,1423665000,1374150000,1374150000,49515000,49515000,1423665000,1374150000,49515000,28762,20369,8393,928107008,531695104,396411904,928107008,531695104,396411904,19002852000,1375,19695625000,12202343750,7493281250,5306036224,4544471040,1039805,1184481280,962506752,924508160,767725568,767725568,517,0,1.31353782256863E+017,0,0,5962824,788708,11325,465184,519494,984678,333276,548458367,416629932,965088299,17889838,597581824,6235937500,12217500000,1376406250,1696374,10625000,85937500,218613,0,6235937500,5212675722,0,0,67030,0,0,466000,523840,352358,558014658,420446514,19084167,7455818,41927613,989840,1.31353762425E+017,18,46,517,0,46623,0,54583488,156094,6,126,2,6,1,121234,34860,451,7008514,19448437500,12066562500,7381875000,1.31353782257351E+017,0,0,0,0,0,0,0,714,315,5,0,399
