ICMP Messages/sec,ICMP Messages Received/sec,ICMP Messages Received Errors,ICMP Received Dest. Unreachable,ICMP Received Time Exceeded,ICMP Received Parameter Problem,ICMP Received Source Quench,ICMP Received Redirect/sec,ICMP Received Echo/sec,ICMP Received Echo Reply/sec,ICMP Received Timestamp/sec,ICMP Received Timestamp Reply/sec,ICMP Received Address Mask,ICMP Received Address Mask Reply,ICMP Messages Sent/sec,ICMP Messages Outbound Errors,ICMP Sent Destination Unreachable,ICMP Sent Time Exceeded,ICMP Sent Parameter Problem,ICMP Sent Source Quench,ICMP Sent Redirect/sec,ICMP Sent Echo/sec,ICMP Sent Echo Reply/sec,ICMP Sent Timestamp/sec,ICMP Sent Timestamp Reply/sec,ICMP Sent Address Mask,ICMP Sent Address Mask Reply,IPv4 Datagrams/sec,IPv4 Datagrams Received/sec,IPv4 Datagrams Received Header Errors,IPv4 Datagrams Received Address Errors,IPv4 Datagrams Forwarded/sec,IPv4 Datagrams Received Unknown Protocol,IPv4 Datagrams Received Discarded,IPv4 Datagrams Received Delivered/sec,IPv4 Datagrams Sent/sec,IPv4 Datagrams Outbound Discarded,IPv4 Datagrams Outbound No Route,IPv4 Fragments Received/sec,IPv4 Fragments Re-assembled/sec,IPv4 Fragment Re-assembly Failures,IPv4 Fragmented Datagrams/sec,IPv4 Fragmentation Failures,IPv4 Fragments Created/sec,Memory Page Faults/sec,Memory Available Bytes,Memory Committed Bytes,Memory Commit Limit,Memory Write Copies/sec,Memory Transition Faults/sec,Memory Cache Faults/sec,Memory Demand Zero Faults/sec,Memory Pages/sec,Memory Pages Input/sec,Memory Page Reads/sec,Memory Pages Output/sec,Memory Pool Paged Bytes,Memory Pool Nonpaged Bytes,Memory Page Writes/sec,Memory Pool Paged Allocs,Memory Pool Nonpaged Allocs,Memory Free System Page Table Entries,Memory Cache Bytes,Memory Cache Bytes Peak,Memory Pool Paged Resident Bytes,Memory System Code Total Bytes,Memory System Code Resident Bytes,Memory System Driver Total Bytes,Memory System Driver Resident Bytes,Memory System Cache Resident Bytes,Memory % Committed Bytes In Use,Memory Available KBytes,Memory Available MBytes,Memory Transition Pages RePurposed/sec,Memory Free & Zero Page List Bytes,Memory Modified Page List Bytes,Memory Standby Cache Reserve Bytes,Memory Standby Cache Normal Priority Bytes,Memory Standby Cache Core Bytes,Network Interface Bytes Total/sec,Network Interface Packets/sec,Network Interface Packets Received/sec,Network Interface Packets Sent/sec,Network Interface Current Bandwidth,Network Interface Bytes Received/sec,Network Interface Packets Received Unicast/sec,Network Interface Packets Received Non-Unicast/sec,Network Interface Packets Received Discarded,Network Interface Packets Received Errors,Network Interface Packets Received Unknown,Network Interface Bytes Sent/sec,Network Interface Packets Sent Unicast/sec,Network Interface Packets Sent Non-Unicast/sec,Network Interface Packets Outbound Discarded,Network Interface Packets Outbound Errors,Network Interface Output Queue Length,Network Interface Offloaded Connections,PhysicalDisk Current Disk Queue Length,PhysicalDisk % Disk Time,PhysicalDisk Avg. Disk Queue Length,PhysicalDisk % Disk Read Time,PhysicalDisk Avg. Disk Read Queue Length,PhysicalDisk % Disk Write Time,PhysicalDisk Avg. Disk Write Queue Length,PhysicalDisk Avg. Disk sec/Transfer,PhysicalDisk Avg. Disk sec/Read,PhysicalDisk Avg. Disk sec/Write,PhysicalDisk Disk Transfers/sec,PhysicalDisk Disk Reads/sec,PhysicalDisk Disk Writes/sec,PhysicalDisk Disk Bytes/sec,PhysicalDisk Disk Read Bytes/sec,PhysicalDisk Disk Write Bytes/sec,PhysicalDisk Avg. Disk Bytes/Transfer,PhysicalDisk Avg. Disk Bytes/Read,PhysicalDisk Avg. Disk Bytes/Write,PhysicalDisk % Idle Time,PhysicalDisk Split IO/Sec,Process % Processor Time,Process % User Time,Process % Privileged Time,Process Virtual Bytes Peak,Process Virtual Bytes,Process Page Faults/sec,Process Working Set Peak,Process Working Set,Process Page File Bytes Peak,Process Page File Bytes,Process Private Bytes,Process Thread Count,Process Priority Base,Process Elapsed Time,Process ID Process,Process Creating Process ID,Process Pool Paged Bytes,Process Pool Nonpaged Bytes,Process Handle Count,Process IO Read Operations/sec,Process IO Write Operations/sec,Process IO Data Operations/sec,Process IO Other Operations/sec,Process IO Read Bytes/sec,Process IO Write Bytes/sec,Process IO Data Bytes/sec,Process IO Other Bytes/sec,Process Working Set - Private,Processor % Processor Time,Processor % User Time,Processor % Privileged Time,Processor Interrupts/sec,Processor % DPC Time,Processor % Interrupt Time,Processor DPCs Queued/sec,Processor DPC Rate,Processor % Idle Time,Processor % C1 Time,Processor % C2 Time,Processor % C3 Time,Processor C1 Transitions/sec,Processor C2 Transitions/sec,Processor C3 Transitions/sec,System File Read Operations/sec,System File Write Operations/sec,System File Control Operations/sec,System File Read Bytes/sec,System File Write Bytes/sec,System File Control Bytes/sec,System Context Switches/sec,System System Calls/sec,System File Data Operations/sec,System System Up Time,System Processor Queue Length,System Processes,System Threads,System Alignment Fixups/sec,System Exception Dispatches/sec,System Floating Emulations/sec,System % Registry Quota In Use,TCPv4 Segments/sec,TCPv4 Connections Established,TCPv4 Connections Active,TCPv4 Connections Passive,TCPv4 Connection Failures,TCPv4 Connections Reset,TCPv4 Segments Received/sec,TCPv4 Segments Sent/sec,TCPv4 Segments Retransmitted/sec,Thread Context Switches/sec,Thread % Processor Time,Thread % User Time,Thread % Privileged Time,Thread Elapsed Time,Thread Priority Current,Thread Priority Base,Thread Start Address,Thread Thread State,Thread Thread Wait Reason,Thread ID Process,Thread ID Thread,UDPv4 Datagrams/sec,UDPv4 Datagrams Received/sec,UDPv4 Datagrams No Port/sec,UDPv4 Datagrams Received Errors,UDPv4 Datagrams Sent/sec
3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,297356,240221,0,0,0,0,8,240435,57135,5,0,0,0,0,0,0,0,4310736,283537408,872644608,2147016704,15507,387154,115609,3805003,168784,150101,32635,18683,81936384,21274624,75,53905,41287,33555667,30703616,36237312,81555456,7172096,2596864,5533696,6139904,30703616,213048,276892,270,152613,75489280,663552,14397440,193650688,0,318547128,297662,240317,57345,1000000000,314064214,240316,1,0,0,0,4482914,57030,315,0,0,0,0,0,1866744000,1866744000,1755593000,1755593000,111151000,111151000,1866744000,1755593000,111151000,34567,20415,14152,1061662208,508564480,553097728,1061662208,508564480,553097728,45589651000,1990,45032031250,14374218750,30657968750,4718489600,4061855744,3865601,1079775232,749572096,868122624,596316160,596316160,530,0,131353644066021611,0,0,5084560,768388,10559,2258559,2516302,4774861,375126,1180597125,1205870680,2386467805,11056541,426270720,28512500000,14480000000,3999375000,5554133,39375000,1620000000,566172,2,28512500000,25620000000,0,0,2996511,0,0,2262727,2521376,771896,1286927995,1209788611,40980798,20591718,87020004,4784103,131353597064991491,6,39,531,0,84365,0,51583016,340164,17,300,3,1,5,262074,78090,760,15351318,39580781250,9236718750,30344062500,131353644066412236,0,0,0,0,0,0,0,1988,933,8,0,1055
3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,297358,240222,0,0,0,0,8,240436,57136,5,0,0,0,0,0,0,0,4316454,275877888,884137984,2147016704,15760,391209,115624,3806584,169106,150423,32714,18683,82046976,21270528,75,54265,41690,33555667,30699520,36237312,81649664,7172096,2596864,5533696,6139904,30699520,215854,269412,263,152613,67375104,655360,14811136,193691648,0,318547247,297664,240318,57346,1000000000,314064278,240317,1,0,0,0,4482969,57031,315,0,0,0,0,0,1873984000,1873984000,1762803000,1762803000,111181000,111181000,1873984000,1762803000,111181000,34655,20497,14158,1062979072,509796352,553182720,1062979072,509796352,553182720,45596295000,1992,45043125000,14376250000,30666875000,4870987776,4215234560,3871241,1097928704,768253952,875507712,604205056,604205056,545,0,131353644077437626,0,0,5389328,789844,11051,2259274,2516547,4775821,378239,1180650926,1205908453,2386559379,11254913,432377856,28518750000,14482187500,4002500000,5555591,39375000,1620312500,566374,1,28518750000,25630000000,0,0,2997290,0,0,2263442,2521621,775009,1286981796,1209826384,41179170,20597196,87065643,4785063,131353597064991491,7,40,545,0,84365,0,51583016,340165,17,300,3,1,5,262075,78090,761,15356383,39590781250,9238593750,30352187500,131353644077925907,0,0,0,0,0,0,0,1988,933,8,0,1055
3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,297363,240225,0,0,0,0,8,240439,57138,5,0,0,0,0,0,0,0,4317153,275853312,882294784,2147016704,15765,391323,115631,3807099,169339,150656,32779,18683,82096128,21270528,75,54305,41702,33555667,30707712,36237312,81698816,7172096,2596864,5533696,6139904,30707712,215404,269388,263,152613,66981888,663552,14819328,194052096,0,318548212,297669,240321,57348,1000000000,314064593,240320,1,0,0,0,4483619,57033,315,0,0,0,0,0,1875104000,1875104000,1763917000,1763917000,111187000,111187000,1875104000,1763917000,111187000,34724,20564,14160,1063939584,510752256,553187328,1063939584,510752256,553187328,45607780000,1994,45055781250,14378437500,30677343750,4870991872,4223459328,3871913,1098240000,768258048,875917312,602894336,602894336,545,0,131353644090064579,0,0,5405392,789844,11055,2259590,2516846,4776436,380778,1180711090,1205971836,2386682926,11441939,432058368,28527031250,14484218750,4004843750,5557212,39375000,1620312500,566596,1,28527031250,25630000000,0,0,2998188,0,0,2263759,2521920,777548,1287041984,1209889767,41366196,20603029,87103411,4785679,131353597064991491,3,40,545,0,84365,0,51583016,340182,17,300,3,1,5,262084,78098,761,15361854,39601406250,9240312500,30361093750,131353644090640751,0,0,0,0,0,0,0,1988,933,8,0,1055
3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,297363,240225,0,0,0,0,8,240439,57138,5,0,0,0,0,0,0,0,4317516,274472960,884264960,2147016704,15765,391353,115634,3807429,169339,150656,32779,18683,82096128,21270528,75,54265,41712,33555667,30695424,36237312,81698816,7172096,2596864,5533696,6139904,30695424,215885,268040,261,152613,65589248,663552,14819328,194064384,0,318548212,297669,240321,57348,1000000000,314064593,240320,1,0,0,0,4483619,57033,315,0,0,0,0,0,1875113000,1875113000,1763917000,1763917000,111196000,111196000,1875113000,1763917000,111196000,34729,20564,14165,1063968256,510752256,553216000,1063968256,510752256,553216000,45618512000,1994,45066250000,14380781250,30685468750,4870991872,4222148608,3872273,1098280960,769499136,875933696,604766208,604766208,544,0,131353644100757939,0,0,5405392,789484,11055,2259824,2517071,4776895,383143,1180753091,1206005205,2386758296,11626975,433233920,28533281250,14486718750,4006718750,5558486,39375000,1620625000,566712,1,28533281250,25640000000,0,0,2998876,0,0,2263992,2522145,779913,1287083961,1209923136,41551232,20607597,87136083,4786137,131353597064991491,4,40,544,0,84365,0,51583016,340182,17,300,3,1,5,262084,78098,761,15365996,39609375000,9242500000,30366875000,131353644101187626,0,0,0,0,0,0,0,1988,933,8,0,1055
3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,297738,240527,0,0,0,0,8,240741,57211,5,0,0,0,0,0,0,0,4318258,274395136,882335744,2147016704,15765,391374,115701,3808084,169339,150656,32779,18683,82096128,21258240,75,54327,41707,33555669,30969856,36237312,81707008,7172096,2596864,5533696,6139904,30969856,215414,267964,261,152613,65527808,921600,14819328,194048000,0,318958910,298044,240623,57421,1000000000,314470275,240622,1,0,0,0,4488635,57107,315,0,0,0,0,0,1875142000,1875142000,1763917000,1763917000,111225000,111225000,1875142000,1763917000,111225000,34747,20564,14183,1064039936,510752256,553287680,1064039936,510752256,553287680,45631063000,1996,45078593750,14383281250,30695312500,4870991872,4222148608,3872959,1098350592,768704512,876089344,603262976,603262976,544,0,131353644113345829,0,0,5405392,789356,11057,2260244,2517518,4777762,385597,1181193985,1206741554,2387935539,11814255,432431104,28541406250,14489375000,4008593750,5560200,39375000,1620781250,566965,1,28541406250,25650000000,0,0,2999730,0,0,2264412,2522592,782367,1287524855,1210659485,41738512,20613383,87172654,4787004,131353597064991491,10,40,544,0,84365,0,51583016,340580,17,300,3,1,5,262398,78182,761,15371406,39620000000,9244687500,30375468750,131353644113824345,0,0,0,0,0,0,0,1988,933,8,0,1055
3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,297752,240538,0,0,0,0,8,240752,57214,5,0,0,0,0,0,0,0,4318584,273498112,884592640,2147016704,15766,391406,115704,3808381,169339,150656,32779,18683,82096128,21258240,75,54289,41696,33555667,30969856,36237312,81707008,7172096,2596864,5533696,6139904,30969856,215965,267088,260,152613,64372736,651264,14819328,194306048,0,318971926,298058,240634,57424,1000000000,314483129,240633,1,0,0,0,4488797,57109,315,0,0,0,0,0,1875445000,1875445000,1763917000,1763917000,111528000,111528000,1875445000,1763917000,111528000,34774,20564,14210,1064522752,510752256,553770496,1064522752,510752256,553770496,45642100000,1998,45089062500,14385312500,30703750000,4870995968,4223459328,3873266,1098366976,769748992,876089344,605040640,605040640,545,0,131353644124507939,0,0,5405392,789844,11063,2260493,2517768,4778261,387943,1181257565,1206794668,2388052233,11997699,433446912,28548125000,14491093750,4011250000,5561553,39531250,1621406250,567094,1,28548125000,25650000000,0,0,3000409,0,0,2264661,2522842,784713,1287588435,1210712599,41921956,20618258,87205528,4787503,131353597064991491,9,40,545,0,84366,0,51583016,340591,17,300,3,1,5,262407,78184,761,15375904,39628437500,9245781250,30382656250,131353644124966923,0,0,0,0,0,0,0,1988,933,8,0,1055
3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,297847,240602,0,0,0,0,8,240841,57249,5,0,0,0,0,0,0,0,4318997,274006016,883265536,2147016704,15766,391436,115705,3808763,169339,150656,32779,18683,82096128,21254144,75,54266,41707,33555667,30973952,36237312,81707008,7172096,2596864,5533696,6139904,30973952,215641,267584,261,152613,64884736,679936,14819328,194301952,0,319083798,298209,240749,57465,1000000000,314598766,240748,1,0,0,0,4492720,57151,315,0,0,0,0,0,1875482000,1875482000,1763917000,1763917000,111565000,111565000,1875482000,1763917000,111565000,34777,20564,14213,1064539136,510752256,553786880,1064539136,510752256,553786880,45652519000,1998,45099062500,14387031250,30712031250,4871012352,4223475712,3873646,1098383360,769290240,876089344,603873280,603873280,545,0,131353644134957157,0,0,5405616,791260,11068,2260738,2518013,4778751,390273,1181340570,1206865413,2388205983,12179187,432967680,28555312500,14492812500,4012812500,5562900,39531250,1621875000,567282,4,28555312500,25660000000,0,0,3001187,0,0,2264906,2523087,787043,1287671440,1210783344,42103444,20622955,87235615,4787993,131353597064991491,11,40,544,0,84366,0,51583016,341068,18,301,3,1,5,262775,78293,761,15381099,39637031250,9247500000,30389531250,131353644136050907,0,0,0,0,0,0,0,1988,933,8,0,1055
3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,298287,240969,0,0,0,0,8,241214,57333,5,0,0,0,0,0,0,0,4320165,273002496,883511296,2147016704,15766,391507,115710,3809855,169339,150656,32779,18683,82096128,21282816,75,54293,41727,33555669,30973952,36237312,81707008,7172096,2596864,5533696,6139904,30973952,215701,266604,260,152613,63447040,679936,14819328,194736128,0,319559527,298642,241098,57544,1000000000,315064087,241097,1,0,0,0,4497042,57229,315,0,0,0,0,0,1875500000,1875500000,1763917000,1763917000,111583000,111583000,1875500000,1763917000,111583000,34781,20564,14217,1064990720,510752256,554238464,1064990720,510752256,554238464,45664683000,2000,45111093750,14389843750,30721250000,4873601024,4224823296,3874865,1098510336,770428928,876109824,604024832,604024832,542,0,131353644147134892,0,0,5411448,788828,11071,2261212,2518490,4779702,392856,1181925669,1207882693,2389808362,12370535,433913856,28562656250,14495625000,4014843750,5564703,39531250,1622031250,567527,1,28562656250,25660000000,0,0,3002083,0,0,2265380,2523564,789626,1288256539,1211800624,42294792,20629235,87277565,4788944,131353597064991491,6,40,542,0,84366,0,51583016,341231,16,301,3,1,5,262899,78332,763,15386109,39646562500,9249062500,30397500000,131353644147613407,0,0,0,0,0,0,0,1988,933,8,0,1055
3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,298359,241017,0,0,0,0,8,241231,57342,5,0,0,0,0,0,0,0,4320498,272445440,884953088,2147016704,15766,391533,115710,3810162,169339,150656,32779,18683,82096128,21254144,75,54301,41698,33555667,30957568,36237312,81707008,7172096,2596864,5533696,6139904,30957568,216053,266060,259,152613,62877696,679936,14819328,194748416,0,319575368,298665,241113,57552,1000000000,315077863,241112,1,0,0,0,4497505,57237,315,0,0,0,0,0,1876153000,1876153000,1763917000,1763917000,112236000,112236000,1876153000,1763917000,112236000,34787,20564,14223,1065023488,510752256,554271232,1065023488,510768640,554271232,45675771000,2002,45122031250,14392187500,30729843750,4873601024,4224823296,3875143,1098518528,770732032,876314624,605188096,605188096,542,0,131353644158453251,0,0,5411256,788140,11080,2261442,2518720,4780162,395167,1181974257,1207916458,2389890715,12551797,434216960,28569375000,14498125000,4016875000,5566070,39531250,1622343750,567657,1,28569375000,25670000000,0,0,3002829,0,0,2265610,2523794,791937,1288305127,1211834389,42476054,20633830,87307244,4789404,131353597064991491,14,40,542,0,84366,0,51583016,341260,15,301,3,1,5,262918,78342,763,15390309,39655781250,9251093750,30404687500,131353644159009892,0,0,0,0,0,0,0,1988,933,8,0,1055
3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,298364,241020,0,0,0,0,8,241234,57344,5,0,0,0,0,0,0,0,4320906,273379328,883081216,2147016704,15767,391560,115719,3810533,169344,150661,32781,18683,82100224,21254144,75,54367,41694,33555669,30973952,36237312,81707008,7172096,2596864,5533696,6139904,30973952,215596,266972,260,152613,63795200,700416,14819328,194764800,0,319576333,298670,241116,57554,1000000000,315078178,241115,1,0,0,0,4498155,57239,315,0,0,0,0,0,1876165000,1876165000,1763926000,1763926000,112239000,112239000,1876165000,1763926000,112239000,34790,20565,14225,1065049088,510768640,554280448,1065049088,510768640,554280448,45688224000,2002,45134062500,14395000000,30739062500,4873605120,4224036864,3875541,1098526720,769884160,876314624,603545600,603545600,539,0,131353644170884892,0,0,5407288,787412,11064,2261731,2519012,4780743,397632,1182042281,1208007788,2390050069,12740595,433369088,28577031250,14500937500,4018906250,5567544,39531250,1622812500,567785,1,28577031250,25680000000,0,0,3003622,0,0,2265899,2524086,794402,1288373151,1211925719,42664852,20639381,87345099,4789985,131353597064991491,4,40,539,0,84366,0,51583016,341277,15,301,3,1,5,262927,78350,763,15395331,39664375000,9251875000,30412656250,131353644171490361,0,0,0,0,0,0,0,1988,933,8,0,1055
