ICMP Messages/sec,ICMP Messages Received/sec,ICMP Messages Received Errors,ICMP Received Dest. Unreachable,ICMP Received Time Exceeded,ICMP Received Parameter Problem,ICMP Received Source Quench,ICMP Received Redirect/sec,ICMP Received Echo/sec,ICMP Received Echo Reply/sec,ICMP Received Timestamp/sec,ICMP Received Timestamp Reply/sec,ICMP Received Address Mask,ICMP Received Address Mask Reply,ICMP Messages Sent/sec,ICMP Messages Outbound Errors,ICMP Sent Destination Unreachable,ICMP Sent Time Exceeded,ICMP Sent Parameter Problem,ICMP Sent Source Quench,ICMP Sent Redirect/sec,ICMP Sent Echo/sec,ICMP Sent Echo Reply/sec,ICMP Sent Timestamp/sec,ICMP Sent Timestamp Reply/sec,ICMP Sent Address Mask,ICMP Sent Address Mask Reply,IPv4 Datagrams/sec,IPv4 Datagrams Received/sec,IPv4 Datagrams Received Header Errors,IPv4 Datagrams Received Address Errors,IPv4 Datagrams Forwarded/sec,IPv4 Datagrams Received Unknown Protocol,IPv4 Datagrams Received Discarded,IPv4 Datagrams Received Delivered/sec,IPv4 Datagrams Sent/sec,IPv4 Datagrams Outbound Discarded,IPv4 Datagrams Outbound No Route,IPv4 Fragments Received/sec,IPv4 Fragments Re-assembled/sec,IPv4 Fragment Re-assembly Failures,IPv4 Fragmented Datagrams/sec,IPv4 Fragmentation Failures,IPv4 Fragments Created/sec,Memory Page Faults/sec,Memory Available Bytes,Memory Committed Bytes,Memory Commit Limit,Memory Write Copies/sec,Memory Transition Faults/sec,Memory Cache Faults/sec,Memory Demand Zero Faults/sec,Memory Pages/sec,Memory Pages Input/sec,Memory Page Reads/sec,Memory Pages Output/sec,Memory Pool Paged Bytes,Memory Pool Nonpaged Bytes,Memory Page Writes/sec,Memory Pool Paged Allocs,Memory Pool Nonpaged Allocs,Memory Free System Page Table Entries,Memory Cache Bytes,Memory Cache Bytes Peak,Memory Pool Paged Resident Bytes,Memory System Code Total Bytes,Memory System Code Resident Bytes,Memory System Driver Total Bytes,Memory System Driver Resident Bytes,Memory System Cache Resident Bytes,Memory % Committed Bytes In Use,Memory Available KBytes,Memory Available MBytes,Memory Transition Pages RePurposed/sec,Memory Free & Zero Page List Bytes,Memory Modified Page List Bytes,Memory Standby Cache Reserve Bytes,Memory Standby Cache Normal Priority Bytes,Memory Standby Cache Core Bytes,Network Interface Bytes Total/sec,Network Interface Packets/sec,Network Interface Packets Received/sec,Network Interface Packets Sent/sec,Network Interface Current Bandwidth,Network Interface Bytes Received/sec,Network Interface Packets Received Unicast/sec,Network Interface Packets Received Non-Unicast/sec,Network Interface Packets Received Discarded,Network Interface Packets Received Errors,Network Interface Packets Received Unknown,Network Interface Bytes Sent/sec,Network Interface Packets Sent Unicast/sec,Network Interface Packets Sent Non-Unicast/sec,Network Interface Packets Outbound Discarded,Network Interface Packets Outbound Errors,Network Interface Output Queue Length,Network Interface Offloaded Connections,PhysicalDisk Current Disk Queue Length,PhysicalDisk % Disk Time,PhysicalDisk Avg. Disk Queue Length,PhysicalDisk % Disk Read Time,PhysicalDisk Avg. Disk Read Queue Length,PhysicalDisk % Disk Write Time,PhysicalDisk Avg. Disk Write Queue Length,PhysicalDisk Avg. Disk sec/Transfer,PhysicalDisk Avg. Disk sec/Read,PhysicalDisk Avg. Disk sec/Write,PhysicalDisk Disk Transfers/sec,PhysicalDisk Disk Reads/sec,PhysicalDisk Disk Writes/sec,PhysicalDisk Disk Bytes/sec,PhysicalDisk Disk Read Bytes/sec,PhysicalDisk Disk Write Bytes/sec,PhysicalDisk Avg. Disk Bytes/Transfer,PhysicalDisk Avg. Disk Bytes/Read,PhysicalDisk Avg. Disk Bytes/Write,PhysicalDisk % Idle Time,PhysicalDisk Split IO/Sec,Process % Processor Time,Process % User Time,Process % Privileged Time,Process Virtual Bytes Peak,Process Virtual Bytes,Process Page Faults/sec,Process Working Set Peak,Process Working Set,Process Page File Bytes Peak,Process Page File Bytes,Process Private Bytes,Process Thread Count,Process Priority Base,Process Elapsed Time,Process ID Process,Process Creating Process ID,Process Pool Paged Bytes,Process Pool Nonpaged Bytes,Process Handle Count,Process IO Read Operations/sec,Process IO Write Operations/sec,Process IO Data Operations/sec,Process IO Other Operations/sec,Process IO Read Bytes/sec,Process IO Write Bytes/sec,Process IO Data Bytes/sec,Process IO Other Bytes/sec,Process Working Set - Private,Processor % Processor Time,Processor % User Time,Processor % Privileged Time,Processor Interrupts/sec,Processor % DPC Time,Processor % Interrupt Time,Processor DPCs Queued/sec,Processor DPC Rate,Processor % Idle Time,Processor % C1 Time,Processor % C2 Time,Processor % C3 Time,Processor C1 Transitions/sec,Processor C2 Transitions/sec,Processor C3 Transitions/sec,System File Read Operations/sec,System File Write Operations/sec,System File Control Operations/sec,System File Read Bytes/sec,System File Write Bytes/sec,System File Control Bytes/sec,System Context Switches/sec,System System Calls/sec,System File Data Operations/sec,System System Up Time,System Processor Queue Length,System Processes,System Threads,System Alignment Fixups/sec,System Exception Dispatches/sec,System Floating Emulations/sec,System % Registry Quota In Use,TCPv4 Segments/sec,TCPv4 Connections Established,TCPv4 Connections Active,TCPv4 Connections Passive,TCPv4 Connection Failures,TCPv4 Connections Reset,TCPv4 Segments Received/sec,TCPv4 Segments Sent/sec,TCPv4 Segments Retransmitted/sec,Thread Context Switches/sec,Thread % Processor Time,Thread % User Time,Thread % Privileged Time,Thread Elapsed Time,Thread Priority Current,Thread Priority Base,Thread Start Address,Thread Thread State,Thread Thread Wait Reason,Thread ID Process,Thread ID Thread,UDPv4 Datagrams/sec,UDPv4 Datagrams Received/sec,UDPv4 Datagrams No Port/sec,UDPv4 Datagrams Received Errors,UDPv4 Datagrams Sent/sec
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,13879,10540,0,1,0,0,6,10750,3339,0,6,0,0,0,0,0,0,743553,308461568,817332224,2147016704,9215,180048,101945,460094,105751,96279,26282,9472,84729856,20414464,37,55648,43100,33555156,27418624,32567296,84410368,7172096,2428928,5550080,6045696,27418624,199544,301164,294,0,14843904,17481728,129511424,164036608,0,13619893,13979,10561,3418,1000000000,13207537,10560,1,0,0,0,412356,3228,190,0,0,0,0,0,1329553000,1329553000,1308306000,1308306000,21247000,21247000,1329553000,1308306000,21247000,18051,14869,3182,410767872,298652160,112115712,410767872,298652160,112115712,1770329000,383,2354375000,360468750,1993906250,4273201152,3831631872,517118,819499008,693665792,631013376,527228928,527228928,547,0,131353611940893854,0,0,5055280,743668,10885,43184,97495,140679,165701,328445338,69242209,397687547,7570616,375730176,1872343750,369375000,143750000,113219,2656250,15156250,32597,1,1872343750,1736683326,0,0,44185,0,0,45358,97731,171216,447690843,69283313,7686952,414226,3124064,143089,131353609555000000,5,38,547,0,44288,0,54587744,23139,38,81,4,0,5,15244,7895,66,365557,2312968750,340000000,1972968750,131353611941323541,0,0,0,0,0,0,0,446,206,6,0,240
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,13896,10549,0,1,0,0,6,10759,3347,0,6,0,0,0,0,0,0,743931,307630080,819150848,2147016704,9217,180077,101949,460429,105813,96341,26292,9472,84721664,20430848,37,55591,43112,33555158,27414528,32567296,84381696,7172096,2428928,5550080,6045696,27414528,199988,300420,293,0,13934592,17473536,129511424,164184064,0,13621271,13991,10567,3424,1000000000,13208034,10566,1,0,0,0,413237,3234,190,0,0,0,0,0,1331131000,1331131000,1309788000,1309788000,21343000,21343000,1331131000,1309788000,21343000,18112,14888,3224,411791360,299082240,112709120,411791360,299082240,112709120,1779814000,389,2364218750,362031250,2002187500,4273201152,3831631872,517470,820625408,694386688,632778752,528609280,528609280,547,0,131353611951206354,0,0,5055472,744500,10893,43409,97725,141134,168423,328491322,69354582,397845904,7759061,376328192,1879531250,370781250,145468750,114542,2656250,15625000,32761,1,1879531250,1742673798,0,0,44939,0,0,45583,97961,173938,447736827,69395686,7875397,419409,3158469,143544,131353609555000000,3,38,547,0,44288,0,54587744,23159,38,81,4,0,5,15256,7903,69,370355,2320937500,340937500,1980156250,131353611951782526,0,0,0,0,0,0,0,448,206,6,0,242
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,14258,10846,0,1,0,0,6,11056,3412,0,6,0,0,0,0,0,0,745607,306360320,818855936,2147016704,9218,180110,101954,462062,105834,96362,26298,9472,84717568,20385792,37,55545,43109,33555158,27422720,32567296,84381696,7172096,2428928,5550080,6045696,27422720,199916,299164,292,0,12627968,17883136,129511424,164204544,0,14047046,14353,10864,3489,1000000000,13629171,10863,1,0,0,0,417875,3299,190,0,0,0,0,0,1332393000,1332393000,1311013000,1311013000,21380000,21380000,1332393000,1311013000,21380000,18150,14900,3250,412434944,299328000,113106944,412434944,299328000,113106944,1792620000,391,2377656250,365312500,2012343750,4273205248,3832418304,519116,821145600,695439360,633270272,528515072,528515072,546,0,131353611965151666,0,0,5055280,743548,10892,43827,98149,141976,171024,328956242,70220322,399176564,7944511,377122816,1887187500,374375000,148593750,116454,2812500,15937500,33027,2,1887187500,1749650932,0,0,45799,0,0,46003,98387,176539,448201747,70261426,8060847,426078,3197811,144390,131353609555000000,6,38,546,0,44288,0,54587744,23532,38,81,4,0,5,15560,7972,73,376604,2333750000,344218750,1989531250,131353611966889948,0,0,0,0,0,0,0,452,209,6,0,243
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,14264,10849,0,1,0,0,6,11059,3415,0,6,0,0,0,0,0,0,746138,305152000,821026816,2147016704,9218,180130,101957,462570,105834,96362,26298,9472,84721664,20316160,37,55552,43087,33555156,27435008,32567296,84381696,7172096,2428928,5550080,6045696,27435008,200446,298000,291,0,11452416,17915904,129511424,164188160,0,14047431,14359,10867,3492,1000000000,13629363,10866,1,0,0,0,418068,3302,190,0,0,0,0,0,1332393000,1332393000,1311013000,1311013000,21380000,21380000,1332393000,1311013000,21380000,18150,14900,3250,412434944,299328000,113106944,412434944,299328000,113106944,1803136000,391,2387500000,368125000,2019375000,4273205248,3831894016,519634,821678080,696381440,633712640,530636800,530636800,546,0,131353611975679010,0,0,5055088,742796,10896,44019,98341,142360,173477,328997439,70253263,399250702,8125195,378466304,1891875000,376875000,151406250,117673,2812500,16562500,33129,2,1891875000,1753521723,0,0,46259,0,0,46193,98577,178992,448242944,70294367,8241531,430565,3226691,144770,131353609555000000,4,38,546,0,44288,0,54587744,23546,37,81,4,0,5,15567,7979,73,380601,2338750000,345312500,1993593750,131353611976274713,0,0,0,0,0,0,0,452,209,6,0,243
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,14272,10853,0,1,0,0,6,11063,3419,0,6,0,0,0,0,0,0,746376,306257920,819900416,2147016704,9218,180131,101957,462807,105834,96362,26298,9472,84750336,20385792,37,55570,43106,33555156,27430912,32567296,84410368,7172096,2428928,5550080,6045696,27430912,200171,299080,292,0,12115968,17481728,129511424,164630528,0,14047935,14367,10871,3496,1000000000,13629619,10870,1,0,0,0,418316,3306,190,0,0,0,0,0,1332920000,1332920000,1311361000,1311361000,21559000,21559000,1332920000,1311361000,21559000,18184,14906,3278,413265408,299442688,113822720,413265408,299442688,113822720,1813936000,393,2398125000,371406250,2026718750,4273205248,3831894016,519865,821817344,695533568,633962496,529084416,529084416,546,0,131353611986802057,0,0,5054896,741836,10898,44234,98557,142791,175981,329033431,70290456,399323887,8309439,377634816,1897500000,380156250,153750000,119092,2812500,17187500,33278,1,1897500000,1759505955,0,0,46948,0,0,46408,98793,181496,448278936,70331560,8425775,435670,3259423,145201,131353609555000000,7,38,546,0,44288,0,54587744,23553,36,81,4,0,5,15571,7982,74,385315,2347187500,347812500,1999687500,131353611987720026,0,0,0,0,0,0,0,452,209,6,0,243
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,14284,10859,0,1,0,0,6,11069,3425,0,6,0,0,0,0,0,0,746723,305729536,820961280,2147016704,9219,180169,101962,463111,105834,96362,26298,9472,84766720,20328448,37,55587,43092,33555156,27418624,32567296,84418560,7172096,2428928,5550080,6045696,27418624,200430,298564,291,0,11575296,17485824,129511424,164642816,0,14048677,14379,10877,3502,1000000000,13630003,10876,1,0,0,0,418674,3312,190,0,0,0,0,0,1332957000,1332957000,1311368000,1311368000,21589000,21589000,1332957000,1311368000,21589000,18197,14907,3290,413398016,299459072,113938944,413398016,299459072,113938944,1825286000,393,2408281250,374843750,2033437500,4273205248,3831902208,520221,821932032,695685120,634007552,530436096,530436096,547,0,131353611998354791,0,0,5053680,741452,10906,44457,98783,143240,178546,329092041,70338385,399430426,8496619,378318848,1902187500,383750000,157031250,120528,2812500,18281250,33412,2,1902187500,1764129323,0,0,47455,0,0,46631,99019,184061,448337546,70379489,8612955,440941,3294515,145650,131353609555000000,11,38,547,0,44288,0,54587744,23562,35,81,4,0,5,15577,7985,77,390202,2355468750,350000000,2005468750,131353611999048151,0,0,0,0,0,0,0,452,209,6,0,243
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,14292,10863,0,1,0,0,6,11074,3430,0,6,0,0,0,0,0,0,747069,306462720,819916800,2147016704,9219,180171,101963,463454,105834,96362,26298,9472,84742144,20393984,37,55581,43051,33555156,27418624,32567296,84402176,7172096,2428928,5550080,6045696,27418624,200175,299280,292,0,12308480,17530880,129511424,164642816,0,14049268,14389,10882,3507,1000000000,13630323,10881,1,0,0,0,418945,3317,190,0,0,0,0,0,1334468000,1334468000,1312226000,1312226000,22242000,22242000,1334468000,1312226000,22242000,18258,14916,3342,414152704,299639296,114513408,414152704,299639296,114513408,1834490000,407,2418593750,377031250,2041562500,4273205248,3832418304,520550,821944320,695107584,634007552,529330176,529330176,548,0,131353612008725885,0,0,5053296,739868,10905,44644,98971,143615,181080,329121369,70368915,399490284,8680952,377749504,1907968750,385781250,159531250,121867,2812500,18593750,33582,1,1907968750,1770407319,0,0,48205,0,0,46818,99207,186595,448366874,70410019,8797288,445789,3326540,146025,131353609555000000,8,38,548,0,44288,0,54587744,23571,33,81,4,0,5,15582,7989,78,394601,2362812500,351718750,2011250000,131353612009165338,0,0,0,0,0,0,0,452,209,6,0,243
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,14298,10866,0,1,0,0,6,11076,3432,0,6,0,0,0,0,0,0,747507,308760576,816381952,2147016704,9219,180203,101968,463854,105836,96364,26299,9472,84725760,20402176,37,55539,43050,33555156,27435008,32567296,84402176,7172096,2428928,5550080,6045696,27435008,199312,301524,294,0,14622720,17547264,129511424,164626432,0,14049506,14393,10884,3509,1000000000,13630451,10883,1,0,0,0,419055,3319,190,0,0,0,0,0,1334576000,1334576000,1312329000,1312329000,22247000,22247000,1334576000,1312329000,22247000,18264,14918,3346,414216192,299663872,114552320,414216192,299663872,114552320,1846617000,407,2430781250,378750000,2052031250,4273209344,3830321152,520981,822104064,692387840,634015744,526102528,526102528,548,0,131353612020942682,0,0,5053296,739748,10908,44928,99256,144184,183597,329186447,70450396,399636843,8866054,375238656,1916718750,387500000,161250000,123313,2812500,18593750,33713,1,1916718750,1778223632,0,0,49133,0,0,47102,99492,189112,448431952,70491500,8982390,451573,3362015,146594,131353609555000000,16,38,548,0,44288,0,54587744,23581,33,81,4,0,5,15588,7993,80,400014,2373125000,352500000,2020781250,131353612021343073,0,0,0,0,0,0,0,452,209,6,0,243
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,14298,10866,0,1,0,0,6,11076,3432,0,6,0,0,0,0,0,0,747905,307900416,818282496,2147016704,9219,180232,101968,464223,105836,96364,26299,9472,84754432,20389888,37,55570,43047,33555156,27435008,32567296,84426752,7172096,2428928,5550080,6045696,27435008,199776,300684,293,0,13770752,17551360,129511424,164618240,0,14049506,14393,10884,3509,1000000000,13630451,10883,1,0,0,0,419055,3319,190,0,0,0,0,0,1334598000,1334598000,1312343000,1312343000,22255000,22255000,1334598000,1312343000,22255000,18270,14919,3351,414289920,299680256,114609664,414289920,299680256,114609664,1858673000,407,2442500000,380625000,2061875000,4273209344,3829010432,521374,822149120,693010432,634015744,527601664,527601664,547,0,131353612033149713,0,0,5053296,739388,10906,45218,99546,144764,186121,329252511,70502198,399754709,9051068,376107008,1925000000,389375000,163281250,124764,2812500,19062500,33842,2,1925000000,1786274281,0,0,50094,0,0,47392,99782,191636,448498016,70543302,9167404,457437,3398195,147174,131353609555000000,4,38,547,0,44288,0,54587744,23581,33,81,4,0,5,15588,7993,80,405471,2382812500,354062500,2028750000,131353612033579401,0,0,0,0,0,0,0,452,209,6,0,243
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,14303,10869,0,1,0,0,6,11079,3434,0,6,0,0,0,0,0,0,748247,308957184,816226304,2147016704,9220,180258,101969,464536,105849,96377,26302,9472,84729856,20381696,37,55552,43048,33555158,27418624,32567296,84414464,7172096,2428928,5550080,6045696,27418624,199274,301716,294,0,14761984,17588224,129511424,164683776,0,14050460,14398,10887,3511,1000000000,13630756,10886,1,0,0,0,419814,3323,190,0,0,0,0,0,1334825000,1334825000,1312564000,1312564000,22261000,22261000,1334825000,1312564000,22261000,18274,14921,3353,414343680,299729408,114614272,414343680,299729408,114614272,1870683000,409,2454687500,382968750,2071718750,4273213440,3828486144,521715,822308864,691847168,634298368,525844480,525844480,546,0,131353612045239557,0,0,5053200,739020,10912,45480,99811,145291,188664,329319412,70590647,399910059,9235262,374927360,1933437500,391718750,164687500,126200,2812500,19062500,33972,1,1933437500,1794217087,0,0,51025,0,0,47654,100047,194179,448564917,70631751,9351598,462997,3433109,147701,131353609555000000,5,38,546,0,44288,0,54587744,23600,33,81,4,0,5,15599,8001,82,410667,2393125000,355625000,2037656250,131353612045679010,0,0,0,0,0,0,0,452,209,6,0,243
