ICMP Messages/sec,ICMP Messages Received/sec,ICMP Messages Received Errors,ICMP Received Dest. Unreachable,ICMP Received Time Exceeded,ICMP Received Parameter Problem,ICMP Received Source Quench,ICMP Received Redirect/sec,ICMP Received Echo/sec,ICMP Received Echo Reply/sec,ICMP Received Timestamp/sec,ICMP Received Timestamp Reply/sec,ICMP Received Address Mask,ICMP Received Address Mask Reply,ICMP Messages Sent/sec,ICMP Messages Outbound Errors,ICMP Sent Destination Unreachable,ICMP Sent Time Exceeded,ICMP Sent Parameter Problem,ICMP Sent Source Quench,ICMP Sent Redirect/sec,ICMP Sent Echo/sec,ICMP Sent Echo Reply/sec,ICMP Sent Timestamp/sec,ICMP Sent Timestamp Reply/sec,ICMP Sent Address Mask,ICMP Sent Address Mask Reply,IPv4 Datagrams/sec,IPv4 Datagrams Received/sec,IPv4 Datagrams Received Header Errors,IPv4 Datagrams Received Address Errors,IPv4 Datagrams Forwarded/sec,IPv4 Datagrams Received Unknown Protocol,IPv4 Datagrams Received Discarded,IPv4 Datagrams Received Delivered/sec,IPv4 Datagrams Sent/sec,IPv4 Datagrams Outbound Discarded,IPv4 Datagrams Outbound No Route,IPv4 Fragments Received/sec,IPv4 Fragments Re-assembled/sec,IPv4 Fragment Re-assembly Failures,IPv4 Fragmented Datagrams/sec,IPv4 Fragmentation Failures,IPv4 Fragments Created/sec,Memory Page Faults/sec,Memory Available Bytes,Memory Committed Bytes,Memory Commit Limit,Memory Write Copies/sec,Memory Transition Faults/sec,Memory Cache Faults/sec,Memory Demand Zero Faults/sec,Memory Pages/sec,Memory Pages Input/sec,Memory Page Reads/sec,Memory Pages Output/sec,Memory Pool Paged Bytes,Memory Pool Nonpaged Bytes,Memory Page Writes/sec,Memory Pool Paged Allocs,Memory Pool Nonpaged Allocs,Memory Free System Page Table Entries,Memory Cache Bytes,Memory Cache Bytes Peak,Memory Pool Paged Resident Bytes,Memory System Code Total Bytes,Memory System Code Resident Bytes,Memory System Driver Total Bytes,Memory System Driver Resident Bytes,Memory System Cache Resident Bytes,Memory % Committed Bytes In Use,Memory Available KBytes,Memory Available MBytes,Memory Transition Pages RePurposed/sec,Memory Free & Zero Page List Bytes,Memory Modified Page List Bytes,Memory Standby Cache Reserve Bytes,Memory Standby Cache Normal Priority Bytes,Memory Standby Cache Core Bytes,Network Interface Bytes Total/sec,Network Interface Packets/sec,Network Interface Packets Received/sec,Network Interface Packets Sent/sec,Network Interface Current Bandwidth,Network Interface Bytes Received/sec,Network Interface Packets Received Unicast/sec,Network Interface Packets Received Non-Unicast/sec,Network Interface Packets Received Discarded,Network Interface Packets Received Errors,Network Interface Packets Received Unknown,Network Interface Bytes Sent/sec,Network Interface Packets Sent Unicast/sec,Network Interface Packets Sent Non-Unicast/sec,Network Interface Packets Outbound Discarded,Network Interface Packets Outbound Errors,Network Interface Output Queue Length,Network Interface Offloaded Connections,PhysicalDisk Current Disk Queue Length,PhysicalDisk % Disk Time,PhysicalDisk Avg. Disk Queue Length,PhysicalDisk % Disk Read Time,PhysicalDisk Avg. Disk Read Queue Length,PhysicalDisk % Disk Write Time,PhysicalDisk Avg. Disk Write Queue Length,PhysicalDisk Avg. Disk sec/Transfer,PhysicalDisk Avg. Disk sec/Read,PhysicalDisk Avg. Disk sec/Write,PhysicalDisk Disk Transfers/sec,PhysicalDisk Disk Reads/sec,PhysicalDisk Disk Writes/sec,PhysicalDisk Disk Bytes/sec,PhysicalDisk Disk Read Bytes/sec,PhysicalDisk Disk Write Bytes/sec,PhysicalDisk Avg. Disk Bytes/Transfer,PhysicalDisk Avg. Disk Bytes/Read,PhysicalDisk Avg. Disk Bytes/Write,PhysicalDisk % Idle Time,PhysicalDisk Split IO/Sec,Process % Processor Time,Process % User Time,Process % Privileged Time,Process Virtual Bytes Peak,Process Virtual Bytes,Process Page Faults/sec,Process Working Set Peak,Process Working Set,Process Page File Bytes Peak,Process Page File Bytes,Process Private Bytes,Process Thread Count,Process Priority Base,Process Elapsed Time,Process ID Process,Process Creating Process ID,Process Pool Paged Bytes,Process Pool Nonpaged Bytes,Process Handle Count,Process IO Read Operations/sec,Process IO Write Operations/sec,Process IO Data Operations/sec,Process IO Other Operations/sec,Process IO Read Bytes/sec,Process IO Write Bytes/sec,Process IO Data Bytes/sec,Process IO Other Bytes/sec,Process Working Set - Private,Processor % Processor Time,Processor % User Time,Processor % Privileged Time,Processor Interrupts/sec,Processor % DPC Time,Processor % Interrupt Time,Processor DPCs Queued/sec,Processor DPC Rate,Processor % Idle Time,Processor % C1 Time,Processor % C2 Time,Processor % C3 Time,Processor C1 Transitions/sec,Processor C2 Transitions/sec,Processor C3 Transitions/sec,System File Read Operations/sec,System File Write Operations/sec,System File Control Operations/sec,System File Read Bytes/sec,System File Write Bytes/sec,System File Control Bytes/sec,System Context Switches/sec,System System Calls/sec,System File Data Operations/sec,System System Up Time,System Processor Queue Length,System Processes,System Threads,System Alignment Fixups/sec,System Exception Dispatches/sec,System Floating Emulations/sec,System % Registry Quota In Use,TCPv4 Segments/sec,TCPv4 Connections Established,TCPv4 Connections Active,TCPv4 Connections Passive,TCPv4 Connection Failures,TCPv4 Connections Reset,TCPv4 Segments Received/sec,TCPv4 Segments Sent/sec,TCPv4 Segments Retransmitted/sec,Thread Context Switches/sec,Thread % Processor Time,Thread % User Time,Thread % Privileged Time,Thread Elapsed Time,Thread Priority Current,Thread Priority Base,Thread Start Address,Thread Thread State,Thread Thread Wait Reason,Thread ID Process,Thread ID Thread,UDPv4 Datagrams/sec,UDPv4 Datagrams Received/sec,UDPv4 Datagrams No Port/sec,UDPv4 Datagrams Received Errors,UDPv4 Datagrams Sent/sec
2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,137453,101694,0,0,0,0,5,110311,35759,1,0,0,0,0,0,0,0,1851902,145461248,1040949248,2147016704,18905,378640,646182,824969,684411,661382,73876,23029,87134208,22790144,94,53107,41147,33556180,24293376,67276800,86188032,7172096,2596864,5550080,6152192,24293376,254138,141988,138,623332,4096,5738496,0,145391616,0,130978744,137600,101753,35847,1000000000,128037543,101753,0,0,0,0,2941201,27144,8703,0,0,0,0,0,5054443000,5054443000,4980964000,4980964000,73479000,73479000,5054443000,4980964000,73479000,70453,61722,8731,2871582720,2568489472,303093248,2871582720,2568489472,303093248,20391221000,1450,21271718750,4215000000,17056718750,5161230336,4417347584,787064,1101701120,886239232,872210432,765308928,765308928,542,0,131353642265015197,0,0,5615760,831284,11767,1344814,557392,1902206,4259525,1225108755,385713879,1610822634,14060493916,573440000,15570625000,4587968750,2720156250,2630133,33281250,850937500,306123,1,15570625000,14660000000,0,0,1543316,0,0,1357405,563013,4797184,2557486261,390109963,14099825309,7146325,32967615,1920418,131353619450918539,3,39,542,0,45368,0,54587520,150369,14,544,2,36,111,112827,37542,656,4739263,19169375000,2275312500,16894062500,131353642265778687,0,0,0,0,0,0,0,18334,9095,5,0,9239
2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,137465,101698,0,0,0,0,5,110318,35767,1,0,0,0,0,0,0,0,1853973,140722176,1050312704,2147016704,18997,379875,646190,825786,684521,661492,73901,23029,87105536,22790144,94,53101,41264,33556180,24322048,67276800,86163456,7172096,2596864,5550080,6152192,24322048,256424,137424,134,624475,0,5709824,0,140713984,0,130979563,137612,101757,35855,1000000000,128037799,101757,0,0,0,0,2941764,27149,8706,0,0,0,0,0,5058835000,5058835000,4985356000,4985356000,73479000,73479000,5058835000,4985356000,73479000,70476,61745,8731,2872075264,2568982016,303093248,2872075264,2568982016,303093248,20400359000,1450,21282187500,4217812500,17064375000,5232070656,4496007168,789110,1108635648,893984768,876244992,773173248,773173248,553,0,131353642274252587,0,0,5753240,841556,11926,1345560,557578,1903138,4262326,1225139113,385750415,1610889528,14060683018,577019904,15575625000,4590781250,2723125000,2631563,33281250,851250000,306275,1,15575625000,14670000000,0,0,1543877,0,0,1358151,563199,4799985,2557516619,390146499,14100014411,7151484,33003360,1921350,131353619450918539,10,40,553,0,45369,0,54587520,150378,14,545,2,36,111,112831,37547,656,4743777,19176875000,2276562500,16900625000,131353642275141927,0,0,0,0,0,0,0,18342,9099,5,0,9243
2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,137480,101702,0,0,0,0,5,110328,35778,1,0,0,0,0,0,0,0,1860069,142839808,1045172224,2147016704,18998,381041,646192,830700,684748,661719,73918,23029,87027712,22786048,94,53058,41277,33556180,24141824,67276800,86085632,7172096,2596864,5550080,6152192,24141824,255169,139492,136,626558,9900032,5697536,4096,132935680,0,130981186,137627,101761,35866,1000000000,128038583,101761,0,0,0,0,2942603,27154,8712,0,0,0,0,0,5060297000,5060297000,4986722000,4986722000,73575000,73575000,5060297000,4986722000,73575000,70498,61760,8738,2873010688,2569838592,303172096,2873010688,2569838592,303172096,20413052000,1450,21295312500,4224843750,17070468750,5242261504,4496306176,795119,1108869120,890437632,876630016,768516096,768516096,553,0,131353642286359357,0,0,5759432,841676,11932,1346995,558284,1905322,4264930,1225265212,385878198,1611143410,14060866762,576053248,15579375000,4598437500,2726562500,2633464,33281250,852187500,306462,1,15579375000,14670000000,0,0,1544323,0,0,1359625,563909,4802589,2557643742,390275306,14100198155,7159759,33050825,1923551,131353619450918539,3,40,553,0,45370,0,54587520,150387,14,546,2,36,112,112835,37552,656,4751710,19188437500,2283750000,16904843750,131353642287768877,0,0,0,0,0,0,0,18352,9104,5,0,9249
2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,137483,101702,0,0,0,0,5,110331,35781,1,0,0,0,0,0,0,0,1860991,140726272,1048260608,2147016704,18998,381048,646193,831614,684748,661719,73918,23029,87027712,22786048,94,53072,41293,33556180,24133632,67276800,86085632,7172096,2596864,5550080,6152192,24133632,255923,137428,134,626558,7770112,5697536,12288,132943872,0,130981462,137630,101761,35869,1000000000,128038583,101761,0,0,0,0,2942879,27154,8715,0,0,0,0,0,5060309000,5060309000,4986722000,4986722000,73587000,73587000,5060309000,4986722000,73587000,70500,61760,8740,2873016320,2569838592,303177728,2873016320,2569838592,303177728,20422512000,1452,21304375000,4227812500,17076562500,5242261504,4496986112,795973,1108869120,890515456,876630016,770269184,770269184,553,0,131353642294472487,0,0,5760760,841916,11937,1347400,558508,1905908,4267352,1225300700,385914941,1611215641,14061046308,577069056,15583281250,4600781250,2728906250,2634526,33281250,852656250,306555,1,15583281250,14680000000,0,0,1544724,0,0,1359991,564129,4805011,2557678206,390311025,14100377701,7163957,33078555,1924120,131353619450918539,5,40,553,0,45370,0,54587520,150387,14,546,2,36,112,112835,37552,656,4755387,19194375000,2284843750,16909687500,131353642295319877,0,0,0,0,0,0,0,18364,9110,5,0,9254
2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,138136,102221,0,0,0,0,5,110856,35915,1,0,0,0,0,0,0,0,1868398,140673024,1047027712,2147016704,18998,382601,646197,837452,684880,661851,73936,23029,86999040,22794240,94,53036,41281,33556182,24150016,67276800,86093824,7172096,2596864,5550080,6152192,24150016,255622,137376,134,628480,15237120,6135808,0,125435904,0,131589890,138284,102280,36004,1000000000,128638370,102280,0,0,0,0,2951520,27282,8724,0,0,0,0,0,5063735000,5063735000,4990148000,4990148000,73587000,73587000,5063735000,4990148000,73587000,70516,61776,8740,2873548800,2570371072,303177728,2873548800,2570371072,303177728,20435464000,1452,21319375000,4233437500,17086093750,5249916928,4520452096,803371,1114128384,892428288,876720128,769560576,769560576,553,0,131353642309009840,0,0,5806688,842876,11966,1348728,559309,1908037,4270142,1225977842,387167028,1613144870,14061235892,577241088,15589531250,4606562500,2733281250,2636908,33437500,853437500,306945,1,15589531250,14680000000,0,0,1545391,0,0,1361327,564938,4807801,2558356372,391564136,14100567285,7172861,33128047,1926265,131353619450918539,6,40,553,0,45370,0,54587520,151054,14,546,2,36,112,113368,37694,656,4764593,19208437500,2291250000,16917187500,131353642312000036,0,0,0,0,0,0,0,18376,9116,5,0,9260
2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,138142,102221,0,0,0,0,5,110862,35921,1,0,0,0,0,0,0,0,1869186,141869056,1046794240,2147016704,18999,382852,646199,837988,684882,661853,73938,23029,86999040,22786048,94,53039,41300,33556180,24141824,67276800,86093824,7172096,2596864,5550080,6152192,24141824,255565,138544,135,628480,15847424,5558272,12288,126009344,0,131590350,138289,102280,36009,1000000000,128638370,102280,0,0,0,0,2951980,27282,8727,0,0,0,0,0,5064294000,5064294000,4990221000,4990221000,74073000,74073000,5064294000,4990221000,74073000,70520,61777,8743,2874129920,2570375168,303754752,2874129920,2570375168,303754752,20446603000,1454,21330312500,4239218750,17091093750,5249916928,4520402944,803851,1114128384,891187200,876720128,770093056,770093056,554,0,131353642320176930,0,0,5804032,842756,11970,1350042,559832,1909877,4272598,1226098913,387289301,1613388214,14061416104,577429504,15591406250,4612500000,2737343750,2638385,33437500,854375000,307074,1,15591406250,14680000000,0,0,1545571,0,0,1362636,565453,4810257,2558476419,391685385,14100747497,7178684,33165383,1928089,131353619450918539,3,40,554,0,45370,0,54587520,151062,14,546,2,36,112,113368,37694,656,4769308,19215937500,2296093750,16920000000,131353642321210578,0,0,0,0,0,0,0,18382,9119,5,0,9263
2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,138145,102221,0,0,0,0,5,110865,35924,1,0,0,0,0,0,0,0,1869732,142024704,1046097920,2147016704,18999,382855,646201,838531,684882,661853,73938,23029,86999040,22786048,94,53044,41283,33556180,24133632,67276800,86093824,7172096,2596864,5550080,6152192,24133632,255395,138696,135,628480,15990784,5550080,16384,126017536,0,131590718,138293,102280,36013,1000000000,128638370,102280,0,0,0,0,2952532,27282,8733,0,0,0,0,0,5064437000,5064437000,4990221000,4990221000,74216000,74216000,5064437000,4990221000,74216000,70545,61777,8768,2874235904,2570375168,303860736,2874235904,2570375168,303860736,20457767000,1460,21341250000,4245312500,17095937500,5249916928,4521082880,804277,1114128384,891109376,876720128,768942080,768942080,554,0,131353642330771822,0,0,5805360,842996,11969,1351096,560353,1911449,4275086,1226210059,387444622,1613656297,14061596996,576598016,15593906250,4618593750,2739843750,2639797,33437500,854531250,307226,1,15593906250,14680000000,0,0,1545852,0,0,1363693,565988,4812745,2558589397,391842538,14100928389,7184975,33204014,1929689,131353619450918539,3,40,554,0,45370,0,54587520,151062,14,546,2,36,112,113368,37694,656,4775487,19224375000,2301093750,16923281250,131353642332506874,0,0,0,0,0,0,0,18394,9125,5,0,9269
2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,138151,102221,0,0,0,0,5,110871,35930,1,0,0,0,0,0,0,0,1870443,141492224,1046003712,2147016704,18999,382939,646202,839157,684882,661853,73938,23029,86999040,22786048,94,53029,41267,33556180,24137728,67276800,86093824,7172096,2596864,5550080,6152192,24137728,255372,138176,134,628480,15466496,5554176,16384,126009344,0,131591296,138300,102282,36020,1000000000,128638498,102282,0,0,0,0,2952916,27284,8736,0,0,0,0,0,5064437000,5064437000,4990221000,4990221000,74216000,74216000,5064437000,4990221000,74216000,70545,61777,8768,2874235904,2570375168,303860736,2874235904,2570375168,303860736,20467304000,1460,21350468750,4250156250,17100312500,5249916928,4521082880,804947,1114537984,892018688,877121536,768876544,768876544,554,0,131353642339354792,0,0,5805168,842276,11973,1351711,560683,1912394,4277576,1226277983,387513767,1613791750,14061780314,577171456,15595312500,4623125000,2742968750,2640927,33437500,854687500,307325,1,15595312500,14690000000,0,0,1546059,0,0,1364302,566304,4815235,2558655489,391909851,14101111707,7190049,33238727,1930618,131353619450918539,3,40,554,0,45370,0,54587520,151066,13,546,2,36,112,113370,37696,656,4779624,19229062500,2304218750,16924843750,131353642340074654,0,0,0,0,0,0,0,18400,9128,5,0,9272
2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,138167,102227,0,0,0,0,5,110880,35940,1,0,0,0,0,0,0,0,1870713,140644352,1047085056,2147016704,18999,382976,646203,839390,684882,661853,73938,23029,86999040,22786048,94,53051,41277,33556180,24133632,67276800,86093824,7172096,2596864,5550080,6152192,24133632,255636,137348,134,628480,14618624,5558272,16384,126009344,0,131592235,138314,102286,36028,1000000000,128638754,102286,0,0,0,0,2953481,27289,8739,0,0,0,0,0,5064716000,5064716000,4990221000,4990221000,74495000,74495000,5064716000,4990221000,74495000,70576,61777,8799,2874405888,2570375168,304030720,2874405888,2570375168,304030720,20477537000,1460,21360781250,4253906250,17106875000,5249916928,4523720704,805216,1114537984,893054976,877121536,770412544,770412544,553,0,131353642349368257,0,0,5811536,843476,11997,1352551,560869,1913420,4280143,1226312070,387548340,1613860410,14061964802,578068480,15600000000,4626875000,2745156250,2642365,33437500,854843750,307497,1,15600000000,14690000000,0,0,1546564,0,0,1365151,566499,4817802,2558689576,391944424,14101296195,7195112,33275290,1931650,131353619450918539,2,40,553,0,45371,0,54587520,151073,14,547,2,36,112,113374,37699,658,4784365,19237343750,2307031250,16930468750,131353642350161951,0,0,0,0,0,0,0,18408,9132,5,0,9276
2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,138173,102227,0,0,0,0,5,110886,35946,1,0,0,0,0,0,0,0,1871106,141467648,1045692416,2147016704,19000,382977,646206,839778,684886,661857,73939,23029,86994944,22786048,94,53053,41293,33556180,24145920,67276800,86089728,7172096,2596864,5550080,6152192,24145920,255296,138152,134,628480,15437824,5566464,8192,126021632,0,131592787,138320,102286,36034,1000000000,128638754,102286,0,0,0,0,2954033,27289,8745,0,0,0,0,0,5064739000,5064739000,4990244000,4990244000,74495000,74495000,5064739000,4990244000,74495000,70577,61778,8799,2874422272,2570391552,304030720,2874422272,2570391552,304030720,20488639000,1460,21371562500,4257187500,17114375000,5249916928,4523720704,805606,1114546176,892071936,877121536,768802816,768802816,553,0,131353642359677050,0,0,5811536,843476,12001,1353319,561085,1914404,4282629,1226348216,387585713,1613933929,14062146328,577085440,15605625000,4630312500,2747031250,2643748,33437500,855156250,307612,1,15605625000,14700000000,0,0,1547109,0,0,1365918,566714,4820293,2558726718,391982793,14101477721,7200171,33307228,1932632,131353619450918539,1,40,553,0,45371,0,54587520,151073,14,547,2,36,112,113374,37699,658,4789033,19245468750,2309687500,16935781250,131353642360729156,0,0,0,0,0,0,0,18418,9137,5,0,9281
