ICMP Messages/sec,ICMP Messages Received/sec,ICMP Messages Received Errors,ICMP Received Dest. Unreachable,ICMP Received Time Exceeded,ICMP Received Parameter Problem,ICMP Received Source Quench,ICMP Received Redirect/sec,ICMP Received Echo/sec,ICMP Received Echo Reply/sec,ICMP Received Timestamp/sec,ICMP Received Timestamp Reply/sec,ICMP Received Address Mask,ICMP Received Address Mask Reply,ICMP Messages Sent/sec,ICMP Messages Outbound Errors,ICMP Sent Destination Unreachable,ICMP Sent Time Exceeded,ICMP Sent Parameter Problem,ICMP Sent Source Quench,ICMP Sent Redirect/sec,ICMP Sent Echo/sec,ICMP Sent Echo Reply/sec,ICMP Sent Timestamp/sec,ICMP Sent Timestamp Reply/sec,ICMP Sent Address Mask,ICMP Sent Address Mask Reply,IPv4 Datagrams/sec,IPv4 Datagrams Received/sec,IPv4 Datagrams Received Header Errors,IPv4 Datagrams Received Address Errors,IPv4 Datagrams Forwarded/sec,IPv4 Datagrams Received Unknown Protocol,IPv4 Datagrams Received Discarded,IPv4 Datagrams Received Delivered/sec,IPv4 Datagrams Sent/sec,IPv4 Datagrams Outbound Discarded,IPv4 Datagrams Outbound No Route,IPv4 Fragments Received/sec,IPv4 Fragments Re-assembled/sec,IPv4 Fragment Re-assembly Failures,IPv4 Fragmented Datagrams/sec,IPv4 Fragmentation Failures,IPv4 Fragments Created/sec,Memory Page Faults/sec,Memory Available Bytes,Memory Committed Bytes,Memory Commit Limit,Memory Write Copies/sec,Memory Transition Faults/sec,Memory Cache Faults/sec,Memory Demand Zero Faults/sec,Memory Pages/sec,Memory Pages Input/sec,Memory Page Reads/sec,Memory Pages Output/sec,Memory Pool Paged Bytes,Memory Pool Nonpaged Bytes,Memory Page Writes/sec,Memory Pool Paged Allocs,Memory Pool Nonpaged Allocs,Memory Free System Page Table Entries,Memory Cache Bytes,Memory Cache Bytes Peak,Memory Pool Paged Resident Bytes,Memory System Code Total Bytes,Memory System Code Resident Bytes,Memory System Driver Total Bytes,Memory System Driver Resident Bytes,Memory System Cache Resident Bytes,Memory % Committed Bytes In Use,Memory Available KBytes,Memory Available MBytes,Memory Transition Pages RePurposed/sec,Memory Free & Zero Page List Bytes,Memory Modified Page List Bytes,Memory Standby Cache Reserve Bytes,Memory Standby Cache Normal Priority Bytes,Memory Standby Cache Core Bytes,Network Interface Bytes Total/sec,Network Interface Packets/sec,Network Interface Packets Received/sec,Network Interface Packets Sent/sec,Network Interface Current Bandwidth,Network Interface Bytes Received/sec,Network Interface Packets Received Unicast/sec,Network Interface Packets Received Non-Unicast/sec,Network Interface Packets Received Discarded,Network Interface Packets Received Errors,Network Interface Packets Received Unknown,Network Interface Bytes Sent/sec,Network Interface Packets Sent Unicast/sec,Network Interface Packets Sent Non-Unicast/sec,Network Interface Packets Outbound Discarded,Network Interface Packets Outbound Errors,Network Interface Output Queue Length,Network Interface Offloaded Connections,PhysicalDisk Current Disk Queue Length,PhysicalDisk % Disk Time,PhysicalDisk Avg. Disk Queue Length,PhysicalDisk % Disk Read Time,PhysicalDisk Avg. Disk Read Queue Length,PhysicalDisk % Disk Write Time,PhysicalDisk Avg. Disk Write Queue Length,PhysicalDisk Avg. Disk sec/Transfer,PhysicalDisk Avg. Disk sec/Read,PhysicalDisk Avg. Disk sec/Write,PhysicalDisk Disk Transfers/sec,PhysicalDisk Disk Reads/sec,PhysicalDisk Disk Writes/sec,PhysicalDisk Disk Bytes/sec,PhysicalDisk Disk Read Bytes/sec,PhysicalDisk Disk Write Bytes/sec,PhysicalDisk Avg. Disk Bytes/Transfer,PhysicalDisk Avg. Disk Bytes/Read,PhysicalDisk Avg. Disk Bytes/Write,PhysicalDisk % Idle Time,PhysicalDisk Split IO/Sec,Process % Processor Time,Process % User Time,Process % Privileged Time,Process Virtual Bytes Peak,Process Virtual Bytes,Process Page Faults/sec,Process Working Set Peak,Process Working Set,Process Page File Bytes Peak,Process Page File Bytes,Process Private Bytes,Process Thread Count,Process Priority Base,Process Elapsed Time,Process ID Process,Process Creating Process ID,Process Pool Paged Bytes,Process Pool Nonpaged Bytes,Process Handle Count,Process IO Read Operations/sec,Process IO Write Operations/sec,Process IO Data Operations/sec,Process IO Other Operations/sec,Process IO Read Bytes/sec,Process IO Write Bytes/sec,Process IO Data Bytes/sec,Process IO Other Bytes/sec,Process Working Set - Private,Processor % Processor Time,Processor % User Time,Processor % Privileged Time,Processor Interrupts/sec,Processor % DPC Time,Processor % Interrupt Time,Processor DPCs Queued/sec,Processor DPC Rate,Processor % Idle Time,Processor % C1 Time,Processor % C2 Time,Processor % C3 Time,Processor C1 Transitions/sec,Processor C2 Transitions/sec,Processor C3 Transitions/sec,System File Read Operations/sec,System File Write Operations/sec,System File Control Operations/sec,System File Read Bytes/sec,System File Write Bytes/sec,System File Control Bytes/sec,System Context Switches/sec,System System Calls/sec,System File Data Operations/sec,System System Up Time,System Processor Queue Length,System Processes,System Threads,System Alignment Fixups/sec,System Exception Dispatches/sec,System Floating Emulations/sec,System % Registry Quota In Use,TCPv4 Segments/sec,TCPv4 Connections Established,TCPv4 Connections Active,TCPv4 Connections Passive,TCPv4 Connection Failures,TCPv4 Connections Reset,TCPv4 Segments Received/sec,TCPv4 Segments Sent/sec,TCPv4 Segments Retransmitted/sec,Thread Context Switches/sec,Thread % Processor Time,Thread % User Time,Thread % Privileged Time,Thread Elapsed Time,Thread Priority Current,Thread Priority Base,Thread Start Address,Thread Thread State,Thread Thread Wait Reason,Thread ID Process,Thread ID Thread,UDPv4 Datagrams/sec,UDPv4 Datagrams Received/sec,UDPv4 Datagrams No Port/sec,UDPv4 Datagrams Received Errors,UDPv4 Datagrams Sent/sec
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16415,12686,0,2,0,0,6,12920,3729,0,2,0,0,0,0,0,0,1100320,318750720,803373056,2147016704,8900,176058,90897,831186,111777,103329,27211,8448,85204992,20561920,33,58157,43879,33555668,28999680,32522240,84860928,7172096,2416640,5550080,6049792,28999680,196136,311276,303,6,270336,19107840,129822720,188653568,0,16208129,16504,12702,3802,1000000000,15777850,12701,1,0,0,0,430279,3612,190,0,0,0,0,0,1357153000,1357153000,1322941000,1322941000,34212000,34212000,1357153000,1322941000,34212000,19187,15780,3407,444233216,325580288,118652928,444233216,325580288,118652928,1464754000,464,2235625000,503125000,1732500000,4501348352,3927859200,882058,810221568,685723648,626188288,513568768,513568768,543,0,131353614649740516,0,0,5259760,744524,10863,49848,110756,160604,177319,346411857,79704511,426116368,7014779,359608320,1563750000,511093750,197500000,173703,3593750,18906250,36694,2,1563750000,1340757838,0,0,89052,0,0,50962,110903,181399,406055537,79724991,7101353,603128,3684768,161865,131353612395000000,5,38,543,0,44155,0,53541984,24860,31,77,3,1,3,17012,7848,112,517209,2136406250,440937500,1695468750,131353614650316688,0,0,0,0,0,0,0,504,235,5,0,269
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16417,12687,0,2,0,0,6,12921,3730,0,2,0,0,0,0,0,0,1101174,321048576,800403456,2147016704,8902,176222,90986,831771,111872,103424,27226,8448,85180416,20590592,33,58172,43923,33555670,28467200,32522240,84865024,7172096,2416640,5550080,6049792,28467200,195411,313524,306,8,1728512,19107840,129757184,189562880,0,16208248,16506,12703,3803,1000000000,15777914,12702,1,0,0,0,430334,3613,190,0,0,0,0,0,1362367000,1362367000,1325993000,1325993000,36374000,36374000,1362367000,1325993000,36374000,19297,15800,3497,445712896,326081536,119631360,445712896,326081536,119631360,1471423000,470,2245312500,504843750,1740468750,4501417984,3932078080,882814,811749376,688467968,628015104,514142208,514142208,543,0,131353614659662391,0,0,5272232,745964,10914,50041,110992,161033,180029,346454702,79825239,426279941,7203935,361414656,1569843750,512656250,199687500,175028,3593750,19375000,36897,1,1569843750,1346451848,0,0,89780,0,0,51155,111139,184109,406098382,79845719,7290509,607871,3717952,162294,131353612395000000,5,38,543,0,44155,0,53541984,24885,31,77,3,1,3,17025,7860,113,521700,2143125000,441406250,1701875000,131353614660297157,0,0,0,0,0,0,0,504,235,5,0,269
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16425,12691,0,2,0,0,6,12925,3734,0,2,0,0,0,0,0,0,1101833,321413120,800837632,2147016704,8903,176242,91005,832387,111894,103446,27230,8448,85209088,20664320,33,58198,43958,33555670,28532736,32522240,84873216,7172096,2416640,5550080,6049792,28532736,195517,313880,306,8,1974272,19120128,129822720,189616128,0,16208752,16514,12707,3807,1000000000,15778170,12706,1,0,0,0,430582,3617,190,0,0,0,0,0,1364224000,1364224000,1326309000,1326309000,37915000,37915000,1364224000,1326309000,37915000,19313,15804,3509,446033920,326171648,119862272,446033920,326171648,119862272,1482030000,472,2257500000,507812500,1749687500,4501422080,3934203904,883451,812187648,687972352,628584448,515088384,515088384,543,0,131353614672152626,0,0,5272856,745012,10920,50274,111228,161502,182610,346503339,79997891,426501230,7389995,360914944,1577812500,515625000,201093750,176563,3593750,19687500,37046,1,1577812500,1354491266,0,0,90743,0,0,51388,111375,186690,406147019,80018371,7476569,613329,3753812,162763,131353612395000000,4,38,543,0,44155,0,53541984,24908,30,77,3,1,3,17037,7871,114,526643,2153281250,443281250,1710000000,131353614672553016,0,0,0,0,0,0,0,504,235,5,0,269
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16432,12695,0,2,0,0,6,12929,3737,0,2,0,0,0,0,0,0,1116143,322387968,799760384,2147016704,8903,185144,91009,837791,111895,103447,27231,8448,85229568,20602880,33,58212,43942,33555668,28471296,32522240,84901888,7172096,2416640,5550080,6049792,28471296,195254,314832,307,10,3915776,19050496,129761280,188710912,0,16209196,16521,12711,3810,1000000000,15778451,12710,1,0,0,0,430745,3620,190,0,0,0,0,0,1364262000,1364262000,1326309000,1326309000,37953000,37953000,1364262000,1326309000,37953000,19333,15804,3529,446146048,326171648,119974400,446146048,326171648,119974400,1493044000,474,2268437500,509843750,1758750000,4501544960,3934429184,893724,814395392,691273728,629276672,518078464,518078464,543,0,131353614683197547,0,0,5273136,744436,10917,50479,111435,161914,186609,346546024,80098331,426644355,7584365,363249664,1583593750,517656250,204375000,177942,3593750,19687500,37188,1,1583593750,1359452976,0,0,91329,0,0,51593,111582,190689,406189704,80118811,7670939,618259,3794339,163175,131353612395000000,3,38,543,0,44155,0,53541984,24914,29,77,3,1,3,17041,7873,115,531119,2160468750,444375000,1716093750,131353614683607704,0,0,0,0,0,0,0,504,235,5,0,269
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16435,12697,0,2,0,0,6,12931,3738,0,2,0,0,0,0,0,0,1116546,322813952,798683136,2147016704,8903,185167,91020,838160,111895,103447,27231,8448,85184512,20586496,33,58197,43939,33555668,28483584,32522240,84873216,7172096,2416640,5550080,6049792,28483584,194991,315248,307,10,4354048,19050496,129761280,188698624,0,16209464,16524,12713,3811,1000000000,15778619,12712,1,0,0,0,430845,3621,190,0,0,0,0,0,1364266000,1364266000,1326309000,1326309000,37957000,37957000,1364266000,1326309000,37957000,19336,15804,3532,446187008,326171648,120015360,446187008,326171648,120015360,1504289000,474,2279531250,512031250,1767500000,4501561344,3937185792,894145,814673920,690847744,629526528,516898816,516898816,543,0,131353614694437782,0,0,5278520,744796,10943,50699,111656,162355,189203,346595086,80170696,426765782,7771635,362840064,1590937500,520000000,205937500,179299,3593750,19843750,37309,2,1590937500,1366601990,0,0,92172,0,0,51813,111803,193283,406238766,80191176,7858209,623347,3829230,163616,131353612395000000,7,38,543,0,44155,0,53541984,24926,29,77,3,1,3,17047,7879,115,535866,2170156250,446093750,1724062500,131353614694955360,0,0,0,0,0,0,0,504,235,5,0,269
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16436,12697,0,2,0,0,6,12931,3739,0,2,0,0,0,0,0,0,1116858,322342912,799875072,2147016704,8904,185214,91020,838425,111895,103447,27231,8448,85200896,20643840,33,58198,43964,33555668,28471296,32522240,84873216,7172096,2416640,5550080,6049792,28471296,195282,314788,307,10,3715072,19050496,129761280,188866560,0,16209518,16525,12713,3812,1000000000,15778619,12712,1,0,0,0,430899,3622,190,0,0,0,0,0,1364280000,1364280000,1326309000,1326309000,37971000,37971000,1364280000,1326309000,37971000,19340,15804,3536,446211584,326171648,120039936,446211584,326171648,120039936,1515418000,474,2290781250,514218750,1776562500,4501561344,3936505856,894413,814710784,691146752,629534720,518602752,518602752,543,0,131353614705570594,0,0,5277192,744428,10945,50907,111864,162771,191704,346642301,80207241,426849542,7955069,363814912,1598593750,522031250,207343750,180630,3593750,19843750,37423,1,1598593750,1373631622,0,0,93000,0,0,52021,112011,195784,406285981,80227721,8041643,628231,3862308,164032,131353612395000000,3,38,543,0,44155,0,53541984,24934,29,77,3,1,3,17051,7883,115,540361,2179062500,447343750,1731875000,131353614706010047,0,0,0,0,0,0,0,504,235,5,0,269
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16436,12697,0,2,0,0,6,12931,3739,0,2,0,0,0,0,0,0,1117123,325877760,795828224,2147016704,8904,185235,91024,838664,111903,103455,27232,8448,85200896,20672512,33,58207,43973,33555668,28487680,32522240,84873216,7172096,2416640,5550080,6049792,28487680,194294,318240,310,10,7233536,19091456,129761280,188882944,0,16209518,16525,12713,3812,1000000000,15778619,12712,1,0,0,0,430899,3622,190,0,0,0,0,0,1364288000,1364288000,1326317000,1326317000,37971000,37971000,1364288000,1326317000,37971000,19341,15805,3536,446244352,326204416,120039936,446244352,326204416,120039936,1526471000,474,2300937500,515937500,1785000000,4501565440,3936505856,894674,814755840,687652864,629538816,514363392,514363392,543,0,131353614716635047,0,0,5277192,744556,10923,51108,112065,163173,194150,346689745,80242810,426932555,8135669,360308736,1605937500,523750000,209375000,181956,3750000,20468750,37538,1,1605937500,1380544244,0,0,93796,0,0,52222,112212,198230,406333425,80263290,8222243,632838,3891835,164434,131353612395000000,14,38,543,0,44155,0,53541984,24934,29,77,3,1,3,17051,7883,115,544584,2187968750,448750000,1739218750,131353614717025672,0,0,0,0,0,0,0,504,235,5,0,269
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16471,12715,0,2,0,0,6,12949,3756,0,2,0,0,0,0,0,0,1117575,326811648,794128384,2147016704,8904,185268,91028,839078,111905,103457,27233,8448,85250048,20611072,33,58240,43955,33555670,28487680,32522240,84905984,7172096,2416640,5550080,6049792,28487680,193879,319152,311,10,8163328,19099648,129761280,188887040,0,16212555,16560,12731,3829,1000000000,15780010,12730,1,0,0,0,432545,3639,190,0,0,0,0,0,1364302000,1364302000,1326325000,1326325000,37977000,37977000,1364302000,1326325000,37977000,19343,15806,3537,446258688,326212608,120046080,446258688,326212608,120046080,1538628000,474,2312968750,519218750,1793750000,4501565440,3935825920,895113,814895104,686366720,629542912,512921600,512921600,543,0,131353614728822547,0,0,5275480,742732,10927,51340,112302,163642,196784,346752259,80296465,427048724,8324749,359661568,1613437500,527187500,210625000,183484,3750000,20625000,37685,1,1613437500,1387855881,0,0,94655,0,0,52454,112449,200864,406395939,80316945,8411323,638288,3929748,164903,131353612395000000,11,38,543,0,44155,0,53541984,24986,27,77,3,1,3,17079,7907,118,549671,2197968750,451250000,1746718750,131353614729193641,0,0,0,0,0,0,0,504,235,5,0,269
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17698,13726,0,2,0,0,6,13960,3972,0,2,0,0,0,0,0,0,1120969,323342336,798220288,2147016704,8904,185298,91030,842440,111905,103457,27233,8448,85233664,20570112,33,58267,43959,33555670,28475392,32522240,84901888,7172096,2416640,5550080,6049792,28475392,194878,315764,308,11,3612672,19374080,129757184,189972480,0,17614395,17787,13742,4045,1000000000,17168315,13741,1,0,0,0,446080,3855,190,0,0,0,0,0,1364338000,1364338000,1326325000,1326325000,38013000,38013000,1364338000,1326325000,38013000,19349,15806,3543,447326208,326212608,121113600,447326208,326212608,121113600,1551016000,478,2325312500,522656250,1802656250,4503031808,3939282944,898539,814968832,690479104,629743616,518201344,518201344,543,0,131353614741215126,0,0,5278136,743204,10937,52139,113141,165280,199685,348173251,83067325,431240576,8518299,364101632,1620468750,530468750,212812500,185482,3906250,20625000,38072,2,1620468750,1394238402,0,0,95395,0,0,53253,113288,203765,407816931,83087805,8604873,645125,3974281,166541,131353612395000000,6,38,543,0,44155,0,53541984,26259,27,77,3,1,3,18113,8146,118,556138,2208437500,453281250,1755156250,131353614741693641,0,0,0,0,0,0,0,510,238,5,0,272
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17698,13726,0,2,0,0,6,13960,3972,0,2,0,0,0,0,0,0,1121371,324210688,796880896,2147016704,8905,185325,91035,842809,111909,103461,27234,8448,85250048,20619264,33,58229,43970,33555668,28471296,32522240,84910080,7172096,2416640,5550080,6049792,28471296,194551,316612,309,11,4177920,19111936,129757184,190275584,0,17614395,17787,13742,4045,1000000000,17168315,13741,1,0,0,0,446080,3855,190,0,0,0,0,0,1364366000,1364366000,1326333000,1326333000,38033000,38033000,1364366000,1326333000,38033000,19355,15807,3548,447653376,326228992,121424384,447653376,326228992,121424384,1561965000,480,2336093750,524218750,1811875000,4503035904,3939282944,898900,815058944,690036736,629743616,517017600,517017600,543,0,131353614752211219,0,0,5278136,743332,10941,52328,113330,165658,202202,348222400,83100982,431323382,8703289,363687936,1628125000,532187500,214375000,186820,3906250,20781250,38183,1,1628125000,1401119349,0,0,96201,0,0,53442,113477,206282,407866080,83121462,8789863,649861,4007090,166919,131353612395000000,10,38,543,0,44155,0,53541984,26259,27,77,3,1,3,18113,8146,118,560510,2217343750,454687500,1762656250,131353614752679969,0,0,0,0,0,0,0,510,238,5,0,272
