ICMP Messages/sec,ICMP Messages Received/sec,ICMP Messages Received Errors,ICMP Received Dest. Unreachable,ICMP Received Time Exceeded,ICMP Received Parameter Problem,ICMP Received Source Quench,ICMP Received Redirect/sec,ICMP Received Echo/sec,ICMP Received Echo Reply/sec,ICMP Received Timestamp/sec,ICMP Received Timestamp Reply/sec,ICMP Received Address Mask,ICMP Received Address Mask Reply,ICMP Messages Sent/sec,ICMP Messages Outbound Errors,ICMP Sent Destination Unreachable,ICMP Sent Time Exceeded,ICMP Sent Parameter Problem,ICMP Sent Source Quench,ICMP Sent Redirect/sec,ICMP Sent Echo/sec,ICMP Sent Echo Reply/sec,ICMP Sent Timestamp/sec,ICMP Sent Timestamp Reply/sec,ICMP Sent Address Mask,ICMP Sent Address Mask Reply,IPv4 Datagrams/sec,IPv4 Datagrams Received/sec,IPv4 Datagrams Received Header Errors,IPv4 Datagrams Received Address Errors,IPv4 Datagrams Forwarded/sec,IPv4 Datagrams Received Unknown Protocol,IPv4 Datagrams Received Discarded,IPv4 Datagrams Received Delivered/sec,IPv4 Datagrams Sent/sec,IPv4 Datagrams Outbound Discarded,IPv4 Datagrams Outbound No Route,IPv4 Fragments Received/sec,IPv4 Fragments Re-assembled/sec,IPv4 Fragment Re-assembly Failures,IPv4 Fragmented Datagrams/sec,IPv4 Fragmentation Failures,IPv4 Fragments Created/sec,Memory Page Faults/sec,Memory Available Bytes,Memory Committed Bytes,Memory Commit Limit,Memory Write Copies/sec,Memory Transition Faults/sec,Memory Cache Faults/sec,Memory Demand Zero Faults/sec,Memory Pages/sec,Memory Pages Input/sec,Memory Page Reads/sec,Memory Pages Output/sec,Memory Pool Paged Bytes,Memory Pool Nonpaged Bytes,Memory Page Writes/sec,Memory Pool Paged Allocs,Memory Pool Nonpaged Allocs,Memory Free System Page Table Entries,Memory Cache Bytes,Memory Cache Bytes Peak,Memory Pool Paged Resident Bytes,Memory System Code Total Bytes,Memory System Code Resident Bytes,Memory System Driver Total Bytes,Memory System Driver Resident Bytes,Memory System Cache Resident Bytes,Memory % Committed Bytes In Use,Memory Available KBytes,Memory Available MBytes,Memory Transition Pages RePurposed/sec,Memory Free & Zero Page List Bytes,Memory Modified Page List Bytes,Memory Standby Cache Reserve Bytes,Memory Standby Cache Normal Priority Bytes,Memory Standby Cache Core Bytes,Network Interface Bytes Total/sec,Network Interface Packets/sec,Network Interface Packets Received/sec,Network Interface Packets Sent/sec,Network Interface Current Bandwidth,Network Interface Bytes Received/sec,Network Interface Packets Received Unicast/sec,Network Interface Packets Received Non-Unicast/sec,Network Interface Packets Received Discarded,Network Interface Packets Received Errors,Network Interface Packets Received Unknown,Network Interface Bytes Sent/sec,Network Interface Packets Sent Unicast/sec,Network Interface Packets Sent Non-Unicast/sec,Network Interface Packets Outbound Discarded,Network Interface Packets Outbound Errors,Network Interface Output Queue Length,Network Interface Offloaded Connections,PhysicalDisk Current Disk Queue Length,PhysicalDisk % Disk Time,PhysicalDisk Avg. Disk Queue Length,PhysicalDisk % Disk Read Time,PhysicalDisk Avg. Disk Read Queue Length,PhysicalDisk % Disk Write Time,PhysicalDisk Avg. Disk Write Queue Length,PhysicalDisk Avg. Disk sec/Transfer,PhysicalDisk Avg. Disk sec/Read,PhysicalDisk Avg. Disk sec/Write,PhysicalDisk Disk Transfers/sec,PhysicalDisk Disk Reads/sec,PhysicalDisk Disk Writes/sec,PhysicalDisk Disk Bytes/sec,PhysicalDisk Disk Read Bytes/sec,PhysicalDisk Disk Write Bytes/sec,PhysicalDisk Avg. Disk Bytes/Transfer,PhysicalDisk Avg. Disk Bytes/Read,PhysicalDisk Avg. Disk Bytes/Write,PhysicalDisk % Idle Time,PhysicalDisk Split IO/Sec,Process % Processor Time,Process % User Time,Process % Privileged Time,Process Virtual Bytes Peak,Process Virtual Bytes,Process Page Faults/sec,Process Working Set Peak,Process Working Set,Process Page File Bytes Peak,Process Page File Bytes,Process Private Bytes,Process Thread Count,Process Priority Base,Process Elapsed Time,Process ID Process,Process Creating Process ID,Process Pool Paged Bytes,Process Pool Nonpaged Bytes,Process Handle Count,Process IO Read Operations/sec,Process IO Write Operations/sec,Process IO Data Operations/sec,Process IO Other Operations/sec,Process IO Read Bytes/sec,Process IO Write Bytes/sec,Process IO Data Bytes/sec,Process IO Other Bytes/sec,Process Working Set - Private,Processor % Processor Time,Processor % User Time,Processor % Privileged Time,Processor Interrupts/sec,Processor % DPC Time,Processor % Interrupt Time,Processor DPCs Queued/sec,Processor DPC Rate,Processor % Idle Time,Processor % C1 Time,Processor % C2 Time,Processor % C3 Time,Processor C1 Transitions/sec,Processor C2 Transitions/sec,Processor C3 Transitions/sec,System File Read Operations/sec,System File Write Operations/sec,System File Control Operations/sec,System File Read Bytes/sec,System File Write Bytes/sec,System File Control Bytes/sec,System Context Switches/sec,System System Calls/sec,System File Data Operations/sec,System System Up Time,System Processor Queue Length,System Processes,System Threads,System Alignment Fixups/sec,System Exception Dispatches/sec,System Floating Emulations/sec,System % Registry Quota In Use,TCPv4 Segments/sec,TCPv4 Connections Established,TCPv4 Connections Active,TCPv4 Connections Passive,TCPv4 Connection Failures,TCPv4 Connections Reset,TCPv4 Segments Received/sec,TCPv4 Segments Sent/sec,TCPv4 Segments Retransmitted/sec,Thread Context Switches/sec,Thread % Processor Time,Thread % User Time,Thread % Privileged Time,Thread Elapsed Time,Thread Priority Current,Thread Priority Base,Thread Start Address,Thread Thread State,Thread Thread Wait Reason,Thread ID Process,Thread ID Thread,UDPv4 Datagrams/sec,UDPv4 Datagrams Received/sec,UDPv4 Datagrams No Port/sec,UDPv4 Datagrams Received Errors,UDPv4 Datagrams Sent/sec,Class
5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,11685,7987,0,0,0,0,13,8119,3701,0,6,0,0,0,0,0,0,1012418,211828736,899117056,2147016704,16075,370531,143913,568566,189316,175898,94033,13418,99524608,23986176,53,76228,56076,33555670,65417216,70103040,99180544,7172096,2428928,5550080,6045696,65417216,219511,206864,202,49315,21815296,12431360,1257472,188755968,0,8867812,11793,8013,3780,1000000000,8431337,8012,1,0,0,0,436475,3575,205,0,0,0,0,0,2681957000,2681957000,2661108000,2661108000,20849000,20849000,2681957000,2661108000,20849000,86240,81540,4700,788406784,623559680,164847104,788406784,623559680,164847104,3081704000,1127,4008125000,343125000,3665000000,5228556288,4722409472,528840,942268416,797884416,671698944,558473216,558473216,577,0,1.31354219703101E+017,0,0,6721968,884524,12434,37955,89223,127178,1395214,391347754,75090705,466438459,165841912,381349888,3447500000,374843750,295781250,215904,2656250,22343750,85503,3,3447500000,3261636207,0,0,82598,0,0,39959,94067,1517701,459333857,78376456,173915495,698105,7723009,134026,1.31354215585E+017,11,47,577,0,45293,0,54583488,19382,38,99,3,4,7,11945,7437,62,552760,3922500000,305781250,3616875000,1.31354219703374E+017,0,0,0,0,0,0,0,523,226,13,0,297,Yanker
5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,11804,8078,0,0,0,0,13,8201,3726,0,6,0,0,0,0,0,0,1014602,208654336,898875392,2147016704,16093,370809,145406,569034,189511,176093,94212,13418,99520512,23994368,53,76272,56465,33555669,68976640,70103040,99176448,7172096,2428928,5550080,6045696,68976640,219452,203764,198,49315,17367040,12926976,1290240,189997056,0,8957620,11900,8095,3805,1000000000,8519331,8094,1,0,0,0,438289,3600,205,0,0,0,0,0,2689435000,2689435000,2668278000,2668278000,21157000,21157000,2689435000,2668278000,21157000,86478,81675,4803,794976768,624423936,170552832,794976768,624423936,170552832,3086673000,1133,4019531250,346406250,3673125000,5232656384,4724600832,529532,942415872,798167040,672501760,558243840,558243840,576,0,1.31354219714556E+017,0,0,6725224,886652,12468,38155,89448,127603,1490904,391920054,75697178,467617232,168350510,380932096,3448437500,378125000,303125000,217702,2656250,22343750,85895,2,3448437500,3262932956,0,0,82880,0,0,40159,94292,1613391,459906157,78982929,176424093,710042,7884072,134451,1.31354215585E+017,9,47,576,0,45293,0,54583488,19476,38,99,3,4,7,12014,7462,64,564181,3930937500,306406250,3624531250,1.31354219714839E+017,0,0,0,0,0,0,0,524,226,13,0,298,Yanker
5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,11909,8156,0,0,0,0,13,8280,3756,0,6,0,0,0,0,0,0,1017621,205275136,903487488,2147016704,16194,372014,146368,569854,190224,176806,94438,13418,99491840,23990272,53,75660,56104,33555670,70144000,70144000,99147776,7172096,2428928,5550080,6045696,70144000,220578,200464,195,49315,9011200,11993088,1380352,194883584,0,9036983,12008,8173,3835,1000000000,8596855,8172,1,0,0,0,440182,3630,206,0,0,0,0,0,2700064000,2700064000,2678460000,2678460000,21604000,21604000,2700064000,2678460000,21604000,86802,81880,4922,807377408,629070848,178306560,807377408,629070848,178306560,3093195000,1154,4030468750,349218750,3681250000,5273522176,4763754496,531524,947875840,804438016,674455552,561758208,561758208,579,0,1.31354219725943E+017,0,0,6797104,894948,12582,38340,89630,127970,1576540,392023062,75926840,467949902,170535643,383160320,3450781250,380937500,309218750,219602,2656250,22812500,86372,3,3450781250,3265076034,0,0,83227,0,0,40344,94474,1699027,460009165,79212591,178609226,720169,8045606,134818,1.31354215585E+017,14,48,579,0,45298,0,54583488,19591,38,99,3,4,7,12099,7492,64,573878,3939531250,308281250,3631250000,1.31354219726236E+017,0,0,0,0,0,0,0,527,227,13,0,300,Yanker
5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,12005,8222,0,0,0,0,13,8346,3783,0,6,0,0,0,0,0,0,1034745,192876544,908599296,2147016704,16332,382667,146770,575886,191072,177654,94690,13418,99504128,24010752,53,75766,56359,33555663,70103040,70668288,99160064,7172096,2428928,5550080,6045696,70103040,221826,188356,183,50346,0,11952128,0,192876544,0,9106724,12101,8239,3862,1000000000,8665060,8238,1,0,0,0,441664,3656,206,0,0,0,0,0,2707829000,2707829000,2685796000,2685796000,22033000,22033000,2707829000,2685796000,22033000,87106,82129,4977,813364736,632964096,180400640,813364736,632964096,180400640,3100274000,1159,4041562500,351562500,3690000000,5463810048,4873031680,548106,969809920,821616640,682459136,565948416,565948416,587,0,1.31354219737427E+017,0,0,6982312,907236,12747,38522,89984,128506,1649225,392140966,76117470,468258436,172672273,393981952,3452812500,383281250,316406250,221493,2656250,23125000,86816,1,3452812500,3267153731,0,0,83539,0,0,40526,94828,1771712,460127069,79403221,180745856,725652,8177024,135354,1.31354215585E+017,14,49,587,0,45430,0,54583488,19672,38,99,3,4,7,12158,7514,66,577511,3949218750,309843750,3639375000,1.31354219737867E+017,0,0,0,0,0,0,0,528,227,13,0,301,Yanker
5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,12092,8289,0,0,0,0,13,8413,3803,0,6,0,0,0,0,0,0,1039030,160935936,910999552,2147016704,16350,384386,148728,576394,192291,178873,95247,13418,99581952,23994368,53,75674,56580,33555668,73924608,74575872,99217408,7172096,2428928,5550080,6045696,73924608,222412,157164,153,58692,0,37949440,0,160935936,0,9183330,12188,8306,3882,1000000000,8740492,8305,1,0,0,0,442838,3676,206,0,0,0,0,0,2715576000,2715576000,2693316000,2693316000,22260000,22260000,2715576000,2693316000,22260000,87669,82614,5055,821849600,637541376,184308224,821849600,637541376,184308224,3106428000,1159,4052500000,352500000,3700000000,5471059968,4880400384,550404,970489856,824459264,682459136,568274944,568274944,589,0,1.31354219748433E+017,0,0,6989984,910524,12806,38709,91818,130527,1723919,392687338,101520853,494208191,174484909,395546624,3454843750,384218750,324375000,223677,2656250,23281250,87506,1,3454843750,3269393082,0,0,83914,0,0,40713,96662,1846406,460673441,104806604,182558492,731426,8298910,137375,1.31354215585E+017,13,49,589,0,45433,0,54583488,19765,38,99,3,4,7,12229,7536,66,583005,3958593750,310625000,3648125000,1.31354219748873E+017,0,0,0,0,0,0,0,530,227,13,0,303,Yanker
5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,12233,8398,0,0,0,0,13,8523,3835,0,6,0,0,0,0,0,0,1062402,237727744,866029568,2147016704,16452,399330,159289,577866,199615,179273,95459,20342,99397632,24059904,81,74139,55043,33555668,75345920,76705792,98902016,7172096,2428928,5550080,6049792,75345920,211433,232156,226,65489,58028032,12455936,30375936,149323776,0,9315779,12329,8415,3914,1000000000,8871151,8414,1,0,0,0,444628,3707,207,0,0,0,0,1,2743133000,2743133000,2715956000,2715956000,27177000,27177000,2743133000,2715956000,27177000,88395,82847,5548,865241600,640680448,224561152,865241600,640680448,224561152,3109412000,1390,4033750000,331562500,3702187500,5116096512,4539432960,510427,903340032,750292992,639823872,529240064,529240064,560,0,1.31354219759507E+017,0,0,6389456,844124,11547,36751,89872,126623,1698375,385290131,73164180,458454311,170991567,355508224,3458593750,385937500,330000000,226290,2656250,23437500,88357,2,3458593750,3272114466,0,0,84450,0,0,40950,100747,1879167,486816591,132058889,183810820,739393,8394067,141697,1.31354215585E+017,10,45,560,0,45436,0,54583488,19904,38,99,3,4,7,12341,7564,73,561612,3939531250,289375000,3650156250,1.31354219759888E+017,0,0,0,0,0,0,0,535,230,13,0,305,Yanker
6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,12273,8420,0,0,0,0,14,8545,3853,0,6,0,0,0,0,0,0,1063938,237727744,865837056,2147016704,16454,399440,160047,578675,199837,179495,95667,20342,99401728,24039424,81,74038,53283,33555665,76505088,77381632,98959360,7172096,2428928,5550080,6049792,76505088,211654,232156,226,65489,56406016,11296768,30175232,151146496,0,9328885,12369,8437,3932,1000000000,8881306,8436,1,0,0,0,447579,3724,208,0,0,0,0,0,2772703000,2772703000,2743771000,2743771000,28932000,28932000,2772703000,2743771000,28932000,89192,83121,6071,887618048,646373888,241244160,887618048,646373888,241244160,3110133000,1434,4044531250,333281250,3711250000,5116096512,4537147392,511296,903340032,751095808,640020480,530128896,530128896,558,0,1.31354219770621E+017,0,0,6390912,843252,11550,36944,90071,127015,1753385,385357479,73236126,458593605,172319741,356065280,3462968750,387812500,335000000,228747,2656250,23750000,89141,1,3462968750,3275486267,0,0,85106,0,0,41143,100946,1934177,486883939,132130835,185138994,746117,8482956,142089,1.31354215585E+017,13,45,558,0,45446,0,54583488,19976,37,99,3,4,7,12381,7595,76,568091,3949375000,291250000,3658125000,1.3135421977107E+017,0,0,0,0,0,0,0,538,231,14,0,307,Yanker
6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,12519,8608,0,0,0,0,14,8734,3911,0,6,0,0,0,0,0,0,1065971,233598976,868589568,2147016704,16456,399617,161365,579158,200176,179834,95997,20342,99233792,23941120,81,73373,53404,33555670,78344192,78344192,98811904,7172096,2428928,5550080,6049792,78344192,212058,228124,222,65489,51175424,11300864,29749248,152674304,0,9541556,12615,8625,3990,1000000000,9090731,8624,1,0,0,0,450825,3781,209,0,0,0,0,0,2790068000,2790068000,2760645000,2760645000,29423000,29423000,2790068000,2760645000,29423000,89731,83430,6301,894339584,648180224,246159360,894339584,648180224,246159360,3111021000,1451,4055156250,335156250,3720000000,5116096512,4537171968,511902,903532544,753463296,640806912,531787776,531787776,558,0,1.31354219781773E+017,0,0,6391760,842412,11544,37206,90337,127543,1797656,386042243,73922104,459964347,173220401,358346752,3468437500,389687500,338750000,230916,2812500,24062500,89884,8,3468437500,3280026369,0,0,86069,0,0,41405,101212,1978448,487568703,132816813,186039654,753116,8561210,142617,1.31354215585E+017,15,45,558,0,45468,0,54583488,20278,37,99,3,4,7,12614,7664,76,574473,3958437500,292343750,3666093750,1.31354219782066E+017,0,0,0,0,0,0,0,543,234,14,0,309,Yanker
6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,13117,9061,0,0,0,0,14,9187,4056,0,6,0,0,0,0,0,0,1068163,230821888,869883904,2147016704,16456,399714,162604,580101,200471,180129,96252,20342,99016704,23937024,81,72788,53420,33555670,78757888,79151104,98598912,7172096,2428928,5550080,6049792,78757888,212374,225412,220,65489,45477888,11296768,29835264,155508736,0,10013047,13213,9078,4135,1000000000,9551662,9077,1,0,0,0,461385,3926,209,0,0,0,0,0,2804449000,2804449000,2774764000,2774764000,29685000,29685000,2804449000,2774764000,29685000,90046,83621,6425,899369472,649130496,250238976,899369472,649130496,250238976,3112032000,1479,4066562500,337968750,3728750000,5116096512,4537286656,512817,904245248,756150272,640806912,534147072,534147072,558,0,1.31354219793384E+017,0,0,6390128,842564,11551,37559,90695,128254,1864049,386509083,74390158,460899241,174615847,361492480,3471562500,392343750,344531250,233045,2812500,24218750,90544,2,3471562500,3282925222,0,0,86632,0,0,41758,101570,2044841,488035543,133284867,187435100,759064,8663146,143328,1.31354215585E+017,10,45,558,0,45482,0,54583488,20899,38,100,3,4,7,13062,7837,77,580068,3968750000,294843750,3674062500,1.31354219793755E+017,0,0,0,0,0,0,0,543,234,14,0,309,Yanker
6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,13317,9208,0,0,0,0,14,9340,4111,0,6,0,0,0,0,0,0,1069981,229093376,865705984,2147016704,16457,400333,163687,580567,200635,180293,96409,20342,98979840,23937024,81,72588,53886,33555670,81231872,81231872,98566144,7172096,2428928,5550080,6049792,81231872,211354,223724,218,65489,45309952,11296768,28835840,154947584,0,10178991,13435,9242,4193,1000000000,9714474,9241,1,0,0,0,464517,3984,209,0,0,0,0,0,2809206000,2809206000,2779322000,2779322000,29884000,29884000,2809206000,2779322000,29884000,90246,83732,6514,903879168,650101248,253777920,903879168,650101248,253777920,3120405000,1496,4077968750,339687500,3738281250,5116096512,4536266752,513537,904544256,755105792,640929792,529334272,529334272,559,0,1.31354219805074E+017,0,0,6391344,847292,11528,37776,90917,128693,1944504,386688903,74571194,461260097,176601887,360083456,3474687500,394062500,351406250,234872,2812500,24531250,90969,3,3474687500,3285625754,0,0,87117,0,0,41975,101792,2125296,488215363,133465903,189421140,763998,8777448,143767,1.31354215585E+017,11,45,559,0,45486,0,54583488,21130,38,100,3,4,7,13230,7900,77,584707,3978906250,296093750,3682968750,1.31354219805415E+017,0,0,0,0,0,0,0,543,234,14,0,309,Yanker
