ICMP Messages/sec,ICMP Messages Received/sec,ICMP Messages Received Errors,ICMP Received Dest. Unreachable,ICMP Received Time Exceeded,ICMP Received Parameter Problem,ICMP Received Source Quench,ICMP Received Redirect/sec,ICMP Received Echo/sec,ICMP Received Echo Reply/sec,ICMP Received Timestamp/sec,ICMP Received Timestamp Reply/sec,ICMP Received Address Mask,ICMP Received Address Mask Reply,ICMP Messages Sent/sec,ICMP Messages Outbound Errors,ICMP Sent Destination Unreachable,ICMP Sent Time Exceeded,ICMP Sent Parameter Problem,ICMP Sent Source Quench,ICMP Sent Redirect/sec,ICMP Sent Echo/sec,ICMP Sent Echo Reply/sec,ICMP Sent Timestamp/sec,ICMP Sent Timestamp Reply/sec,ICMP Sent Address Mask,ICMP Sent Address Mask Reply,IPv4 Datagrams/sec,IPv4 Datagrams Received/sec,IPv4 Datagrams Received Header Errors,IPv4 Datagrams Received Address Errors,IPv4 Datagrams Forwarded/sec,IPv4 Datagrams Received Unknown Protocol,IPv4 Datagrams Received Discarded,IPv4 Datagrams Received Delivered/sec,IPv4 Datagrams Sent/sec,IPv4 Datagrams Outbound Discarded,IPv4 Datagrams Outbound No Route,IPv4 Fragments Received/sec,IPv4 Fragments Re-assembled/sec,IPv4 Fragment Re-assembly Failures,IPv4 Fragmented Datagrams/sec,IPv4 Fragmentation Failures,IPv4 Fragments Created/sec,Memory Page Faults/sec,Memory Available Bytes,Memory Committed Bytes,Memory Commit Limit,Memory Write Copies/sec,Memory Transition Faults/sec,Memory Cache Faults/sec,Memory Demand Zero Faults/sec,Memory Pages/sec,Memory Pages Input/sec,Memory Page Reads/sec,Memory Pages Output/sec,Memory Pool Paged Bytes,Memory Pool Nonpaged Bytes,Memory Page Writes/sec,Memory Pool Paged Allocs,Memory Pool Nonpaged Allocs,Memory Free System Page Table Entries,Memory Cache Bytes,Memory Cache Bytes Peak,Memory Pool Paged Resident Bytes,Memory System Code Total Bytes,Memory System Code Resident Bytes,Memory System Driver Total Bytes,Memory System Driver Resident Bytes,Memory System Cache Resident Bytes,Memory % Committed Bytes In Use,Memory Available KBytes,Memory Available MBytes,Memory Transition Pages RePurposed/sec,Memory Free & Zero Page List Bytes,Memory Modified Page List Bytes,Memory Standby Cache Reserve Bytes,Memory Standby Cache Normal Priority Bytes,Memory Standby Cache Core Bytes,Network Interface Bytes Total/sec,Network Interface Packets/sec,Network Interface Packets Received/sec,Network Interface Packets Sent/sec,Network Interface Current Bandwidth,Network Interface Bytes Received/sec,Network Interface Packets Received Unicast/sec,Network Interface Packets Received Non-Unicast/sec,Network Interface Packets Received Discarded,Network Interface Packets Received Errors,Network Interface Packets Received Unknown,Network Interface Bytes Sent/sec,Network Interface Packets Sent Unicast/sec,Network Interface Packets Sent Non-Unicast/sec,Network Interface Packets Outbound Discarded,Network Interface Packets Outbound Errors,Network Interface Output Queue Length,Network Interface Offloaded Connections,PhysicalDisk Current Disk Queue Length,PhysicalDisk % Disk Time,PhysicalDisk Avg. Disk Queue Length,PhysicalDisk % Disk Read Time,PhysicalDisk Avg. Disk Read Queue Length,PhysicalDisk % Disk Write Time,PhysicalDisk Avg. Disk Write Queue Length,PhysicalDisk Avg. Disk sec/Transfer,PhysicalDisk Avg. Disk sec/Read,PhysicalDisk Avg. Disk sec/Write,PhysicalDisk Disk Transfers/sec,PhysicalDisk Disk Reads/sec,PhysicalDisk Disk Writes/sec,PhysicalDisk Disk Bytes/sec,PhysicalDisk Disk Read Bytes/sec,PhysicalDisk Disk Write Bytes/sec,PhysicalDisk Avg. Disk Bytes/Transfer,PhysicalDisk Avg. Disk Bytes/Read,PhysicalDisk Avg. Disk Bytes/Write,PhysicalDisk % Idle Time,PhysicalDisk Split IO/Sec,Process % Processor Time,Process % User Time,Process % Privileged Time,Process Virtual Bytes Peak,Process Virtual Bytes,Process Page Faults/sec,Process Working Set Peak,Process Working Set,Process Page File Bytes Peak,Process Page File Bytes,Process Private Bytes,Process Thread Count,Process Priority Base,Process Elapsed Time,Process ID Process,Process Creating Process ID,Process Pool Paged Bytes,Process Pool Nonpaged Bytes,Process Handle Count,Process IO Read Operations/sec,Process IO Write Operations/sec,Process IO Data Operations/sec,Process IO Other Operations/sec,Process IO Read Bytes/sec,Process IO Write Bytes/sec,Process IO Data Bytes/sec,Process IO Other Bytes/sec,Process Working Set - Private,Processor % Processor Time,Processor % User Time,Processor % Privileged Time,Processor Interrupts/sec,Processor % DPC Time,Processor % Interrupt Time,Processor DPCs Queued/sec,Processor DPC Rate,Processor % Idle Time,Processor % C1 Time,Processor % C2 Time,Processor % C3 Time,Processor C1 Transitions/sec,Processor C2 Transitions/sec,Processor C3 Transitions/sec,System File Read Operations/sec,System File Write Operations/sec,System File Control Operations/sec,System File Read Bytes/sec,System File Write Bytes/sec,System File Control Bytes/sec,System Context Switches/sec,System System Calls/sec,System File Data Operations/sec,System System Up Time,System Processor Queue Length,System Processes,System Threads,System Alignment Fixups/sec,System Exception Dispatches/sec,System Floating Emulations/sec,System % Registry Quota In Use,TCPv4 Segments/sec,TCPv4 Connections Established,TCPv4 Connections Active,TCPv4 Connections Passive,TCPv4 Connection Failures,TCPv4 Connections Reset,TCPv4 Segments Received/sec,TCPv4 Segments Sent/sec,TCPv4 Segments Retransmitted/sec,Thread Context Switches/sec,Thread % Processor Time,Thread % User Time,Thread % Privileged Time,Thread Elapsed Time,Thread Priority Current,Thread Priority Base,Thread Start Address,Thread Thread State,Thread Thread Wait Reason,Thread ID Process,Thread ID Thread,UDPv4 Datagrams/sec,UDPv4 Datagrams Received/sec,UDPv4 Datagrams No Port/sec,UDPv4 Datagrams Received Errors,UDPv4 Datagrams Sent/sec
144,40,0,0,0,0,0,30,3,0,0,0,0,0,104,0,104,0,0,0,0,0,0,0,0,0,0,43118,29579,0,196,0,21,2336,28425,13539,1,4,0,0,0,0,0,0,364394621,970985472,1284808704,4293902336,27327,338082911,378096,25941138,364527,327660,44623,36867,128753664,46817280,151,125901,82301,33557760,49803264,63967232,78979072,7217152,2580480,6152192,4546560,49803264,313947,946292,924,130456,88518656,48230400,633806848,205873152,40689664,26007047,52573,33133,19440,1000000000,15159935,33133,0,0,0,0,10847112,19440,0,0,0,0,0,0,2972472000,2972472000,2008391000,2008391000,964081000,964081000,2972472000,2008391000,964081000,60032,34099,25933,2222349312,1218041856,1004307456,2222349312,1218041856,1004307456,42156449000,5722,31988785055,9787190738,22201594317,5921071104,4965732352,361014263,1432252416,1045819392,1234362368,916848640,916848640,580,0,131337281473634040,0,0,6107856,983452,12732,80947,197527,278474,66754118,567990703,381549703,949540406,8657709686,689217536,10813833319,11774331476,21465737600,1399212,205609318,202801300,479132,1,10813833319,10460000000,0,0,406515,0,0,132515,258776,83498586,1406453079,767724166,9832706831,14145705,2832012783,391291,131337237494070412,26,44,580,0,50789,0,55289128,96198,80,577,4,4,12,52083,44115,1424,7293205,31267280430,9523861050,21743419380,131337281474304078,0,0,0,0,0,0,0,3860,1710,1919,337,2150
144,40,0,0,0,0,0,30,3,0,0,0,0,0,104,0,104,0,0,0,0,0,0,0,0,0,0,43122,29581,0,196,0,21,2336,28427,13541,1,4,0,0,0,0,0,0,364400267,967897088,1287589888,4293902336,27394,338087017,378101,25942582,364527,327660,44623,36867,128753664,46850048,151,125990,82434,33557760,49823744,63967232,78983168,7217152,2580480,6152192,4546560,49823744,314372,944852,922,130456,87330816,48226304,633806848,205803520,40587264,26007285,52577,33135,19442,1000000000,15160063,33135,0,0,0,0,10847222,19442,0,0,0,0,0,0,2972472000,2972472000,2008391000,2008391000,964081000,964081000,2972472000,2008391000,964081000,60032,34099,25933,2222349312,1218041856,1004307456,2222349312,1218041856,1004307456,42158892000,5722,31991125070,9787502740,22203622330,5942747136,4984745984,361022950,1435267072,1050558464,1235132416,919932928,919932928,579,0,131337281476064179,0,0,6147232,986756,12917,80949,197528,278477,66757947,568005225,381551021,949556246,8657884818,691744768,10813833319,11774799479,21467765613,1399556,205609318,202801300,479161,1,10813833319,10460000000,0,0,406515,0,0,132517,258777,83502415,1406467601,767725484,9832881963,14148363,2832089092,391294,131337237494070412,10,44,579,0,50789,0,55289128,96200,80,577,4,4,12,52085,44115,1426,7295934,31269620445,9524485054,21745291392,131337281476394197,0,0,0,0,0,0,0,3860,1710,1919,337,2150
144,40,0,0,0,0,0,30,3,0,0,0,0,0,104,0,104,0,0,0,0,0,0,0,0,0,0,43122,29581,0,196,0,21,2336,28427,13541,1,4,0,0,0,0,0,0,364404349,968798208,1285709824,4293902336,27394,338090572,378103,25943074,364528,327661,44624,36867,128745472,46854144,151,125992,82458,33557760,49831936,63967232,78983168,7217152,2580480,6152192,4546560,49831936,313894,946092,923,130456,88612864,48181248,633806848,205795328,40583168,26007285,52577,33135,19442,1000000000,15160063,33135,0,0,0,0,10847222,19442,0,0,0,0,0,0,2972472000,2972472000,2008391000,2008391000,964081000,964081000,2972472000,2008391000,964081000,60032,34099,25933,2222349312,1218041856,1004307456,2222349312,1218041856,1004307456,42161672000,5722,31993933088,9788594747,22205338341,5942747136,4988452864,361027870,1435316224,1049870336,1235136512,918564864,918564864,580,0,131337281478844338,0,0,6154536,987780,12944,80955,197533,278488,66761792,568005851,381554055,949559906,8658081250,690860032,10813833319,11775735485,21469637625,1399936,205609318,202801300,479196,2,10813833319,10460000000,0,0,406515,0,0,132523,258782,83506260,1406468227,767728518,9833078395,14151276,2832158841,391305,131337237494070412,12,44,580,0,50789,0,55289128,96200,80,577,4,4,12,52085,44115,1426,7298864,31272428463,9525265059,21747163404,131337281479194358,0,0,0,0,0,0,0,3860,1710,1919,337,2150
144,40,0,0,0,0,0,30,3,0,0,0,0,0,104,0,104,0,0,0,0,0,0,0,0,0,0,43122,29581,0,196,0,21,2336,28427,13541,1,4,0,0,0,0,0,0,364410663,965296128,1290117120,4293902336,27394,338094948,378105,25945010,364528,327661,44624,36867,128757760,46858240,151,126091,82469,33557760,49840128,63967232,78995456,7217152,2580480,6152192,4546560,49840128,314970,942672,920,130456,85229568,48177152,633806848,205787136,40472576,26007285,52577,33135,19442,1000000000,15160063,33135,0,0,0,0,10847222,19442,0,0,0,0,0,0,2972493000,2972493000,2008391000,2008391000,964102000,964102000,2972493000,2008391000,964102000,60033,34099,25934,2222353408,1218041856,1004311552,2222353408,1218041856,1004311552,42163353000,5722,31995649099,9788594747,22207054352,5942747136,4988452864,361028125,1435316224,1050914816,1235136512,920322048,920322048,580,0,131337281480554435,0,0,6154536,987780,12944,80955,197534,278489,66764210,568005851,381555373,949561224,8658251980,691904512,10813833319,11775891486,21471197635,1400187,205609318,202801300,479219,1,10813833319,10460000000,0,0,406515,0,0,132523,258783,83508678,1406468227,767729836,9833249125,14152920,2832178177,391306,131337237494070412,27,44,580,0,50789,0,55289128,96200,80,577,4,4,12,52085,44115,1426,7300411,31274768478,9525733062,21749035416,131337281481504490,0,0,0,0,0,0,0,3860,1710,1919,337,2150
144,40,0,0,0,0,0,30,3,0,0,0,0,0,104,0,104,0,0,0,0,0,0,0,0,0,0,43124,29582,0,196,0,21,2336,28428,13542,1,4,0,0,0,0,0,0,364417228,966594560,1288138752,4293902336,27401,338100760,378106,25945762,364528,327661,44624,36867,128761856,46858240,151,126101,82488,33557760,49844224,63967232,78995456,7217152,2580480,6152192,4546560,49844224,314487,943940,921,130456,86601728,48168960,633806848,205787136,40398848,26007404,52579,33136,19443,1000000000,15160127,33136,0,0,0,0,10847277,19443,0,0,0,0,0,0,2972493000,2972493000,2008391000,2008391000,964102000,964102000,2972493000,2008391000,964102000,60033,34099,25934,2222353408,1218041856,1004311552,2222353408,1218041856,1004311552,42165749000,5722,31997989114,9789062750,22208926364,5943898112,4994371584,361034637,1435873280,1050296320,1235247104,918671360,918671360,584,0,131337281482954573,0,0,6161968,989580,12987,80956,197535,278491,66767697,568006125,381556691,949562816,8658427828,690733056,10813833319,11776359489,21473069647,1400514,205609318,202801300,479246,1,10813833319,10460000000,0,0,406515,0,0,132524,258784,83512165,1406468501,767731154,9833424973,14155306,2832245737,391308,131337237494070412,28,44,584,0,50789,0,55289128,96201,80,577,4,4,12,52086,44115,1427,7302791,31276484489,9526045064,21750595426,131337281483274591,0,0,0,0,0,0,0,3860,1710,1919,337,2150
144,40,0,0,0,0,0,30,3,0,0,0,0,0,104,0,104,0,0,0,0,0,0,0,0,0,0,43124,29582,0,196,0,21,2336,28428,13542,1,4,0,0,0,0,0,0,364421032,965996544,1291046912,4293902336,27401,338104003,378106,25946323,364528,327661,44624,36867,128892928,46727168,151,126089,82526,33557760,49844224,63967232,79110144,7217152,2580480,6152192,4546560,49844224,315197,943356,921,130456,86003712,48173056,633806848,205787136,40398848,26007404,52579,33136,19443,1000000000,15160127,33136,0,0,0,0,10847277,19443,0,0,0,0,0,0,2972493000,2972493000,2008391000,2008391000,964102000,964102000,2972493000,2008391000,964102000,60033,34099,25934,2222353408,1218041856,1004311552,2222353408,1218041856,1004311552,42168977000,5722,32001265135,9790466759,22210798376,5982904320,5034491904,361044645,1437626368,1046110208,1235927040,914247680,914247680,587,0,131337281486174757,0,0,6242360,994020,12997,80957,197536,278493,66771802,568025333,381558009,949583342,8658605612,685297664,10813833319,11777763498,21474941659,1400935,205609318,202801300,479280,1,10813833319,10460000000,0,0,406515,0,0,132525,258785,83516270,1406487709,767732472,9833602757,14157941,2832330954,391310,131337237494070412,13,45,587,0,50789,0,55289128,96201,80,577,4,4,12,52086,44115,1427,7305431,31279760510,9527293072,21752467438,131337281486494775,0,0,0,0,0,0,0,3860,1710,1919,337,2150
144,40,0,0,0,0,0,30,3,0,0,0,0,0,104,0,104,0,0,0,0,0,0,0,0,0,0,43124,29582,0,196,0,21,2336,28428,13542,1,4,0,0,0,0,0,0,364427944,971108352,1285296128,4293902336,27434,338109833,378112,25947399,364528,327661,44624,36867,128909312,46759936,151,126090,82560,33557760,49868800,63967232,79114240,7217152,2580480,6152192,4546560,49868800,313793,948348,926,130456,91136000,48168960,633806848,205766656,40398848,26007404,52579,33136,19443,1000000000,15160127,33136,0,0,0,0,10847277,19443,0,0,0,0,0,0,2972493000,2972493000,2008391000,2008391000,964102000,964102000,2972493000,2008391000,964102000,60033,34099,25934,2222353408,1218041856,1004311552,2222353408,1218041856,1004311552,42170752000,5722,32003137147,9790778761,22212358386,5982904320,5035540480,361045232,1437642752,1046650880,1235927040,914235392,914235392,589,0,131337281487954859,0,0,6242312,994500,13005,80957,197537,278494,66774226,568025333,381559327,949584660,8658778448,685789184,10813833319,11777919499,21476501669,1401177,205609318,202801300,479300,1,10813833319,10460000000,0,0,406515,0,0,132525,258786,83518694,1406487709,767733790,9833775593,14159682,2832350689,391311,131337237494070412,31,45,589,0,50789,0,55289128,96201,80,577,4,4,12,52087,44115,1427,7307989,31282100525,9527761075,21754339450,131337281488844910,0,0,0,0,0,0,0,3860,1710,1919,337,2150
144,40,0,0,0,0,0,30,3,0,0,0,0,0,104,0,104,0,0,0,0,0,0,0,0,0,0,43125,29583,0,196,0,21,2336,28429,13542,1,4,0,0,0,0,0,0,364433019,971288576,1285853184,4293902336,27460,338114301,378112,25948006,364528,327661,44624,36867,128892928,46764032,151,126087,82615,33557760,49868800,63967232,79126528,7217152,2580480,6152192,4546560,49868800,313929,948524,926,130456,91353088,48173056,633806848,205746176,40382464,26007521,52580,33137,19443,1000000000,15160244,33137,0,0,0,0,10847277,19443,0,0,0,0,0,0,2972493000,2972493000,2008391000,2008391000,964102000,964102000,2972493000,2008391000,964102000,60033,34099,25934,2222353408,1218041856,1004311552,2222353408,1218041856,1004311552,42173511000,5722,32005633163,9791246764,22214386399,5986582528,5039108096,361050274,1438851072,1047670784,1236217856,915103744,915103744,590,0,131337281490705016,0,0,6249216,995404,13059,80957,197539,278496,66777479,568025333,381561532,949586865,8658959270,685965312,10813833319,11778543503,21478685683,1401550,205609318,202957301,479333,1,10813833319,10460000000,0,0,406515,0,0,132526,258789,83523056,1406487709,767736064,9833960291,14163143,2832452865,391315,131337237494070412,15,45,591,0,50789,0,55289128,96203,80,577,4,4,12,52087,44116,1427,7310882,31285844549,9529477086,21756367463,131337281492685129,0,0,0,0,0,0,0,3860,1710,1919,337,2150
144,40,0,0,0,0,0,30,3,0,0,0,0,0,104,0,104,0,0,0,0,0,0,0,0,0,0,43126,29583,0,196,0,21,2336,28429,13543,1,4,0,0,0,0,0,0,364440529,971390976,1286135808,4293902336,27460,338121067,378112,25948750,364528,327661,44624,36867,128880640,46764032,151,126132,82519,33557760,49459200,63967232,79126528,7217152,2580480,6152192,4546560,49459200,313998,948624,926,130456,90841088,47964160,633806848,206331904,40411136,26007575,52581,33137,19444,1000000000,15160244,33137,0,0,0,0,10847331,19444,0,0,0,0,0,0,2972877000,2972877000,2008391000,2008391000,964486000,964486000,2972877000,2008391000,964486000,60067,34099,25968,2223067136,1218041856,1005025280,2223067136,1218041856,1005025280,42176776000,5726,32009065185,9792806774,22216258411,5986582528,5039632384,361057714,1438863360,1048096768,1236217856,914964480,914964480,591,0,131337281494115211,0,0,6250208,995644,13054,80958,197541,278499,66781061,568025333,381562919,949588252,8659137838,686370816,10813833319,11780103513,21480557695,1402026,205609318,202957301,479397,1,10813833319,10460000000,0,0,406515,0,0,132526,258790,83525529,1406487709,767737382,9834134983,14164998,2832474789,391316,131337237494070412,29,45,591,0,50789,0,55289128,96203,80,577,4,4,12,52087,44116,1427,7312486,31287560560,9529633087,21757927473,131337281494405228,0,0,0,0,0,0,0,3860,1710,1919,337,2150
144,40,0,0,0,0,0,30,3,0,0,0,0,0,104,0,104,0,0,0,0,0,0,0,0,0,0,43126,29583,0,196,0,21,2336,28429,13543,1,4,0,0,0,0,0,0,364451507,972308480,1284538368,4293902336,27467,338130656,378113,25950138,364528,327661,44624,36867,128888832,46764032,151,126078,82523,33557760,49463296,63967232,79126528,7217152,2580480,6152192,4546560,49463296,313608,949520,927,130456,91762688,47960064,633806848,206327808,40411136,26007575,52581,33137,19444,1000000000,15160244,33137,0,0,0,0,10847331,19444,0,0,0,0,0,0,2972877000,2972877000,2008391000,2008391000,964486000,964486000,2972877000,2008391000,964486000,60067,34099,25968,2223067136,1218041856,1005025280,2223067136,1218041856,1005025280,42181203000,5726,32013433213,9795770793,22217662420,5991043072,5045141504,361068876,1439539200,1041072128,1236365312,906674176,906674176,594,0,131337281498545464,0,0,6259144,996844,13066,80996,197546,278542,66784974,568026239,381567389,949593628,8659312778,678764544,10813833319,11782911531,21482117705,1402732,205609318,202957301,479763,21,10813833319,10460000000,0,0,406515,0,0,132564,258795,83529442,1406488639,767741852,9834309923,14168395,2832567696,391360,131337237494070412,13,45,594,0,50789,0,55289128,96203,80,577,4,4,12,52087,44116,1427,7316002,31292084589,9532441105,21759643484,131337281498985490,0,0,0,0,0,0,0,3860,1710,1919,337,2150
