ICMP Messages/sec,ICMP Messages Received/sec,ICMP Messages Received Errors,ICMP Received Dest. Unreachable,ICMP Received Time Exceeded,ICMP Received Parameter Problem,ICMP Received Source Quench,ICMP Received Redirect/sec,ICMP Received Echo/sec,ICMP Received Echo Reply/sec,ICMP Received Timestamp/sec,ICMP Received Timestamp Reply/sec,ICMP Received Address Mask,ICMP Received Address Mask Reply,ICMP Messages Sent/sec,ICMP Messages Outbound Errors,ICMP Sent Destination Unreachable,ICMP Sent Time Exceeded,ICMP Sent Parameter Problem,ICMP Sent Source Quench,ICMP Sent Redirect/sec,ICMP Sent Echo/sec,ICMP Sent Echo Reply/sec,ICMP Sent Timestamp/sec,ICMP Sent Timestamp Reply/sec,ICMP Sent Address Mask,ICMP Sent Address Mask Reply,IPv4 Datagrams/sec,IPv4 Datagrams Received/sec,IPv4 Datagrams Received Header Errors,IPv4 Datagrams Received Address Errors,IPv4 Datagrams Forwarded/sec,IPv4 Datagrams Received Unknown Protocol,IPv4 Datagrams Received Discarded,IPv4 Datagrams Received Delivered/sec,IPv4 Datagrams Sent/sec,IPv4 Datagrams Outbound Discarded,IPv4 Datagrams Outbound No Route,IPv4 Fragments Received/sec,IPv4 Fragments Re-assembled/sec,IPv4 Fragment Re-assembly Failures,IPv4 Fragmented Datagrams/sec,IPv4 Fragmentation Failures,IPv4 Fragments Created/sec,Memory Page Faults/sec,Memory Available Bytes,Memory Committed Bytes,Memory Commit Limit,Memory Write Copies/sec,Memory Transition Faults/sec,Memory Cache Faults/sec,Memory Demand Zero Faults/sec,Memory Pages/sec,Memory Pages Input/sec,Memory Page Reads/sec,Memory Pages Output/sec,Memory Pool Paged Bytes,Memory Pool Nonpaged Bytes,Memory Page Writes/sec,Memory Pool Paged Allocs,Memory Pool Nonpaged Allocs,Memory Free System Page Table Entries,Memory Cache Bytes,Memory Cache Bytes Peak,Memory Pool Paged Resident Bytes,Memory System Code Total Bytes,Memory System Code Resident Bytes,Memory System Driver Total Bytes,Memory System Driver Resident Bytes,Memory System Cache Resident Bytes,Memory % Committed Bytes In Use,Memory Available KBytes,Memory Available MBytes,Memory Transition Pages RePurposed/sec,Memory Free & Zero Page List Bytes,Memory Modified Page List Bytes,Memory Standby Cache Reserve Bytes,Memory Standby Cache Normal Priority Bytes,Memory Standby Cache Core Bytes,Network Interface Bytes Total/sec,Network Interface Packets/sec,Network Interface Packets Received/sec,Network Interface Packets Sent/sec,Network Interface Current Bandwidth,Network Interface Bytes Received/sec,Network Interface Packets Received Unicast/sec,Network Interface Packets Received Non-Unicast/sec,Network Interface Packets Received Discarded,Network Interface Packets Received Errors,Network Interface Packets Received Unknown,Network Interface Bytes Sent/sec,Network Interface Packets Sent Unicast/sec,Network Interface Packets Sent Non-Unicast/sec,Network Interface Packets Outbound Discarded,Network Interface Packets Outbound Errors,Network Interface Output Queue Length,Network Interface Offloaded Connections,PhysicalDisk Current Disk Queue Length,PhysicalDisk % Disk Time,PhysicalDisk Avg. Disk Queue Length,PhysicalDisk % Disk Read Time,PhysicalDisk Avg. Disk Read Queue Length,PhysicalDisk % Disk Write Time,PhysicalDisk Avg. Disk Write Queue Length,PhysicalDisk Avg. Disk sec/Transfer,PhysicalDisk Avg. Disk sec/Read,PhysicalDisk Avg. Disk sec/Write,PhysicalDisk Disk Transfers/sec,PhysicalDisk Disk Reads/sec,PhysicalDisk Disk Writes/sec,PhysicalDisk Disk Bytes/sec,PhysicalDisk Disk Read Bytes/sec,PhysicalDisk Disk Write Bytes/sec,PhysicalDisk Avg. Disk Bytes/Transfer,PhysicalDisk Avg. Disk Bytes/Read,PhysicalDisk Avg. Disk Bytes/Write,PhysicalDisk % Idle Time,PhysicalDisk Split IO/Sec,Process % Processor Time,Process % User Time,Process % Privileged Time,Process Virtual Bytes Peak,Process Virtual Bytes,Process Page Faults/sec,Process Working Set Peak,Process Working Set,Process Page File Bytes Peak,Process Page File Bytes,Process Private Bytes,Process Thread Count,Process Priority Base,Process Elapsed Time,Process ID Process,Process Creating Process ID,Process Pool Paged Bytes,Process Pool Nonpaged Bytes,Process Handle Count,Process IO Read Operations/sec,Process IO Write Operations/sec,Process IO Data Operations/sec,Process IO Other Operations/sec,Process IO Read Bytes/sec,Process IO Write Bytes/sec,Process IO Data Bytes/sec,Process IO Other Bytes/sec,Process Working Set - Private,Processor % Processor Time,Processor % User Time,Processor % Privileged Time,Processor Interrupts/sec,Processor % DPC Time,Processor % Interrupt Time,Processor DPCs Queued/sec,Processor DPC Rate,Processor % Idle Time,Processor % C1 Time,Processor % C2 Time,Processor % C3 Time,Processor C1 Transitions/sec,Processor C2 Transitions/sec,Processor C3 Transitions/sec,System File Read Operations/sec,System File Write Operations/sec,System File Control Operations/sec,System File Read Bytes/sec,System File Write Bytes/sec,System File Control Bytes/sec,System Context Switches/sec,System System Calls/sec,System File Data Operations/sec,System System Up Time,System Processor Queue Length,System Processes,System Threads,System Alignment Fixups/sec,System Exception Dispatches/sec,System Floating Emulations/sec,System % Registry Quota In Use,TCPv4 Segments/sec,TCPv4 Connections Established,TCPv4 Connections Active,TCPv4 Connections Passive,TCPv4 Connection Failures,TCPv4 Connections Reset,TCPv4 Segments Received/sec,TCPv4 Segments Sent/sec,TCPv4 Segments Retransmitted/sec,Thread Context Switches/sec,Thread % Processor Time,Thread % User Time,Thread % Privileged Time,Thread Elapsed Time,Thread Priority Current,Thread Priority Base,Thread Start Address,Thread Thread State,Thread Thread Wait Reason,Thread ID Process,Thread ID Thread,UDPv4 Datagrams/sec,UDPv4 Datagrams Received/sec,UDPv4 Datagrams No Port/sec,UDPv4 Datagrams Received Errors,UDPv4 Datagrams Sent/sec
144,40,0,0,0,0,0,30,3,0,0,0,0,0,104,0,104,0,0,0,0,0,0,0,0,0,0,43118,29579,0,196,0,21,2336,28425,13539,1,4,0,0,0,0,0,0,364394621,970985472,1284808704,4293902336,27327,338082911,378096,25941138,364527,327660,44623,36867,128753664,46817280,151,125901,82301,33557760,49803264,63967232,78979072,7217152,2580480,6152192,4546560,49803264,313947,946292,924,130456,88518656,48230400,633806848,205873152,40689664,26007047,52573,33133,19440,1000000000,15159935,33133,0,0,0,0,10847112,19440,0,0,0,0,0,0,2972472000,2972472000,2008391000,2008391000,964081000,964081000,2972472000,2008391000,964081000,60032,34099,25933,2222349312,1218041856,1004307456,2222349312,1218041856,1004307456,42156449000,5722,31988785055,9787190738,22201594317,5921071104,4965732352,361014263,1432252416,1045819392,1234362368,916848640,916848640,580,0,131337281473634040,0,0,6107856,983452,12732,80947,197527,278474,66754118,567990703,381549703,949540406,8657709686,689217536,10813833319,11774331476,21465737600,1399212,205609318,202801300,479132,1,10813833319,10460000000,0,0,406515,0,0,132515,258776,83498586,1406453079,767724166,9832706831,14145705,2832012783,391291,131337237494070412,26,44,580,0,50789,0,55289128,96198,80,577,4,4,12,52083,44115,1424,7293205,31267280430,9523861050,21743419380,131337281474304078,0,0,0,0,0,0,0,3860,1710,1919,337,2150
144,40,0,0,0,0,0,30,3,0,0,0,0,0,104,0,104,0,0,0,0,0,0,0,0,0,0,43124,29582,0,196,0,21,2336,28428,13542,1,4,0,0,0,0,0,0,364427944,971108352,1285296128,4293902336,27434,338109833,378112,25947399,364528,327661,44624,36867,128909312,46759936,151,126090,82560,33557760,49868800,63967232,79114240,7217152,2580480,6152192,4546560,49868800,313793,948348,926,130456,91136000,48168960,633806848,205766656,40398848,26007404,52579,33136,19443,1000000000,15160127,33136,0,0,0,0,10847277,19443,0,0,0,0,0,0,2972493000,2972493000,2008391000,2008391000,964102000,964102000,2972493000,2008391000,964102000,60033,34099,25934,2222353408,1218041856,1004311552,2222353408,1218041856,1004311552,42170752000,5722,32003137147,9790778761,22212358386,5982904320,5035540480,361045232,1437642752,1046650880,1235927040,914235392,914235392,589,0,131337281487954859,0,0,6242312,994500,13005,80957,197537,278494,66774226,568025333,381559327,949584660,8658778448,685789184,10813833319,11777919499,21476501669,1401177,205609318,202801300,479300,1,10813833319,10460000000,0,0,406515,0,0,132525,258786,83518694,1406487709,767733790,9833775593,14159682,2832350689,391311,131337237494070412,31,45,589,0,50789,0,55289128,96201,80,577,4,4,12,52087,44115,1427,7307989,31282100525,9527761075,21754339450,131337281488844910,0,0,0,0,0,0,0,3860,1710,1919,337,2150
144,40,0,0,0,0,0,30,3,0,0,0,0,0,104,0,104,0,0,0,0,0,0,0,0,0,0,43140,29590,0,196,0,21,2336,28436,13550,1,4,0,0,0,0,0,0,364475060,978874368,1278472192,4293902336,27470,338150802,378114,25953545,364528,327661,44624,36867,128876544,46764032,151,126087,82582,33557760,49467392,63967232,79126528,7217152,2580480,6152192,4546560,49467392,312127,955932,933,130456,98336768,47980544,633802752,206323712,40411136,26008408,52595,33144,19451,1000000000,15160692,33144,0,0,0,0,10847716,19451,0,0,0,0,0,0,2972877000,2972877000,2008391000,2008391000,964486000,964486000,2972877000,2008391000,964486000,60067,34099,25968,2223067136,1218041856,1005025280,2223067136,1218041856,1005025280,42190442000,5726,32022481271,9799202815,22223278456,5997027328,5054271488,361092118,1440493568,1041854464,1236746240,907259904,907259904,603,0,131337281507775992,0,0,6266576,999364,13093,81068,197549,278617,66796398,568027967,381571345,949599312,8659834728,678940672,10813833319,11786499554,21488357745,1404508,205921320,202957301,480713,7,10813833319,10460000000,0,0,406515,0,0,132636,258798,83540866,1406490343,767745808,9834831873,14176618,2832821709,391434,131337237494070412,14,45,603,0,50789,0,55289128,96212,80,577,4,4,12,52096,44116,1436,7324188,31301600650,9536185129,21765415521,131337281508756048,0,0,0,0,0,0,0,3860,1710,1919,337,2150
144,40,0,0,0,0,0,30,3,0,0,0,0,0,104,0,104,0,0,0,0,0,0,0,0,0,0,43880,30133,0,196,0,21,2336,29180,13811,1,4,0,0,0,0,0,0,364632140,972828672,1287352320,4293902336,27646,338273016,378167,25988350,364756,327889,44660,36867,126521344,48037888,151,126299,83217,33557762,49614848,63967232,76763136,7217152,2580480,6152192,4546560,49614848,314378,949748,927,130456,90902528,46936064,634073088,207695872,39870464,27225413,53756,34016,19747,1000000000,16375156,34024,0,0,0,0,10871173,19749,0,0,0,0,0,0,2974021000,2974021000,2009286000,2009286000,964735000,964735000,2974021000,2009286000,964735000,60120,34133,25987,2225486848,1218962432,1006524416,2225486848,1218962432,1006524416,42232098000,5732,32063041531,9823850973,22239190558,6099673088,5158404096,361261029,1452220416,1058807808,1240649728,916492288,916492288,612,0,131337281550488435,0,0,6497352,1015196,13371,81753,197593,279346,66831330,568367956,382843063,951211019,8660944476,686911488,10813989320,11810991711,21505829857,1411972,207013327,203893307,484162,22,10813989320,10460000000,0,0,406565,0,0,133321,258842,83575798,1406830356,769017526,9835941621,14203097,2833781300,392164,131337237494070412,28,46,612,0,50793,0,55289128,97705,79,579,4,4,12,53159,44564,1453,7351596,31343720920,9562393297,21781483624,131337281553018580,0,0,0,0,0,0,0,3910,1734,1919,337,2176
147,40,0,0,0,0,0,30,3,0,0,0,0,0,108,0,108,0,0,0,0,0,0,0,0,0,0,45433,31192,0,196,0,21,2349,30028,14241,1,4,0,0,0,0,0,0,366219936,959434752,1300946944,4293902336,27646,339709916,378822,26138619,364917,328050,44705,36867,128479232,47996928,151,126595,83231,33557762,50126848,63967232,78733312,7217152,2580480,6152192,4546560,50126848,317614,936948,914,130456,76500992,44773376,633729024,209358848,39845888,27857639,54822,34677,20145,1000000000,16948402,34677,0,0,0,0,10909237,20145,0,0,0,0,0,0,2981687000,2981687000,2013207000,2013207000,968480000,968480000,2981687000,2013207000,968480000,60326,34167,26159,2230270976,1219560960,1010710016,2230270976,1219560960,1010710016,42371204000,5767,32203442431,9904347489,22299094942,6029463552,5122400256,362829145,1446809600,1066659840,1238900736,929210368,929210368,603,0,131337281694686683,0,0,6374248,1019092,13222,82373,197925,280298,67061628,570631707,386317106,956948813,8662061006,698974208,10813989320,11891800229,21569166263,1435324,207325329,206857326,492403,2,10813989320,10460000000,0,0,406565,0,0,133942,259174,83806301,1409113291,772491569,9837060505,14281671,2843167357,393116,131337237494070412,8,45,603,0,50796,0,55289128,99963,80,602,4,4,12,54426,45537,1507,7424976,31481001800,9639925794,21841232007,131337281695406724,0,0,0,0,0,0,0,4033,1785,1929,340,2248
150,40,0,0,0,0,0,30,3,0,0,0,0,0,110,0,110,0,0,0,0,0,0,0,0,0,0,45668,31335,0,196,0,21,2356,30164,14333,1,4,0,0,0,0,0,0,366387058,964677632,1293619200,4293902336,27746,339853273,378870,26162343,364948,328081,44717,36867,126382080,46960640,151,126685,83023,33557760,50200576,63967232,76636160,7217152,2580480,6152192,4546560,50200576,315825,942068,919,130456,82157568,45064192,633630720,209080320,39809024,27883258,55026,34789,20237,1000000000,16965852,34789,0,0,0,0,10917785,20243,0,0,0,0,0,0,2982865000,2982865000,2013832000,2013832000,969033000,969033000,2982865000,2013832000,969033000,60391,34175,26216,2231060480,1219662848,1011397632,2231060480,1219662848,1011397632,42405575000,5774,32238542656,9924159616,22314383040,6114295808,5189373952,362995465,1452539904,1068670976,1240731648,922951680,922951680,607,0,131337281729508675,0,0,6505592,1013092,13303,82413,198010,280423,67097799,570816984,387284535,958101519,8663135694,695402496,10813989320,11911300354,21584454361,1440186,207325329,207013327,493019,2,10813989320,10460000000,0,0,406565,0,0,133982,259259,83842554,1409298568,773458998,9838140983,14310603,2844236936,393241,131337237494070412,12,46,607,0,50796,0,55289128,100390,71,605,4,4,12,54652,45738,1522,7448313,31514230013,9657865909,21856364104,131337281730488731,0,0,0,0,0,0,0,4095,1818,1937,340,2277
152,40,0,0,0,0,0,30,3,0,0,0,0,0,112,0,112,0,0,0,0,0,0,0,0,0,0,45915,31491,0,196,0,21,2358,30318,14424,1,4,0,0,0,0,0,0,366546344,962318336,1294868480,4293902336,27746,339989491,378879,26185406,364950,328083,44719,36867,128946176,46960640,151,126736,82918,33557760,49930240,63967232,79200256,7217152,2580480,6152192,4546560,49930240,316130,939764,917,130456,79503360,45162496,633630720,209375232,39809024,28026039,55269,34940,20329,1000000000,17101892,34940,0,0,0,0,10924147,20329,0,0,0,0,0,0,2983304000,2983304000,2013832000,2013832000,969472000,969472000,2983304000,2013832000,969472000,60430,34175,26255,2231463936,1219662848,1011801088,2231463936,1219662848,1011801088,42439090000,5784,32271926870,9941475727,22330451143,6114820096,5189902336,363154538,1452593152,1068199936,1240809472,921337856,921337856,608,0,131337281763180601,0,0,6503704,1001660,13288,82544,198026,280570,67133079,570853064,387420860,958273924,8664190938,694915072,10813989320,11928772466,21600834466,1445342,207481330,207169328,494883,0,10813989320,10460000000,0,0,406565,0,0,134113,259275,83878333,1409334648,773595323,9839190513,14331646,2845274648,393388,131337237494070412,10,46,608,0,50796,0,55289128,100674,58,605,4,4,12,54826,45848,1533,7468898,31547146224,9675494022,21871652202,131337281763770634,0,0,0,0,0,0,0,4097,1819,1938,340,2278
152,40,0,0,0,0,0,30,3,0,0,0,0,0,112,0,112,0,0,0,0,0,0,0,0,0,0,45997,31540,0,196,0,21,2358,30367,14457,1,4,0,0,0,0,0,0,366681537,970792960,1285922816,4293902336,27817,340111341,378898,26198731,364950,328083,44719,36867,128552960,47951872,151,126721,82971,33557760,49876992,63967232,78839808,7217152,2580480,6152192,4546560,49876992,313946,948040,925,130456,87261184,44724224,633655296,209874944,40001536,28040416,55344,34982,20362,1000000000,17113665,34982,0,0,0,0,10926751,20362,0,0,0,0,0,0,2983707000,2983707000,2013832000,2013832000,969875000,969875000,2983707000,2013832000,969875000,60468,34175,26293,2232583168,1219662848,1012920320,2232583168,1219662848,1012920320,42475706000,5798,32305935088,9960195847,22345739241,6083223552,5153722368,363285551,1448239104,1057566720,1239638016,913645568,913645568,603,0,131337281800032709,0,0,6430064,996828,13209,82973,198377,281350,67165186,570805372,387481127,958286499,8665237440,687640576,10813989320,11947492586,21618930582,1451081,209665344,207637331,497440,11,10813989320,10460000000,0,0,406565,0,0,134548,259626,83910473,1409404926,773655590,9840247347,14353629,2846169385,394174,131337237494070412,14,46,603,0,50796,0,55289128,100821,55,605,4,4,12,54908,45933,1541,7490356,31581310443,9694058141,21887252302,131337281800972762,0,0,0,0,0,0,0,4123,1830,1938,340,2293
152,40,0,0,0,0,0,30,3,0,0,0,0,0,112,0,112,0,0,0,0,0,0,0,0,0,0,46105,31610,0,196,0,21,2358,30437,14495,1,4,0,0,0,0,0,0,366820061,970735616,1286647808,4293902336,27817,340238995,378914,26209585,364951,328084,44720,36867,128532480,47939584,151,126633,82977,33557760,49922048,63967232,78835712,7217152,2580480,6152192,4546560,49922048,314123,947984,925,130456,87117824,44609536,633655296,209969152,39993344,28094517,55445,35045,20400,1000000000,17163754,35045,0,0,0,0,10930763,20400,0,0,0,0,0,0,2983803000,2983803000,2013832000,2013832000,969971000,969971000,2983803000,2013832000,969971000,60482,34175,26307,2232760832,1219662848,1013097984,2232760832,1219662848,1013097984,42500590000,5804,32330427245,9972051923,22358375322,6083223552,5154246656,363423638,1448325120,1058058240,1239638016,914333696,914333696,604,0,131337281825024138,0,0,6429680,995524,13211,83035,198397,281432,67198952,570807670,387517957,958325627,8666292364,688123904,10813989320,11959504663,21631878665,1455214,209821345,207949333,499222,10,10813989320,10460000000,0,0,406565,0,0,134610,259646,83944239,1409407224,773692420,9841302271,14372727,2847124565,394256,131337237494070412,14,46,604,0,50797,0,55289128,100995,55,606,4,4,12,55007,45988,1544,7509658,31605802600,9705914217,21899888383,131337281826064197,0,0,0,0,0,0,0,4139,1839,1938,340,2300
153,40,0,0,0,0,0,30,3,0,0,0,0,0,113,0,113,0,0,0,0,0,0,0,0,0,0,46142,31633,0,196,0,21,2360,30458,14509,1,4,0,0,0,0,0,0,366948899,972042240,1286303744,4293902336,27817,340358104,378932,26219296,364951,328084,44720,36867,126373888,46895104,151,126677,82617,33557760,49807360,63967232,76660736,7217152,2580480,6152192,4546560,49807360,314039,949260,927,130456,88317952,44630016,633647104,210079744,39997440,28097935,55480,35065,20415,1000000000,17165413,35065,0,0,0,0,10932522,20415,0,0,0,0,0,0,2984327000,2984327000,2013832000,2013832000,970495000,970495000,2984327000,2013832000,970495000,60565,34175,26390,2233289728,1219662848,1013626880,2233289728,1219662848,1013626880,42527353000,5820,32356479412,9983595997,22372883415,6083747840,5155295232,363552327,1448398848,1059254272,1239695360,915783680,915783680,606,0,131337281852005681,0,0,6432272,994484,13230,83089,198420,281509,67231547,570886348,387554502,958440850,8667349750,689291264,10813989320,11971048737,21647322764,1459661,210133347,208573337,500856,9,10813989320,10460000000,0,0,406565,0,0,134664,259669,83976834,1409485902,773728965,9842359657,14393850,2848024649,394333,131337237494070412,12,46,606,0,50797,0,55289128,101066,53,606,4,4,12,55044,46022,1546,7530527,31631542765,9717302290,21914240475,131337281852605716,0,0,0,0,0,0,0,4145,1842,1940,340,2303
