ICMP Messages/sec,ICMP Messages Received/sec,ICMP Messages Received Errors,ICMP Received Dest. Unreachable,ICMP Received Time Exceeded,ICMP Received Parameter Problem,ICMP Received Source Quench,ICMP Received Redirect/sec,ICMP Received Echo/sec,ICMP Received Echo Reply/sec,ICMP Received Timestamp/sec,ICMP Received Timestamp Reply/sec,ICMP Received Address Mask,ICMP Received Address Mask Reply,ICMP Messages Sent/sec,ICMP Messages Outbound Errors,ICMP Sent Destination Unreachable,ICMP Sent Time Exceeded,ICMP Sent Parameter Problem,ICMP Sent Source Quench,ICMP Sent Redirect/sec,ICMP Sent Echo/sec,ICMP Sent Echo Reply/sec,ICMP Sent Timestamp/sec,ICMP Sent Timestamp Reply/sec,ICMP Sent Address Mask,ICMP Sent Address Mask Reply,IPv4 Datagrams/sec,IPv4 Datagrams Received/sec,IPv4 Datagrams Received Header Errors,IPv4 Datagrams Received Address Errors,IPv4 Datagrams Forwarded/sec,IPv4 Datagrams Received Unknown Protocol,IPv4 Datagrams Received Discarded,IPv4 Datagrams Received Delivered/sec,IPv4 Datagrams Sent/sec,IPv4 Datagrams Outbound Discarded,IPv4 Datagrams Outbound No Route,IPv4 Fragments Received/sec,IPv4 Fragments Re-assembled/sec,IPv4 Fragment Re-assembly Failures,IPv4 Fragmented Datagrams/sec,IPv4 Fragmentation Failures,IPv4 Fragments Created/sec,Memory Page Faults/sec,Memory Available Bytes,Memory Committed Bytes,Memory Commit Limit,Memory Write Copies/sec,Memory Transition Faults/sec,Memory Cache Faults/sec,Memory Demand Zero Faults/sec,Memory Pages/sec,Memory Pages Input/sec,Memory Page Reads/sec,Memory Pages Output/sec,Memory Pool Paged Bytes,Memory Pool Nonpaged Bytes,Memory Page Writes/sec,Memory Pool Paged Allocs,Memory Pool Nonpaged Allocs,Memory Free System Page Table Entries,Memory Cache Bytes,Memory Cache Bytes Peak,Memory Pool Paged Resident Bytes,Memory System Code Total Bytes,Memory System Code Resident Bytes,Memory System Driver Total Bytes,Memory System Driver Resident Bytes,Memory System Cache Resident Bytes,Memory % Committed Bytes In Use,Memory Available KBytes,Memory Available MBytes,Memory Transition Pages RePurposed/sec,Memory Free & Zero Page List Bytes,Memory Modified Page List Bytes,Memory Standby Cache Reserve Bytes,Memory Standby Cache Normal Priority Bytes,Memory Standby Cache Core Bytes,Network Interface Bytes Total/sec,Network Interface Packets/sec,Network Interface Packets Received/sec,Network Interface Packets Sent/sec,Network Interface Current Bandwidth,Network Interface Bytes Received/sec,Network Interface Packets Received Unicast/sec,Network Interface Packets Received Non-Unicast/sec,Network Interface Packets Received Discarded,Network Interface Packets Received Errors,Network Interface Packets Received Unknown,Network Interface Bytes Sent/sec,Network Interface Packets Sent Unicast/sec,Network Interface Packets Sent Non-Unicast/sec,Network Interface Packets Outbound Discarded,Network Interface Packets Outbound Errors,Network Interface Output Queue Length,Network Interface Offloaded Connections,PhysicalDisk Current Disk Queue Length,PhysicalDisk % Disk Time,PhysicalDisk Avg. Disk Queue Length,PhysicalDisk % Disk Read Time,PhysicalDisk Avg. Disk Read Queue Length,PhysicalDisk % Disk Write Time,PhysicalDisk Avg. Disk Write Queue Length,PhysicalDisk Avg. Disk sec/Transfer,PhysicalDisk Avg. Disk sec/Read,PhysicalDisk Avg. Disk sec/Write,PhysicalDisk Disk Transfers/sec,PhysicalDisk Disk Reads/sec,PhysicalDisk Disk Writes/sec,PhysicalDisk Disk Bytes/sec,PhysicalDisk Disk Read Bytes/sec,PhysicalDisk Disk Write Bytes/sec,PhysicalDisk Avg. Disk Bytes/Transfer,PhysicalDisk Avg. Disk Bytes/Read,PhysicalDisk Avg. Disk Bytes/Write,PhysicalDisk % Idle Time,PhysicalDisk Split IO/Sec,Process % Processor Time,Process % User Time,Process % Privileged Time,Process Virtual Bytes Peak,Process Virtual Bytes,Process Page Faults/sec,Process Working Set Peak,Process Working Set,Process Page File Bytes Peak,Process Page File Bytes,Process Private Bytes,Process Thread Count,Process Priority Base,Process Elapsed Time,Process ID Process,Process Creating Process ID,Process Pool Paged Bytes,Process Pool Nonpaged Bytes,Process Handle Count,Process IO Read Operations/sec,Process IO Write Operations/sec,Process IO Data Operations/sec,Process IO Other Operations/sec,Process IO Read Bytes/sec,Process IO Write Bytes/sec,Process IO Data Bytes/sec,Process IO Other Bytes/sec,Process Working Set - Private,Processor % Processor Time,Processor % User Time,Processor % Privileged Time,Processor Interrupts/sec,Processor % DPC Time,Processor % Interrupt Time,Processor DPCs Queued/sec,Processor DPC Rate,Processor % Idle Time,Processor % C1 Time,Processor % C2 Time,Processor % C3 Time,Processor C1 Transitions/sec,Processor C2 Transitions/sec,Processor C3 Transitions/sec,System File Read Operations/sec,System File Write Operations/sec,System File Control Operations/sec,System File Read Bytes/sec,System File Write Bytes/sec,System File Control Bytes/sec,System Context Switches/sec,System System Calls/sec,System File Data Operations/sec,System System Up Time,System Processor Queue Length,System Processes,System Threads,System Alignment Fixups/sec,System Exception Dispatches/sec,System Floating Emulations/sec,System % Registry Quota In Use,TCPv4 Segments/sec,TCPv4 Connections Established,TCPv4 Connections Active,TCPv4 Connections Passive,TCPv4 Connection Failures,TCPv4 Connections Reset,TCPv4 Segments Received/sec,TCPv4 Segments Sent/sec,TCPv4 Segments Retransmitted/sec,Thread Context Switches/sec,Thread % Processor Time,Thread % User Time,Thread % Privileged Time,Thread Elapsed Time,Thread Priority Current,Thread Priority Base,Thread Start Address,Thread Thread State,Thread Thread Wait Reason,Thread ID Process,Thread ID Thread,UDPv4 Datagrams/sec,UDPv4 Datagrams Received/sec,UDPv4 Datagrams No Port/sec,UDPv4 Datagrams Received Errors,UDPv4 Datagrams Sent/sec
96,38,0,0,0,0,0,30,1,0,0,0,0,0,58,0,58,0,0,0,0,0,0,0,0,0,0,17754,11409,0,196,0,21,1978,10263,6345,0,4,0,0,0,0,0,0,7068919,1150926848,1093394432,4293902336,21836,5383220,305653,1384752,344974,310014,42141,34960,129585152,44765184,143,122145,80553,33557247,47816704,63967232,75440128,7217152,2383872,6152192,3751936,47816704,267215,1122112,1095,43445,0,50671616,569188352,485965824,93532160,6461757,21385,14872,6513,1000000000,5678773,14872,0,0,0,0,782984,6513,0,0,0,0,0,0,2531889000,2531889000,1858864000,1858864000,673025000,673025000,2531889000,1858864000,673025000,48221,32549,15672,1948231680,1155643392,792588288,1948231680,1155643392,792588288,13003335000,3298,13826680632,1852667876,11974012756,5335719936,4496588800,6121628,1087053824,870273024,873086976,734253056,734253056,550,0,131337163283424994,0,0,5944112,884956,13018,63637,18036,81673,1807969,451937545,217326890,669264435,4345457018,532049920,10811493304,2086045372,1665310675,763456,182833172,171289098,346115,0,10811493304,10460000000,0,0,406498,0,0,107145,72387,1926143,1165586743,594471630,4349062457,2078057,61662202,179532,131337148795000000,11,44,550,0,43571,0,55289128,39633,16,297,3,0,5,21383,18250,963,1571253,13419674023,1700722902,11718951121,131337163283955025,0,0,0,0,0,0,0,1840,820,1770,132,1020
96,38,0,0,0,0,0,30,1,0,0,0,0,0,58,0,58,0,0,0,0,0,0,0,0,0,0,17756,11410,0,196,0,21,1978,10264,6346,0,4,0,0,0,0,0,0,7103375,1151541248,1092837376,4293902336,21838,5413522,305656,1388773,345014,310054,42147,34960,128745472,45789184,143,122135,80777,33557247,47624192,63967232,75784192,7217152,2383872,6152192,3751936,47624192,266806,1124552,1098,43602,3047424,49565696,568664064,486187008,93642752,6461876,21387,14873,6514,1000000000,5678837,14873,0,0,0,0,783039,6514,0,0,0,0,0,0,2532318000,2532318000,1859262000,1859262000,673056000,673056000,2532318000,1859262000,673056000,48230,32555,15675,1948405248,1155807232,792598016,1948405248,1155807232,792598016,13015339000,3301,13839004711,1855787896,11983216815,5335719936,4495278080,6155217,1087070208,867766272,873086976,734883840,734883840,549,0,131337163295759406,0,0,5943120,884596,13015,63637,18042,81679,1827863,451937545,217334586,669272131,4346481194,532381696,10811493304,2089165392,1674358733,764325,182833172,171289098,346140,0,10811493304,10460000000,0,0,406498,0,0,107145,72393,1946037,1165586743,594479326,4350086633,2086819,61998690,179538,131337148795000000,24,44,549,0,43571,0,55289128,39642,16,297,3,0,5,21388,18254,964,1579802,13431686100,1703998923,11727687177,131337163296071406,0,0,0,0,0,0,0,1840,820,1770,132,1020
96,38,0,0,0,0,0,30,1,0,0,0,0,0,58,0,58,0,0,0,0,0,0,0,0,0,0,17756,11410,0,196,0,21,1978,10264,6346,0,4,0,0,0,0,0,0,7112494,1151225856,1092902912,4293902336,21838,5420613,305658,1390799,345014,310054,42147,34960,128737280,45805568,143,122132,80784,33557247,47632384,63967232,75784192,7217152,2383872,6152192,3751936,47632384,266822,1124244,1097,43602,2752512,49569792,568643584,486187008,93642752,6461876,21387,14873,6515,1000000000,5678901,14874,0,0,0,0,783094,6515,0,0,0,0,0,0,2532329000,2532329000,1859262000,1859262000,673067000,673067000,2532329000,1859262000,673067000,48231,32555,15676,1948409344,1155807232,792602112,1948409344,1155807232,792602112,13026157000,3301,13849768780,1857659908,11992108872,5335719936,4501643264,6164337,1087070208,868347904,873086976,735334400,735334400,549,0,131337163306523425,0,0,5955552,886036,13056,63637,18048,81685,1843633,451937545,217342290,669279835,4347510558,532672512,10811493304,2091037404,1683406791,764467,182833172,171289098,346159,0,10811493304,10460000000,0,0,406498,0,0,107145,72399,1961807,1165586743,594487030,4351115997,2095357,62165844,179544,131337148795000000,29,44,549,0,43571,0,55289128,39643,16,297,3,0,5,21389,18254,965,1588339,13442450169,1705558933,11736891236,131337163306835425,0,0,0,0,0,0,0,1840,820,1770,132,1020
96,38,0,0,0,0,0,30,1,0,0,0,0,0,58,0,58,0,0,0,0,0,0,0,0,0,0,17758,11411,0,196,0,21,1978,10265,6347,0,4,0,0,0,0,0,0,7125614,1150234624,1094328320,4293902336,21871,5431589,305666,1392937,345014,310054,42147,34960,128860160,45719552,143,122174,80798,33557247,47624192,63967232,75894784,7217152,2383872,6152192,3751936,47624192,267170,1123276,1096,43602,1761280,49557504,568627200,486203392,93642752,6461995,21389,14874,6515,1000000000,5678901,14874,0,0,0,0,783094,6515,0,0,0,0,0,0,2532396000,2532396000,1859262000,1859262000,673134000,673134000,2532396000,1859262000,673134000,48240,32555,15685,1948506112,1155807232,792698880,1948506112,1155807232,792698880,13036717000,3306,13860376848,1859843922,12000532926,5374726144,4540715008,6177414,1088823296,870412288,873762816,736464896,736464896,550,0,131337163317131443,0,0,6033912,889996,13075,63638,18055,81693,1860160,451956467,217350506,669306973,4348543518,533467136,10811493304,2093221418,1691830845,764604,182833172,171289098,346180,0,10811493304,10460000000,0,0,406498,0,0,107146,72406,1978334,1165605665,594495246,4352148957,2103846,62357420,179552,131337148795000000,22,45,550,0,43571,0,55289128,39643,16,297,3,0,5,21389,18254,965,1596837,13453058237,1707742947,11745315290,131337163317443444,0,0,0,0,0,0,0,1840,820,1770,132,1020
96,38,0,0,0,0,0,30,1,0,0,0,0,0,58,0,58,0,0,0,0,0,0,0,0,0,0,17758,11411,0,196,0,21,1978,10265,6347,0,4,0,0,0,0,0,0,7127010,1149984768,1095634944,4293902336,21871,5431592,305669,1394327,345015,310055,42148,34960,128847872,45711360,143,122148,80796,33557247,47636480,63967232,75898880,7217152,2383872,6152192,3751936,47636480,267489,1123032,1096,43602,1523712,49557504,568614912,486203392,93642752,6461995,21389,14874,6515,1000000000,5678901,14874,0,0,0,0,783094,6515,0,0,0,0,0,0,2532396000,2532396000,1859262000,1859262000,673134000,673134000,2532396000,1859262000,673134000,48240,32555,15685,1948506112,1155807232,792698880,1948506112,1155807232,792698880,13046582000,3306,13870204911,1861091930,12009112981,5374726144,4540715008,6178774,1088823296,870645760,873762816,736854016,736854016,550,0,131337163326959460,0,0,6033912,889996,13076,63638,18061,81699,1874632,451956467,217358210,669314677,4349565978,533688320,10811493304,2094469426,1700410900,764731,182833172,171289098,346195,0,10811493304,10460000000,0,0,406498,0,0,107146,72412,1992806,1165605665,594502950,4353171417,2111959,62469061,179558,131337148795000000,30,45,550,0,43571,0,55289128,39643,16,297,3,0,5,21389,18254,965,1604945,13462886300,1708990955,11753895345,131337163327271461,0,0,0,0,0,0,0,1840,820,1770,132,1020
96,38,0,0,0,0,0,30,1,0,0,0,0,0,58,0,58,0,0,0,0,0,0,0,0,0,0,17758,11411,0,196,0,21,1978,10265,6347,0,4,0,0,0,0,0,0,7141949,1151844352,1093165056,4293902336,21897,5444428,305671,1396433,345015,310055,42148,34960,126394368,45719552,143,122186,80785,33557246,47628288,63967232,73449472,7217152,2383872,6152192,3751936,47628288,266886,1124848,1098,43602,3371008,49553408,568614912,486219776,93638656,6461995,21389,14874,6515,1000000000,5678901,14874,0,0,0,0,783094,6515,0,0,0,0,0,0,2532489000,2532489000,1859270000,1859270000,673219000,673219000,2532489000,1859270000,673219000,48252,32556,15696,1948562432,1155823616,792738816,1948562432,1155823616,792738816,13057439000,3311,13881124981,1862651940,12018473041,5378404352,4544393216,6193716,1090043904,872128512,874061824,737611776,737611776,551,0,131337163337879480,0,0,6038680,891196,13109,63638,18067,81705,1891021,451956467,217365914,669322381,4350600356,534208512,10811493304,2096029436,1709770960,764879,182833172,171289098,346219,0,10811493304,10460000000,0,0,406498,0,0,107146,72418,2009195,1165605665,594510654,4354205795,2120528,62664205,179564,131337148795000000,23,45,551,0,43571,0,55289128,39643,16,297,3,0,5,21389,18254,965,1613516,13473806370,1710550965,11763255405,131337163338191480,0,0,0,0,0,0,0,1840,820,1770,132,1020
96,38,0,0,0,0,0,30,1,0,0,0,0,0,58,0,58,0,0,0,0,0,0,0,0,0,0,17758,11411,0,196,0,21,1978,10265,6347,0,4,0,0,0,0,0,0,7151521,1153564672,1090932736,4293902336,21897,5452165,305674,1398260,345015,310055,42148,34960,126406656,44675072,143,122160,80541,33557246,47624192,63967232,73449472,7217152,2383872,6152192,3751936,47624192,266341,1126528,1100,43602,5083136,49553408,568627200,486219776,93634560,6461995,21389,14874,6515,1000000000,5678901,14874,0,0,0,0,783094,6515,0,0,0,0,0,0,2532513000,2532513000,1859270000,1859270000,673243000,673243000,2532513000,1859270000,673243000,48254,32556,15698,1948595200,1155823616,792771584,1948595200,1155823616,792771584,13067894000,3311,13891577048,1865615959,12025961089,5378404352,4544393216,6203280,1090076672,870473728,874065920,734724096,734724096,551,0,131337163348331498,0,0,6037688,891196,13109,63639,18073,81712,1906882,451956749,217373618,669330367,4351628490,532516864,10811493304,2099149456,1717103007,765009,182833172,171289098,346236,0,10811493304,10460000000,0,0,406498,0,0,107147,72424,2025056,1165605947,594518358,4355233929,2128816,62827220,179571,131337148795000000,26,45,551,0,43571,0,55289128,39643,16,297,3,0,5,21389,18254,965,1621057,13483010429,1713670985,11769339444,131337163348643499,0,0,0,0,0,0,0,1840,820,1770,132,1020
96,38,0,0,0,0,0,30,1,0,0,0,0,0,58,0,58,0,0,0,0,0,0,0,0,0,0,17760,11412,0,196,0,21,1978,10266,6348,0,4,0,0,0,0,0,0,7165621,1152929792,1091149824,4293902336,21904,5464002,305676,1400521,345015,310055,42148,34960,126394368,44691456,143,122156,80532,33557246,47603712,63967232,73449472,7217152,2383872,6152192,3751936,47603712,266394,1125908,1099,43602,4423680,49541120,568627200,486240256,93638656,6462114,21391,14875,6516,1000000000,5678965,14875,0,0,0,0,783149,6516,0,0,0,0,0,0,2532629000,2532629000,1859296000,1859296000,673333000,673333000,2532629000,1859296000,673333000,48266,32557,15709,1948731904,1155840000,792891904,1948731904,1155840000,792891904,13078461000,3316,13902185116,1867799973,12034385143,5386010624,4551475200,6217290,1090785280,871604224,874389504,735617024,735617024,554,0,131337163359095517,0,0,6043648,892396,13103,63639,18079,81718,1923223,451956749,217381322,669338071,4352658508,533086208,10811493304,2101177469,1725683062,765166,182833172,171289098,346264,0,10811493304,10460000000,0,0,406498,0,0,107147,72430,2041397,1165605947,594526062,4356263947,2137831,63020849,179577,131337148795000000,19,45,554,0,43571,0,55289128,39644,16,297,3,0,5,21390,18254,966,1630070,13493618497,1715698998,11777919499,131337163359251517,0,0,0,0,0,0,0,1840,820,1770,132,1020
96,38,0,0,0,0,0,30,1,0,0,0,0,0,58,0,58,0,0,0,0,0,0,0,0,0,0,17762,11413,0,196,0,21,1978,10267,6349,0,4,0,0,0,0,0,0,7176322,1152946176,1091072000,4293902336,21907,5472730,305679,1402491,345016,310056,42149,34960,126402560,44650496,143,122191,80527,33557247,47509504,63967232,73449472,7217152,2383872,6152192,3751936,47509504,266375,1125924,1099,43602,4337664,49532928,568623104,486346752,93638656,6462233,21393,14876,6517,1000000000,5679029,14876,0,0,0,0,783204,6517,0,0,0,0,0,0,2532757000,2532757000,1859296000,1859296000,673461000,673461000,2532757000,1859296000,673461000,48283,32557,15726,1948800512,1155840000,792960512,1948800512,1155840000,792960512,13088350000,3316,13912325181,1869359983,12042965198,5387608064,4550778880,6227900,1090973696,871960576,874426368,735858688,735858688,551,0,131337163369079534,0,0,6042352,891916,13091,63639,18095,81734,1939082,451956749,217424865,669381614,4353686392,533315584,10811493304,2102737479,1734107116,765339,182833172,171289098,346302,0,10811493304,10460000000,0,0,406498,0,0,107147,72446,2057256,1165605947,594569605,4357291831,2146473,63184843,179593,131337148795000000,19,45,551,0,43571,0,55289128,39645,16,297,3,0,5,21391,18254,967,1638651,13503446560,1717103007,11786343553,131337163369235535,0,0,0,0,0,0,0,1840,820,1770,132,1020
96,38,0,0,0,0,0,30,1,0,0,0,0,0,58,0,58,0,0,0,0,0,0,0,0,0,0,17770,11417,0,196,0,21,1978,10271,6353,0,4,0,0,0,0,0,0,7177745,1152585728,1092239360,4293902336,21907,5472730,305681,1403912,345016,310056,42149,34960,126410752,44675072,143,122198,80536,33557247,47407104,63967232,73449472,7217152,2383872,6152192,3751936,47407104,266660,1125572,1099,43602,3866624,49532928,568623104,486457344,93638656,6462709,21401,14880,6521,1000000000,5679285,14880,0,0,0,0,783424,6521,0,0,0,0,0,0,2532757000,2532757000,1859296000,1859296000,673461000,673461000,2532757000,1859296000,673461000,48283,32557,15726,1948800512,1155840000,792960512,1948800512,1155840000,792960512,13098135000,3316,13921997243,1870607991,12051389252,5387608064,4550778880,6229321,1090973696,872423424,874426368,736641024,736641024,551,0,131337163378751551,0,0,6042352,891916,13095,63639,18101,81740,1953577,451956749,217432569,669389318,4354709880,533778432,10811493304,2104141488,1742531170,765480,182833172,171289098,346327,0,10811493304,10460000000,0,0,406498,0,0,107147,72452,2071751,1165605947,594577309,4358315319,2154557,63296733,179599,131337148795000000,30,45,551,0,43571,0,55289128,39649,16,297,3,0,5,21395,18254,971,1646731,13513274623,1718507016,11794767607,131337163379063552,0,0,0,0,0,0,0,1840,820,1770,132,1020
