ICMP Messages/sec,ICMP Messages Received/sec,ICMP Messages Received Errors,ICMP Received Dest. Unreachable,ICMP Received Time Exceeded,ICMP Received Parameter Problem,ICMP Received Source Quench,ICMP Received Redirect/sec,ICMP Received Echo/sec,ICMP Received Echo Reply/sec,ICMP Received Timestamp/sec,ICMP Received Timestamp Reply/sec,ICMP Received Address Mask,ICMP Received Address Mask Reply,ICMP Messages Sent/sec,ICMP Messages Outbound Errors,ICMP Sent Destination Unreachable,ICMP Sent Time Exceeded,ICMP Sent Parameter Problem,ICMP Sent Source Quench,ICMP Sent Redirect/sec,ICMP Sent Echo/sec,ICMP Sent Echo Reply/sec,ICMP Sent Timestamp/sec,ICMP Sent Timestamp Reply/sec,ICMP Sent Address Mask,ICMP Sent Address Mask Reply,IPv4 Datagrams/sec,IPv4 Datagrams Received/sec,IPv4 Datagrams Received Header Errors,IPv4 Datagrams Received Address Errors,IPv4 Datagrams Forwarded/sec,IPv4 Datagrams Received Unknown Protocol,IPv4 Datagrams Received Discarded,IPv4 Datagrams Received Delivered/sec,IPv4 Datagrams Sent/sec,IPv4 Datagrams Outbound Discarded,IPv4 Datagrams Outbound No Route,IPv4 Fragments Received/sec,IPv4 Fragments Re-assembled/sec,IPv4 Fragment Re-assembly Failures,IPv4 Fragmented Datagrams/sec,IPv4 Fragmentation Failures,IPv4 Fragments Created/sec,Memory Page Faults/sec,Memory Available Bytes,Memory Committed Bytes,Memory Commit Limit,Memory Write Copies/sec,Memory Transition Faults/sec,Memory Cache Faults/sec,Memory Demand Zero Faults/sec,Memory Pages/sec,Memory Pages Input/sec,Memory Page Reads/sec,Memory Pages Output/sec,Memory Pool Paged Bytes,Memory Pool Nonpaged Bytes,Memory Page Writes/sec,Memory Pool Paged Allocs,Memory Pool Nonpaged Allocs,Memory Free System Page Table Entries,Memory Cache Bytes,Memory Cache Bytes Peak,Memory Pool Paged Resident Bytes,Memory System Code Total Bytes,Memory System Code Resident Bytes,Memory System Driver Total Bytes,Memory System Driver Resident Bytes,Memory System Cache Resident Bytes,Memory % Committed Bytes In Use,Memory Available KBytes,Memory Available MBytes,Memory Transition Pages RePurposed/sec,Memory Free & Zero Page List Bytes,Memory Modified Page List Bytes,Memory Standby Cache Reserve Bytes,Memory Standby Cache Normal Priority Bytes,Memory Standby Cache Core Bytes,Network Interface Bytes Total/sec,Network Interface Packets/sec,Network Interface Packets Received/sec,Network Interface Packets Sent/sec,Network Interface Current Bandwidth,Network Interface Bytes Received/sec,Network Interface Packets Received Unicast/sec,Network Interface Packets Received Non-Unicast/sec,Network Interface Packets Received Discarded,Network Interface Packets Received Errors,Network Interface Packets Received Unknown,Network Interface Bytes Sent/sec,Network Interface Packets Sent Unicast/sec,Network Interface Packets Sent Non-Unicast/sec,Network Interface Packets Outbound Discarded,Network Interface Packets Outbound Errors,Network Interface Output Queue Length,Network Interface Offloaded Connections,PhysicalDisk Current Disk Queue Length,PhysicalDisk % Disk Time,PhysicalDisk Avg. Disk Queue Length,PhysicalDisk % Disk Read Time,PhysicalDisk Avg. Disk Read Queue Length,PhysicalDisk % Disk Write Time,PhysicalDisk Avg. Disk Write Queue Length,PhysicalDisk Avg. Disk sec/Transfer,PhysicalDisk Avg. Disk sec/Read,PhysicalDisk Avg. Disk sec/Write,PhysicalDisk Disk Transfers/sec,PhysicalDisk Disk Reads/sec,PhysicalDisk Disk Writes/sec,PhysicalDisk Disk Bytes/sec,PhysicalDisk Disk Read Bytes/sec,PhysicalDisk Disk Write Bytes/sec,PhysicalDisk Avg. Disk Bytes/Transfer,PhysicalDisk Avg. Disk Bytes/Read,PhysicalDisk Avg. Disk Bytes/Write,PhysicalDisk % Idle Time,PhysicalDisk Split IO/Sec,Process % Processor Time,Process % User Time,Process % Privileged Time,Process Virtual Bytes Peak,Process Virtual Bytes,Process Page Faults/sec,Process Working Set Peak,Process Working Set,Process Page File Bytes Peak,Process Page File Bytes,Process Private Bytes,Process Thread Count,Process Priority Base,Process Elapsed Time,Process ID Process,Process Creating Process ID,Process Pool Paged Bytes,Process Pool Nonpaged Bytes,Process Handle Count,Process IO Read Operations/sec,Process IO Write Operations/sec,Process IO Data Operations/sec,Process IO Other Operations/sec,Process IO Read Bytes/sec,Process IO Write Bytes/sec,Process IO Data Bytes/sec,Process IO Other Bytes/sec,Process Working Set - Private,Processor % Processor Time,Processor % User Time,Processor % Privileged Time,Processor Interrupts/sec,Processor % DPC Time,Processor % Interrupt Time,Processor DPCs Queued/sec,Processor DPC Rate,Processor % Idle Time,Processor % C1 Time,Processor % C2 Time,Processor % C3 Time,Processor C1 Transitions/sec,Processor C2 Transitions/sec,Processor C3 Transitions/sec,System File Read Operations/sec,System File Write Operations/sec,System File Control Operations/sec,System File Read Bytes/sec,System File Write Bytes/sec,System File Control Bytes/sec,System Context Switches/sec,System System Calls/sec,System File Data Operations/sec,System System Up Time,System Processor Queue Length,System Processes,System Threads,System Alignment Fixups/sec,System Exception Dispatches/sec,System Floating Emulations/sec,System % Registry Quota In Use,TCPv4 Segments/sec,TCPv4 Connections Established,TCPv4 Connections Active,TCPv4 Connections Passive,TCPv4 Connection Failures,TCPv4 Connections Reset,TCPv4 Segments Received/sec,TCPv4 Segments Sent/sec,TCPv4 Segments Retransmitted/sec,Thread Context Switches/sec,Thread % Processor Time,Thread % User Time,Thread % Privileged Time,Thread Elapsed Time,Thread Priority Current,Thread Priority Base,Thread Start Address,Thread Thread State,Thread Thread Wait Reason,Thread ID Process,Thread ID Thread,UDPv4 Datagrams/sec,UDPv4 Datagrams Received/sec,UDPv4 Datagrams No Port/sec,UDPv4 Datagrams Received Errors,UDPv4 Datagrams Sent/sec
2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,742,577,0,0,0,0,278,638,165,0,4,0,0,0,0,0,0,1510555,1586241536,690749440,4293902336,57740,635242,60737,814269,257386,233201,38956,24185,103866368,41013248,97,81369,58829,33557886,13422592,29515776,49410048,7217152,2588672,6148096,3944448,13422592,168913,1547080,1510,0,882692096,85229568,415227904,168448000,117776384,135395,881,622,259,1000000000,110455,622,0,0,0,0,24940,259,0,0,0,0,0,0,1044104000,1044104000,880472000,880472000,163632000,163632000,1044104000,880472000,163632000,35830,30200,5630,985911296,834397696,151513600,985911296,834397696,151513600,13143713000,1000,10760792979,197653267,10563139712,3523190784,2976219136,398569,616718336,414715904,464433152,356290560,356290560,444,0,131336469338797590,0,0,4552752,645348,10349,29159,8797,37956,442772,204543720,34297242,238840962,4308837567,179421184,10155041096,732580696,3134216091,211765,67548433,36816236,96682,0,10155041096,10070000000,0,0,99559,0,0,41177,15639,4927594,228208278,40161538,4642358395,3474549,44562519,56816,131336455385000000,12,39,444,0,95531,0,53082416,18,0,2,0,0,1,8,10,0,1424100,10566415733,141804909,10424610824,131336469339109591,0,0,0,0,0,0,0,187,55,7,271,132
2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,742,577,0,0,0,0,278,638,165,0,4,0,0,0,0,0,0,1512629,1585598464,690688000,4293902336,57742,635283,60740,816175,257387,233202,38957,24185,103870464,41017344,97,81375,58830,33557886,13434880,29515776,49410048,7217152,2588672,6148096,3944448,13434880,168625,1548436,1512,0,884305920,85229568,415227904,168407040,117657600,135395,881,622,259,1000000000,110455,622,0,0,0,0,24940,259,0,0,0,0,0,0,1044104000,1044104000,880472000,880472000,163632000,163632000,1044104000,880472000,163632000,35830,30200,5630,985911296,834397696,151513600,985911296,834397696,151513600,13152677000,1000,10769685036,199213277,10570471759,3523190784,2976219136,399889,616734720,412258304,464433152,357085184,357085184,444,0,131336469347845606,0,0,4552752,645348,10354,29159,8803,37962,456338,204543720,34304472,238848192,4309861005,179789824,10155041096,734140706,3141704139,211883,67548433,36816236,96699,0,10155041096,10070000000,0,0,99559,0,0,41177,15645,4941160,228208278,40168768,4643381833,3482586,44695069,56822,131336455385000000,24,39,444,0,95531,0,53082416,18,0,2,0,0,1,8,10,0,1432133,10575307790,143052917,10432254873,131336469348001606,0,0,0,0,0,0,0,187,55,7,271,132
2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,742,577,0,0,0,0,278,638,165,0,4,0,0,0,0,0,0,1513784,1585451008,691781632,4293902336,57742,635288,60743,817322,257387,233202,38957,24185,103895040,40968192,97,81398,58807,33557886,13307904,29515776,49414144,7217152,2588672,6148096,3944448,13307904,168892,1548292,1512,0,884039680,85221376,415227904,168419328,117764096,135523,883,624,259,1000000000,110583,624,0,0,0,0,24940,259,0,0,0,0,0,0,1044124000,1044124000,880472000,880472000,163652000,163652000,1044124000,880472000,163652000,35832,30200,5632,985929216,834397696,151531520,985929216,834397696,151531520,13161594000,1002,10778733094,200461285,10578271809,3523190784,2975956992,401040,616734720,412483584,464433152,357523456,357523456,445,0,131336469356737622,0,0,4552752,645468,10358,29159,8809,37968,469964,204543720,34311702,238855422,4310891155,179994624,10155041096,735388714,3149348188,212000,67548433,36816236,96717,0,10155041096,10070000000,0,0,99559,0,0,41177,15651,4954786,228208278,40175998,4644411983,3490778,44806855,56828,131336455385000000,11,39,445,0,95531,0,53082416,18,0,2,0,0,1,8,10,0,1440324,10584199847,144300925,10439898922,131336469356893622,0,0,0,0,0,0,0,187,55,7,271,132
2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,742,577,0,0,0,0,278,638,165,0,4,0,0,0,0,0,0,1515357,1585954816,690954240,4293902336,57757,635518,60750,818659,257395,233210,38958,24185,103907328,40972288,97,81388,58826,33557886,13336576,29515776,49438720,7217152,2588672,6148096,3944448,13336576,168690,1548784,1512,0,884645888,85213184,415117312,168419328,117760000,135587,884,625,259,1000000000,110647,625,0,0,0,0,24940,259,0,0,0,0,0,0,1044136000,1044136000,880484000,880484000,163652000,163652000,1044136000,880484000,163652000,35833,30201,5632,985961984,834430464,151531520,985961984,834430464,151531520,13172148000,1002,10789185161,202333297,10586851864,3529977856,2982023168,402598,617701376,412631040,464785408,355954688,355954688,446,0,131336469367345640,0,0,4568104,647508,10366,29160,8815,37975,485764,204563500,34318930,238882430,4312082561,179253248,10155041096,737260726,3158084244,212149,67548433,36816236,96740,0,10155041096,10070000000,0,0,99559,0,0,41178,15657,4970586,228228058,40183226,4645603389,3500346,44937075,56835,131336455385000000,8,40,446,0,95532,0,53082416,18,0,2,0,0,1,8,10,0,1449876,10594807915,146172937,10448634978,131336469367501641,0,0,0,0,0,0,0,187,55,7,271,132
2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,744,579,0,0,0,0,279,640,165,0,4,0,0,0,0,0,0,1516967,1585025024,692002816,4293902336,57802,635903,60753,819881,257396,233211,38959,24185,103976960,40996864,97,81456,58834,33557886,13316096,29515776,49479680,7217152,2588672,6148096,3944448,13316096,168946,1547876,1511,0,883699712,85213184,415117312,168452096,117755904,135908,885,626,259,1000000000,110968,626,0,0,0,0,24940,259,0,0,0,0,0,0,1044172000,1044172000,880484000,880484000,163688000,163688000,1044172000,880484000,163688000,35835,30201,5634,985974784,834430464,151544320,985974784,834430464,151544320,13181374000,1004,10798545221,203581305,10594963916,3564826624,3016871936,404192,619479040,414560256,465313792,356794368,356794368,446,0,131336469376549657,0,0,4635256,650268,10401,29161,8822,37983,499474,204563500,34326227,238889727,4313111877,179904512,10155041096,738508734,3166040295,212274,67548433,36816236,96754,0,10155041096,10070000000,0,0,99559,0,0,41179,15664,4984296,228228058,40190523,4646632705,3508555,45049078,56843,131336455385000000,20,40,446,0,95532,0,53082416,18,0,2,0,0,1,8,10,0,1458087,10604011974,147420945,10456591029,131336469376705657,0,0,0,0,0,0,0,187,55,7,272,132
2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,744,579,0,0,0,0,279,640,165,0,4,0,0,0,0,0,0,1518213,1584914432,691744768,4293902336,57802,635945,60754,821084,257396,233211,38959,24185,103911424,40976384,97,81409,58820,33557886,13320192,29515776,49471488,7217152,2588672,6148096,3944448,13320192,168883,1547768,1511,0,883589120,85217280,415117312,168452096,117755904,136036,887,628,259,1000000000,111096,628,0,0,0,0,24940,259,0,0,0,0,0,0,1044202000,1044202000,880484000,880484000,163718000,163718000,1044202000,880484000,163718000,35838,30201,5637,986081280,834430464,151650816,986081280,834430464,151650816,13190530000,1004,10807749280,204517311,10603231969,3565875200,3017879552,405436,619692032,414867456,465408000,357257216,357257216,447,0,131336469385753673,0,0,4635176,650212,10422,29162,8828,37990,513132,204563518,34333456,238896974,4314141969,180080640,10155041096,739444740,3174308348,212404,67548433,36816236,96775,0,10155041096,10070000000,0,0,99559,0,0,41180,15670,4997954,228228076,40197752,4647662797,3516821,45162631,56850,131336455385000000,16,40,447,0,95532,0,53082416,18,0,2,0,0,1,8,10,0,1466358,10613216033,148356951,10464859082,131336469385909673,0,0,0,0,0,0,0,187,55,7,272,132
2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,744,579,0,0,0,0,279,640,165,0,4,0,0,0,0,0,0,1519743,1584361472,692850688,4293902336,57809,636199,60758,822356,257396,233211,38959,24185,103759872,40964096,97,81422,58848,33557886,13316096,29515776,49303552,7217152,2588672,6148096,3944448,13316096,169153,1547228,1510,0,883023872,85241856,415117312,168464384,117755904,136036,887,628,259,1000000000,111096,628,0,0,0,0,24940,259,0,0,0,0,0,0,1044212000,1044212000,880484000,880484000,163728000,163728000,1044212000,880484000,163728000,35839,30201,5638,986097152,834430464,151666688,986097152,834430464,151666688,13199878000,1004,10816953339,206077321,10611032019,3573481472,3026534400,406962,620437504,415895552,465731584,358129664,358129664,453,0,131336469395113689,0,0,4642128,652132,10462,29165,8835,38000,526845,204563819,34340744,238904563,4315172993,180510720,10155041096,741004750,3182108398,212572,67548433,36816236,96791,0,10155041096,10070000000,0,0,99559,0,0,41183,15677,5011667,228228377,40205040,4648693821,3525257,45276511,56860,131336455385000000,15,40,453,0,95532,0,53082416,18,0,2,0,0,1,8,10,0,1474790,10622576093,149916961,10472659132,131336469395269689,0,0,0,0,0,0,0,187,55,7,272,132
2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,744,579,0,0,0,0,279,640,165,0,4,0,0,0,0,0,0,1520922,1584242688,692785152,4293902336,57809,636200,60760,823532,257396,233211,38959,24185,103772160,40964096,97,81428,58850,33557886,13324288,29515776,49303552,7217152,2588672,6148096,3944448,13324288,169137,1547112,1510,0,882909184,85237760,415117312,168464384,117751808,136100,888,629,259,1000000000,111160,629,0,0,0,0,24940,259,0,0,0,0,0,0,1044212000,1044212000,880484000,880484000,163728000,163728000,1044212000,880484000,163728000,35839,30201,5638,986097152,834430464,151666688,986097152,834430464,151666688,13209022000,1004,10826157398,207013327,10619144071,3573481472,3026010112,408141,620437504,416182272,465731584,358531072,358531072,452,0,131336469404161705,0,0,4641136,651892,10458,29165,8841,38006,540401,204563819,34347974,238911793,4316195705,180785152,10155041096,741940756,3190376451,212840,67548433,36816236,96807,0,10155041096,10070000000,0,0,99559,0,0,41183,15683,5025223,228228377,40212270,4649716533,3533625,45385778,56866,131336455385000000,22,40,452,0,95532,0,53082416,18,0,2,0,0,1,8,10,0,1483149,10631780152,150852967,10480927185,131336469404473706,0,0,0,0,0,0,0,187,55,7,272,132
2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,744,579,0,0,0,0,279,640,165,0,4,0,0,0,0,0,0,1522379,1583915008,694267904,4293902336,57812,636395,60763,824792,257397,233212,38960,24185,103776256,40951808,97,81469,58882,33557886,13316096,29515776,49303552,7217152,2588672,6148096,3944448,13316096,169499,1546792,1510,0,882569216,85233664,415117312,168480768,117747712,136164,889,630,259,1000000000,111224,630,0,0,0,0,24940,259,0,0,0,0,0,0,1044223000,1044223000,880484000,880484000,163739000,163739000,1044223000,880484000,163739000,35840,30201,5639,986119168,834430464,151688704,986119168,834430464,151688704,13218274000,1004,10835517458,208885339,10626632119,3576320000,3029385216,409593,621449216,417460224,465932288,359288832,359288832,455,0,131336469413521722,0,0,4648592,653092,10501,29165,8847,38012,554076,204563819,34355203,238919022,4317226801,181293056,10155041096,743812768,3197708498,213108,67548433,36816236,96823,0,10155041096,10070000000,0,0,99559,0,0,41183,15689,5038898,228228377,40219499,4650747629,3542240,45499580,56872,131336455385000000,6,40,455,0,95535,0,53082416,18,0,2,0,0,1,8,10,0,1491758,10640984211,152724979,10488259232,131336469413833722,0,0,0,0,0,0,0,187,55,7,272,132
2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,746,581,0,0,0,0,280,642,165,0,4,0,0,0,0,0,0,1523801,1583251456,695316480,4293902336,57812,636424,60765,826183,257397,233212,38960,24185,103714816,40968192,97,81460,58899,33557886,13324288,29515776,49283072,7217152,2588672,6148096,3944448,13324288,169755,1546144,1509,0,881909760,85245952,415117312,168476672,117747712,136549,891,632,259,1000000000,111609,632,0,0,0,0,24940,259,0,0,0,0,0,0,1044223000,1044223000,880484000,880484000,163739000,163739000,1044223000,880484000,163739000,35840,30201,5639,986119168,834430464,151688704,986119168,834430464,151688704,13227543000,1004,10844721517,210601350,10634120167,3576320000,3029413888,410981,621449216,418189312,465932288,360546304,360546304,455,0,131336469422725738,0,0,4648648,653332,10511,29180,8865,38045,567811,204565383,34363993,238929376,4318255023,181989376,10155041096,745528779,3205196546,213369,67548433,36816236,96840,0,10155041096,10070000000,0,0,99559,0,0,41198,15707,5052633,228229941,40228289,4651775851,3550922,45614162,56905,131336455385000000,15,40,455,0,95535,0,53082416,18,0,2,0,0,1,8,10,0,1500444,10650188270,154596991,10495747280,131336469423037738,0,0,0,0,0,0,0,187,55,7,273,132
