ICMP Messages/sec,ICMP Messages Received/sec,ICMP Messages Received Errors,ICMP Received Dest. Unreachable,ICMP Received Time Exceeded,ICMP Received Parameter Problem,ICMP Received Source Quench,ICMP Received Redirect/sec,ICMP Received Echo/sec,ICMP Received Echo Reply/sec,ICMP Received Timestamp/sec,ICMP Received Timestamp Reply/sec,ICMP Received Address Mask,ICMP Received Address Mask Reply,ICMP Messages Sent/sec,ICMP Messages Outbound Errors,ICMP Sent Destination Unreachable,ICMP Sent Time Exceeded,ICMP Sent Parameter Problem,ICMP Sent Source Quench,ICMP Sent Redirect/sec,ICMP Sent Echo/sec,ICMP Sent Echo Reply/sec,ICMP Sent Timestamp/sec,ICMP Sent Timestamp Reply/sec,ICMP Sent Address Mask,ICMP Sent Address Mask Reply,IPv4 Datagrams/sec,IPv4 Datagrams Received/sec,IPv4 Datagrams Received Header Errors,IPv4 Datagrams Received Address Errors,IPv4 Datagrams Forwarded/sec,IPv4 Datagrams Received Unknown Protocol,IPv4 Datagrams Received Discarded,IPv4 Datagrams Received Delivered/sec,IPv4 Datagrams Sent/sec,IPv4 Datagrams Outbound Discarded,IPv4 Datagrams Outbound No Route,IPv4 Fragments Received/sec,IPv4 Fragments Re-assembled/sec,IPv4 Fragment Re-assembly Failures,IPv4 Fragmented Datagrams/sec,IPv4 Fragmentation Failures,IPv4 Fragments Created/sec,Memory Page Faults/sec,Memory Available Bytes,Memory Committed Bytes,Memory Commit Limit,Memory Write Copies/sec,Memory Transition Faults/sec,Memory Cache Faults/sec,Memory Demand Zero Faults/sec,Memory Pages/sec,Memory Pages Input/sec,Memory Page Reads/sec,Memory Pages Output/sec,Memory Pool Paged Bytes,Memory Pool Nonpaged Bytes,Memory Page Writes/sec,Memory Pool Paged Allocs,Memory Pool Nonpaged Allocs,Memory Free System Page Table Entries,Memory Cache Bytes,Memory Cache Bytes Peak,Memory Pool Paged Resident Bytes,Memory System Code Total Bytes,Memory System Code Resident Bytes,Memory System Driver Total Bytes,Memory System Driver Resident Bytes,Memory System Cache Resident Bytes,Memory % Committed Bytes In Use,Memory Available KBytes,Memory Available MBytes,Memory Transition Pages RePurposed/sec,Memory Free & Zero Page List Bytes,Memory Modified Page List Bytes,Memory Standby Cache Reserve Bytes,Memory Standby Cache Normal Priority Bytes,Memory Standby Cache Core Bytes,Network Interface Bytes Total/sec,Network Interface Packets/sec,Network Interface Packets Received/sec,Network Interface Packets Sent/sec,Network Interface Current Bandwidth,Network Interface Bytes Received/sec,Network Interface Packets Received Unicast/sec,Network Interface Packets Received Non-Unicast/sec,Network Interface Packets Received Discarded,Network Interface Packets Received Errors,Network Interface Packets Received Unknown,Network Interface Bytes Sent/sec,Network Interface Packets Sent Unicast/sec,Network Interface Packets Sent Non-Unicast/sec,Network Interface Packets Outbound Discarded,Network Interface Packets Outbound Errors,Network Interface Output Queue Length,Network Interface Offloaded Connections,PhysicalDisk Current Disk Queue Length,PhysicalDisk % Disk Time,PhysicalDisk Avg. Disk Queue Length,PhysicalDisk % Disk Read Time,PhysicalDisk Avg. Disk Read Queue Length,PhysicalDisk % Disk Write Time,PhysicalDisk Avg. Disk Write Queue Length,PhysicalDisk Avg. Disk sec/Transfer,PhysicalDisk Avg. Disk sec/Read,PhysicalDisk Avg. Disk sec/Write,PhysicalDisk Disk Transfers/sec,PhysicalDisk Disk Reads/sec,PhysicalDisk Disk Writes/sec,PhysicalDisk Disk Bytes/sec,PhysicalDisk Disk Read Bytes/sec,PhysicalDisk Disk Write Bytes/sec,PhysicalDisk Avg. Disk Bytes/Transfer,PhysicalDisk Avg. Disk Bytes/Read,PhysicalDisk Avg. Disk Bytes/Write,PhysicalDisk % Idle Time,PhysicalDisk Split IO/Sec,Process % Processor Time,Process % User Time,Process % Privileged Time,Process Virtual Bytes Peak,Process Virtual Bytes,Process Page Faults/sec,Process Working Set Peak,Process Working Set,Process Page File Bytes Peak,Process Page File Bytes,Process Private Bytes,Process Thread Count,Process Priority Base,Process Elapsed Time,Process ID Process,Process Creating Process ID,Process Pool Paged Bytes,Process Pool Nonpaged Bytes,Process Handle Count,Process IO Read Operations/sec,Process IO Write Operations/sec,Process IO Data Operations/sec,Process IO Other Operations/sec,Process IO Read Bytes/sec,Process IO Write Bytes/sec,Process IO Data Bytes/sec,Process IO Other Bytes/sec,Process Working Set - Private,Processor % Processor Time,Processor % User Time,Processor % Privileged Time,Processor Interrupts/sec,Processor % DPC Time,Processor % Interrupt Time,Processor DPCs Queued/sec,Processor DPC Rate,Processor % Idle Time,Processor % C1 Time,Processor % C2 Time,Processor % C3 Time,Processor C1 Transitions/sec,Processor C2 Transitions/sec,Processor C3 Transitions/sec,System File Read Operations/sec,System File Write Operations/sec,System File Control Operations/sec,System File Read Bytes/sec,System File Write Bytes/sec,System File Control Bytes/sec,System Context Switches/sec,System System Calls/sec,System File Data Operations/sec,System System Up Time,System Processor Queue Length,System Processes,System Threads,System Alignment Fixups/sec,System Exception Dispatches/sec,System Floating Emulations/sec,System % Registry Quota In Use,TCPv4 Segments/sec,TCPv4 Connections Established,TCPv4 Connections Active,TCPv4 Connections Passive,TCPv4 Connection Failures,TCPv4 Connections Reset,TCPv4 Segments Received/sec,TCPv4 Segments Sent/sec,TCPv4 Segments Retransmitted/sec,Thread Context Switches/sec,Thread % Processor Time,Thread % User Time,Thread % Privileged Time,Thread Elapsed Time,Thread Priority Current,Thread Priority Base,Thread Start Address,Thread Thread State,Thread Thread Wait Reason,Thread ID Process,Thread ID Thread,UDPv4 Datagrams/sec,UDPv4 Datagrams Received/sec,UDPv4 Datagrams No Port/sec,UDPv4 Datagrams Received Errors,UDPv4 Datagrams Sent/sec
303,141,0,0,0,0,0,139,1,0,0,0,0,0,162,0,162,0,0,0,0,0,0,0,0,0,0,51242,32705,0,211,0,12,1690,32521,18537,0,4,0,0,0,0,0,0,3575041,1266683904,1034620928,4293902336,20921,502437,244550,2830676,335153,297105,45539,38048,104861696,39092224,157,85372,63425,33556735,24829952,32149504,49963008,7217152,2588672,6152192,3862528,24829952,252866,1235140,1206,0,329011200,48971776,739700736,146657280,49217536,29913795,51987,33218,18769,1000000000,28108903,33218,0,0,0,0,1804892,18769,0,0,0,0,0,0,2482994000,2482994000,1894866000,1894866000,588128000,588128000,2482994000,1894866000,588128000,42533,30081,12452,1428371456,1085617152,342754304,1428371456,1085617152,342754304,20158598000,2569,9523861050,1842215809,7681645241,4925693952,4131831808,1046723,1005006848,785014784,826363904,693919744,693919744,541,0,131337131452447384,0,0,5254400,818556,11485,53824,118212,172036,841798,482695698,172921901,655617599,4322644295,471142400,7054365220,3195056481,11366856864,1041983,108576696,103272662,327361,1,7054365220,6740554496,0,0,454145,0,0,83984,131170,20113887,971882566,189865485,5682290392,13101415,172250130,215154,131337109905000000,20,42,541,0,44876,0,55260480,112134,25,1047,3,91,128,62129,50005,1649,5861907,9276599465,1757507266,7519092199,131337131452747401,0,0,0,0,0,0,0,5285,2309,957,451,2976
303,141,0,0,0,0,0,139,1,0,0,0,0,0,162,0,162,0,0,0,0,0,0,0,0,0,0,51242,32705,0,211,0,12,1690,32521,18537,0,4,0,0,0,0,0,0,3579324,1264668672,1037377536,4293902336,20995,503282,244563,2833978,335153,297105,45539,38048,104878080,39104512,157,85521,63623,33556735,24719360,32149504,50036736,7217152,2588672,6152192,3862528,24719360,253266,1235028,1206,0,328982528,48586752,739704832,147099648,48881664,29913795,51987,33218,18769,1000000000,28108903,33218,0,0,0,0,1804892,18769,0,0,0,0,0,0,2483119000,2483119000,1894866000,1894866000,588253000,588253000,2483119000,1894866000,588253000,42541,30081,12460,1428781056,1085617152,343163904,1428781056,1085617152,343163904,20170026000,2574,9535249123,1845179828,7690069295,4951617536,4161863680,1050225,1008726016,789897216,827584512,696291328,696291328,544,0,131337131463898039,0,0,5316216,825884,11768,53837,118224,172061,857215,482710064,172931478,655641542,4323702877,472977408,7054365220,3198020500,11375280918,1043557,108576696,103272662,327497,1,7054365220,6740554496,0,0,454145,0,0,83997,131182,20129304,971896932,189875062,5683348974,13112994,172393406,215179,131337109905000000,11,43,544,0,44876,0,55260480,112142,25,1047,3,91,128,62133,50009,1649,5873482,9287987538,1760471285,7527516253,131337131464188055,0,0,0,0,0,0,0,5285,2309,957,451,2976
303,141,0,0,0,0,0,139,1,0,0,0,0,0,162,0,162,0,0,0,0,0,0,0,0,0,0,51638,33008,0,211,0,12,1690,32825,18634,0,4,0,0,0,0,0,0,3583114,1261015040,1042468864,4293902336,21064,504310,244572,2836731,335154,297106,45540,38048,104919040,39219200,157,85611,63835,33556735,24756224,32149504,50061312,7217152,2588672,6152192,3862528,24756224,254509,1231460,1202,0,325427200,48852992,739700736,147095552,48791552,30371137,52388,33522,18866,1000000000,28559913,33522,0,0,0,0,1811224,18866,0,0,0,0,0,0,2483220000,2483220000,1894866000,1894866000,588354000,588354000,2483220000,1894866000,588354000,42558,30081,12477,1428910080,1085617152,343292928,1428910080,1085617152,343292928,20182703000,2574,9547417201,1847675844,7699741357,5004423168,4219252736,1053945,1013100544,795824128,829009920,699793408,699793408,560,0,131337131476688770,0,0,5418064,835428,11884,53915,118237,172152,872485,482731466,173211634,655943100,4324749689,475557888,7054365220,3200360515,11385732985,1046191,109044699,103428663,328820,11,7054365220,6740554496,0,0,454145,0,0,84075,131195,20144574,971918334,190155218,5684395786,13125204,172529369,215270,131337109905000000,21,44,560,0,44876,0,55260480,112563,25,1047,3,91,128,62447,50116,1649,5885685,9300155616,1762811300,7537344316,131337131476998788,0,0,0,0,0,0,0,5285,2309,957,451,2976
303,141,0,0,0,0,0,139,1,0,0,0,0,0,162,0,162,0,0,0,0,0,0,0,0,0,0,51836,33161,0,211,0,12,1690,32977,18675,0,4,0,0,0,0,0,0,3586472,1259986944,1044680704,4293902336,21086,504524,244579,2839869,335154,297106,45540,38048,104935424,39211008,157,85626,63849,33556735,24719360,32149504,50085888,7217152,2588672,6152192,3862528,24719360,255049,1230440,1201,0,323801088,48726016,739708928,147628032,48832512,30596870,52581,33674,18907,1000000000,28783385,33674,0,0,0,0,1813485,18907,0,0,0,0,0,0,2483279000,2483279000,1894866000,1894866000,588413000,588413000,2483279000,1894866000,588413000,42561,30081,12480,1429449216,1085617152,343832064,1429449216,1085617152,343832064,20194242000,2576,9558493272,1849703857,7708789415,5021569024,4235550720,1057308,1014226944,798019584,829374464,701366272,701366272,558,0,131337131488219430,0,0,5450664,836028,11892,53915,118248,172163,887243,482731466,173627033,656358499,4325788305,476971008,7054365220,3202388528,11395249046,1048159,109044699,103896666,329398,1,7054365220,6740554496,0,0,454145,0,0,84075,131206,20159332,971918334,190570617,5685434402,13136021,172657585,215281,131337109905000000,16,44,558,0,44876,0,55260480,112771,25,1047,3,91,128,62607,50164,1650,5896496,9311231687,1764839313,7546392374,131337131488509446,0,0,0,0,0,0,0,5285,2309,957,451,2976
303,141,0,0,0,0,0,139,1,0,0,0,0,0,162,0,162,0,0,0,0,0,0,0,0,0,0,51841,33164,0,211,0,12,1690,32980,18677,0,4,0,0,0,0,0,0,3588498,1259417600,1044865024,4293902336,21086,504537,244583,2841878,335154,297106,45540,38048,105046016,39092224,157,85610,63846,33556735,24698880,32149504,50200576,7217152,2588672,6152192,3862528,24698880,255094,1229900,1201,0,323084288,48599040,739708928,147779584,48844800,30597754,52586,33677,18909,1000000000,28783693,33677,0,0,0,0,1814061,18909,0,0,0,0,0,0,2483326000,2483326000,1894866000,1894866000,588460000,588460000,2483326000,1894866000,588460000,42566,30081,12485,1429639168,1085617152,344022016,1429639168,1085617152,344022016,20205122000,2578,9569257341,1852043872,7717213469,5021569024,4233977856,1059277,1014288384,798466048,829382656,701784064,701784064,555,0,131337131499150055,0,0,5447688,835308,11878,53925,118256,172181,901922,482733140,173635120,656368260,4326822273,477372416,7054365220,3204728543,11403829101,1049800,109044699,104208668,329748,12,7054365220,6740554496,0,0,454145,0,0,84085,131214,20174011,971920008,190578704,5686468370,13146538,172781624,215299,131337109905000000,16,44,555,0,44876,0,55260480,112805,25,1047,3,91,128,62625,50180,1651,5906948,9321839755,1767335329,7554660427,131337131499480074,0,0,0,0,0,0,0,5291,2312,957,451,2979
303,141,0,0,0,0,0,139,1,0,0,0,0,0,162,0,162,0,0,0,0,0,0,0,0,0,0,51870,33180,0,211,0,12,1690,32996,18690,0,4,0,0,0,0,0,0,3590662,1258381312,1045094400,4293902336,21086,504581,244592,2843990,335155,297107,45541,38048,105181184,38023168,157,85594,63610,33556735,24715264,32149504,50327552,7217152,2588672,6152192,3862528,24715264,255150,1228888,1200,0,322072576,48594944,739708928,147759104,48840704,30599749,52612,33690,18922,1000000000,28784797,33690,0,0,0,0,1814952,18922,0,0,0,0,0,0,2483326000,2483326000,1894866000,1894866000,588460000,588460000,2483326000,1894866000,588460000,42566,30081,12485,1429639168,1085617152,344022016,1429639168,1085617152,344022016,20217130000,2578,9580801415,1855007891,7725793524,5021569024,4237225984,1061229,1014300672,799358976,829382656,702390272,702390272,555,0,131337131511140741,0,0,5453696,834204,11897,53970,118269,172239,917629,482754312,173667244,656421556,4327896419,478081024,7054365220,3207692562,11412877159,1052082,109200700,104364669,330623,5,7054365220,6740554496,0,0,454145,0,0,84130,131227,20189718,971941180,190610828,5687542516,13158165,172913706,215357,131337109905000000,12,44,555,0,44876,0,55260480,112821,23,1047,3,91,128,62636,50188,1654,5918593,9333227828,1769987346,7563396483,131337131511480760,0,0,0,0,0,0,0,5291,2312,957,451,2979
303,141,0,0,0,0,0,139,1,0,0,0,0,0,162,0,162,0,0,0,0,0,0,0,0,0,0,52004,33280,0,211,0,12,1690,33107,18729,0,4,0,0,0,0,0,0,3615906,1251500032,1052106752,4293902336,21240,507409,244683,2866318,335157,297109,45543,38048,105062400,38055936,157,85777,63840,33556735,25047040,32149504,50237440,7217152,2588672,6152192,3862528,25047040,256862,1222168,1193,0,315777024,48353280,739643392,147755008,48324608,30771817,52777,33813,18967,1000000000,28963128,33820,0,0,0,0,1819801,18976,0,0,0,0,0,0,2483416000,2483416000,1894866000,1894866000,588550000,588550000,2483416000,1894866000,588550000,42576,30081,12495,1429770752,1085617152,344153600,1429770752,1085617152,344153600,20238767000,2580,9601705549,1864835954,7736869595,5106434048,4318265344,1086248,1025134592,812904448,833409024,707448832,707448832,563,0,131337131532851983,0,0,5630192,846724,12073,54522,118284,172806,933206,482832672,173696793,656529465,4328944861,483717120,7055769229,3217520625,11423329226,1058477,109512702,104832672,332261,27,7055769229,6741625548,0,0,454283,0,0,84682,131242,20205295,972019540,190640377,5688590958,13180649,173085649,215924,131337109905000000,4,45,563,0,44876,0,55260480,113066,22,1047,3,91,128,62808,50264,1654,5940878,9353351957,1778723402,7574628555,131337131533352011,0,0,0,0,0,0,0,5297,2315,957,451,2982
303,141,0,0,0,0,0,139,1,0,0,0,0,0,162,0,162,0,0,0,0,0,0,0,0,0,0,52201,33416,0,211,0,12,1690,33232,18785,0,4,0,0,0,0,0,0,3617865,1251033088,1052651520,4293902336,21240,507411,244686,2868274,335157,297109,45543,38048,105054208,38064128,157,85757,63837,33556735,24985600,32149504,50237440,7217152,2588672,6152192,3862528,24985600,256995,1221712,1193,0,314908672,48336896,739643392,148140032,48340992,30937131,52940,33923,19017,1000000000,29115060,33923,0,0,0,0,1822071,19017,0,0,0,0,0,0,2483479000,2483479000,1894866000,1894866000,588613000,588613000,2483479000,1894866000,588613000,42581,30081,12500,1430108160,1085617152,344491008,1430108160,1085617152,344491008,20253405000,2583,9615589638,1870295989,7745293649,5106434048,4316954624,1088159,1025134592,813400064,833409024,707874816,707874816,562,0,131337131547542823,0,0,5629200,846364,12065,54607,118299,172906,947935,482834682,174039296,656873978,4329979629,484220928,7055769229,3223136661,11432377284,1061523,109668703,105456676,333627,14,7055769229,6741625548,0,0,454283,0,0,84767,131257,20220028,972021550,190982880,5689625802,13195042,173223072,216024,131337109905000000,4,45,562,0,44876,0,55260480,113196,22,1047,3,91,128,62892,50304,1656,5955167,9367236046,1784339438,7582896608,131337131547892843,0,0,0,0,0,0,0,5297,2315,957,451,2982
303,141,0,0,0,0,0,139,1,0,0,0,0,0,162,0,162,0,0,0,0,0,0,0,0,0,0,52215,33424,0,211,0,12,1690,33240,18791,0,4,0,0,0,0,0,0,3622659,1246027776,1058164736,4293902336,21240,507414,244695,2873058,335158,297110,45544,38048,105074688,38129664,157,85780,63868,33556735,24989696,32149504,50249728,7217152,2588672,6152192,3862528,24989696,258341,1216824,1188,0,309899264,48328704,739643392,148148224,48336896,30938334,52951,33928,19023,1000000000,29115473,33928,0,0,0,0,1822861,19023,0,0,0,0,0,0,2483534000,2483534000,1894866000,1894866000,588668000,588668000,2483534000,1894866000,588668000,42588,30081,12507,1430181888,1085617152,344564736,1430181888,1085617152,344564736,20268159000,2585,9630097731,1875444022,7754653709,5106434048,4318265344,1092934,1025134592,818712576,833409024,713441280,713441280,563,0,131337131562263665,0,0,5629392,847492,12076,54650,118345,172995,962704,482840778,174052832,656893610,4331013001,489521152,7055769229,3228128693,11442049346,1064283,109668703,105768678,334351,2,7055769229,6741625548,0,0,454283,0,0,84810,131303,20234793,972027646,190996416,5690659098,13208731,173361136,216113,131337109905000000,6,45,563,0,44876,0,55260480,113245,23,1048,3,91,128,62916,50329,1656,5968858,9381588138,1789487471,7592100667,131337131562583683,0,0,0,0,0,0,0,5303,2318,957,451,2985
303,141,0,0,0,0,0,139,1,0,0,0,0,0,162,0,162,0,0,0,0,0,0,0,0,0,0,52264,33455,0,211,0,12,1690,33271,18809,0,4,0,0,0,0,0,0,3625397,1246183424,1056931840,4293902336,21240,507499,244707,2875703,335158,297110,45544,38048,105078784,38080512,157,85816,63861,33556735,25038848,32149504,50266112,7217152,2588672,6152192,3862528,25038848,258040,1216976,1188,0,310108160,48340992,739643392,148082688,48349184,30942350,52988,33947,19041,1000000000,29117591,33947,0,0,0,0,1824813,19042,0,0,0,0,0,2,2483572000,2483572000,1894866000,1894866000,588706000,588706000,2483572000,1894866000,588706000,42592,30081,12511,1430555648,1085617152,344938496,1430555648,1085617152,344938496,20280523000,2585,9642889813,1878720043,7764169770,5036482560,4250386432,1093479,1019920384,814866432,831610880,713658368,713658368,561,0,131337131575234407,0,0,5507968,843284,12006,54713,118411,173124,977647,483714765,174775838,658490603,4332050847,489795584,7055769229,3231404714,11451877409,1066199,109668703,105924679,334559,3,7055769229,6741625548,0,0,454283,0,0,84874,131369,20249997,972920555,191719422,5691699498,13222013,173509257,216243,131337109905000000,10,44,561,0,44876,0,55260480,113417,27,1053,3,91,128,63005,50420,1656,5982124,9394848223,1793075494,7601772729,131337131575984450,0,0,0,0,0,0,0,5327,2330,957,451,2997
