ICMP Messages/sec,ICMP Messages Received/sec,ICMP Messages Received Errors,ICMP Received Dest. Unreachable,ICMP Received Time Exceeded,ICMP Received Parameter Problem,ICMP Received Source Quench,ICMP Received Redirect/sec,ICMP Received Echo/sec,ICMP Received Echo Reply/sec,ICMP Received Timestamp/sec,ICMP Received Timestamp Reply/sec,ICMP Received Address Mask,ICMP Received Address Mask Reply,ICMP Messages Sent/sec,ICMP Messages Outbound Errors,ICMP Sent Destination Unreachable,ICMP Sent Time Exceeded,ICMP Sent Parameter Problem,ICMP Sent Source Quench,ICMP Sent Redirect/sec,ICMP Sent Echo/sec,ICMP Sent Echo Reply/sec,ICMP Sent Timestamp/sec,ICMP Sent Timestamp Reply/sec,ICMP Sent Address Mask,ICMP Sent Address Mask Reply,IPv4 Datagrams/sec,IPv4 Datagrams Received/sec,IPv4 Datagrams Received Header Errors,IPv4 Datagrams Received Address Errors,IPv4 Datagrams Forwarded/sec,IPv4 Datagrams Received Unknown Protocol,IPv4 Datagrams Received Discarded,IPv4 Datagrams Received Delivered/sec,IPv4 Datagrams Sent/sec,IPv4 Datagrams Outbound Discarded,IPv4 Datagrams Outbound No Route,IPv4 Fragments Received/sec,IPv4 Fragments Re-assembled/sec,IPv4 Fragment Re-assembly Failures,IPv4 Fragmented Datagrams/sec,IPv4 Fragmentation Failures,IPv4 Fragments Created/sec,Memory Page Faults/sec,Memory Available Bytes,Memory Committed Bytes,Memory Commit Limit,Memory Write Copies/sec,Memory Transition Faults/sec,Memory Cache Faults/sec,Memory Demand Zero Faults/sec,Memory Pages/sec,Memory Pages Input/sec,Memory Page Reads/sec,Memory Pages Output/sec,Memory Pool Paged Bytes,Memory Pool Nonpaged Bytes,Memory Page Writes/sec,Memory Pool Paged Allocs,Memory Pool Nonpaged Allocs,Memory Free System Page Table Entries,Memory Cache Bytes,Memory Cache Bytes Peak,Memory Pool Paged Resident Bytes,Memory System Code Total Bytes,Memory System Code Resident Bytes,Memory System Driver Total Bytes,Memory System Driver Resident Bytes,Memory System Cache Resident Bytes,Memory % Committed Bytes In Use,Memory Available KBytes,Memory Available MBytes,Memory Transition Pages RePurposed/sec,Memory Free & Zero Page List Bytes,Memory Modified Page List Bytes,Memory Standby Cache Reserve Bytes,Memory Standby Cache Normal Priority Bytes,Memory Standby Cache Core Bytes,Network Interface Bytes Total/sec,Network Interface Packets/sec,Network Interface Packets Received/sec,Network Interface Packets Sent/sec,Network Interface Current Bandwidth,Network Interface Bytes Received/sec,Network Interface Packets Received Unicast/sec,Network Interface Packets Received Non-Unicast/sec,Network Interface Packets Received Discarded,Network Interface Packets Received Errors,Network Interface Packets Received Unknown,Network Interface Bytes Sent/sec,Network Interface Packets Sent Unicast/sec,Network Interface Packets Sent Non-Unicast/sec,Network Interface Packets Outbound Discarded,Network Interface Packets Outbound Errors,Network Interface Output Queue Length,Network Interface Offloaded Connections,PhysicalDisk Current Disk Queue Length,PhysicalDisk % Disk Time,PhysicalDisk Avg. Disk Queue Length,PhysicalDisk % Disk Read Time,PhysicalDisk Avg. Disk Read Queue Length,PhysicalDisk % Disk Write Time,PhysicalDisk Avg. Disk Write Queue Length,PhysicalDisk Avg. Disk sec/Transfer,PhysicalDisk Avg. Disk sec/Read,PhysicalDisk Avg. Disk sec/Write,PhysicalDisk Disk Transfers/sec,PhysicalDisk Disk Reads/sec,PhysicalDisk Disk Writes/sec,PhysicalDisk Disk Bytes/sec,PhysicalDisk Disk Read Bytes/sec,PhysicalDisk Disk Write Bytes/sec,PhysicalDisk Avg. Disk Bytes/Transfer,PhysicalDisk Avg. Disk Bytes/Read,PhysicalDisk Avg. Disk Bytes/Write,PhysicalDisk % Idle Time,PhysicalDisk Split IO/Sec,Process % Processor Time,Process % User Time,Process % Privileged Time,Process Virtual Bytes Peak,Process Virtual Bytes,Process Page Faults/sec,Process Working Set Peak,Process Working Set,Process Page File Bytes Peak,Process Page File Bytes,Process Private Bytes,Process Thread Count,Process Priority Base,Process Elapsed Time,Process ID Process,Process Creating Process ID,Process Pool Paged Bytes,Process Pool Nonpaged Bytes,Process Handle Count,Process IO Read Operations/sec,Process IO Write Operations/sec,Process IO Data Operations/sec,Process IO Other Operations/sec,Process IO Read Bytes/sec,Process IO Write Bytes/sec,Process IO Data Bytes/sec,Process IO Other Bytes/sec,Process Working Set - Private,Processor % Processor Time,Processor % User Time,Processor % Privileged Time,Processor Interrupts/sec,Processor % DPC Time,Processor % Interrupt Time,Processor DPCs Queued/sec,Processor DPC Rate,Processor % Idle Time,Processor % C1 Time,Processor % C2 Time,Processor % C3 Time,Processor C1 Transitions/sec,Processor C2 Transitions/sec,Processor C3 Transitions/sec,System File Read Operations/sec,System File Write Operations/sec,System File Control Operations/sec,System File Read Bytes/sec,System File Write Bytes/sec,System File Control Bytes/sec,System Context Switches/sec,System System Calls/sec,System File Data Operations/sec,System System Up Time,System Processor Queue Length,System Processes,System Threads,System Alignment Fixups/sec,System Exception Dispatches/sec,System Floating Emulations/sec,System % Registry Quota In Use,TCPv4 Segments/sec,TCPv4 Connections Established,TCPv4 Connections Active,TCPv4 Connections Passive,TCPv4 Connection Failures,TCPv4 Connections Reset,TCPv4 Segments Received/sec,TCPv4 Segments Sent/sec,TCPv4 Segments Retransmitted/sec,Thread Context Switches/sec,Thread % Processor Time,Thread % User Time,Thread % Privileged Time,Thread Elapsed Time,Thread Priority Current,Thread Priority Base,Thread Start Address,Thread Thread State,Thread Thread Wait Reason,Thread ID Process,Thread ID Thread,UDPv4 Datagrams/sec,UDPv4 Datagrams Received/sec,UDPv4 Datagrams No Port/sec,UDPv4 Datagrams Received Errors,UDPv4 Datagrams Sent/sec
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,35,0,0,0,0,5,143,190,0,4,0,0,0,0,0,0,415920,583872512,547893248,2147016704,10883,170694,30548,212677,70768,66672,15956,4096,80658432,19177472,16,49511,38422,33555156,21463040,22622208,80347136,7172096,2416640,5550080,5996544,21463040,133763,570180,556,0,390729728,38187008,55873536,137261056,0,34997,307,52,255,1000000000,10775,52,0,0,0,0,24222,119,136,0,0,0,0,0,465229000,465229000,462026000,462026000,3203000,3203000,465229000,462026000,3203000,12371,10994,1377,218496000,190254080,28241920,218496000,190254080,28241920,1390092000,105,1560625000,31718750,1528906250,3276701696,2842542080,204005,491044864,379523072,352714752,284434432,284434432,505,0,131348594866401598,0,0,4398336,620292,10041,9541,1781,11322,71967,132057779,9463329,141521108,4080323,154501120,1472343750,51875000,114062500,39814,625000,3750000,20978,0,1472343750,1405826945,0,0,19905,0,0,9640,2145,217158,132819573,9588847,13993567,222094,2962482,11785,131348593225000000,5,40,505,0,44600,0,54804472,28,0,7,0,5,0,16,12,13,134505,1535156250,19218750,1515937500,131348594866714098,0,0,0,0,0,0,0,213,62,5,0,151
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,35,0,0,0,0,5,143,190,0,4,0,0,0,0,0,0,417953,586588160,544444416,2147016704,10975,171951,30549,213451,70768,66672,15956,4096,80625664,19177472,16,49516,38385,33555156,21467136,22622208,80281600,7172096,2416640,5550080,5996544,21467136,132921,572840,559,0,393289728,38166528,55873536,137424896,0,34997,307,52,255,1000000000,10775,52,0,0,0,0,24222,119,136,0,0,0,0,0,465237000,465237000,462026000,462026000,3211000,3211000,465237000,462026000,3211000,12375,10994,1381,218557440,190254080,28303360,218557440,190254080,28303360,1401076000,105,1571250000,32031250,1539218750,3229130752,2793152512,201720,482082816,370647040,351449088,283193344,283193344,492,0,131348594877495348,0,0,4312192,603836,9837,9541,1782,11323,74239,132057779,9464468,141522247,4263587,152899584,1482031250,52343750,115000000,39922,625000,3750000,20983,0,1482031250,1415292402,0,0,19972,0,0,9640,2146,219781,132819573,9589986,14183319,224058,2988894,11786,131348593225000000,5,38,492,0,44600,0,54804472,28,0,7,0,5,0,16,12,13,135700,1544687500,19218750,1525468750,131348594877651598,0,0,0,0,0,0,0,213,62,5,0,151
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,35,0,0,0,0,5,143,190,0,4,0,0,0,0,0,0,418244,587149312,543354880,2147016704,10976,171961,30549,213857,70768,66672,15956,4096,80592896,19173376,16,49485,38381,33555156,21340160,22622208,80273408,7172096,2416640,5550080,5996544,21340160,132655,572604,559,0,392949760,38162432,55873536,137523200,0,34997,307,52,255,1000000000,10775,52,0,0,0,0,24222,119,136,0,0,0,0,0,465242000,465242000,462026000,462026000,3216000,3216000,465242000,462026000,3216000,12378,10994,1384,218586112,190254080,28332032,218586112,190254080,28332032,1412161000,105,1582343750,32187500,1550156250,3229130752,2792628224,202166,482287616,370438144,351834112,282595328,282595328,491,0,131348594888432848,0,0,4311200,603596,9838,9541,1783,11324,76717,132057779,9465606,141523385,4446533,152662016,1492031250,52500000,115937500,40009,625000,3750000,20988,0,1492031250,1425103934,0,0,20037,0,0,9640,2147,222259,132819573,9591124,14366265,225619,3010527,11787,131348593225000000,4,38,491,0,44600,0,54804472,28,0,7,0,5,0,16,12,13,136819,1554687500,19375000,1535312500,131348594888745348,0,0,0,0,0,0,0,213,62,5,0,151
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,35,0,0,0,0,5,143,190,0,4,0,0,0,0,0,0,418624,585965568,545591296,2147016704,10976,171962,30550,214110,70768,66672,15956,4096,80592896,19173376,16,49489,38381,33555156,21340160,22622208,80273408,7172096,2416640,5550080,5996544,21340160,133201,572232,558,0,392564736,38162432,55873536,137527296,0,34997,307,52,255,1000000000,10775,52,0,0,0,0,24222,119,136,0,0,0,0,0,465252000,465252000,462026000,462026000,3226000,3226000,465252000,462026000,3226000,12383,10994,1389,218608128,190254080,28354048,218608128,190254080,28354048,1423239000,107,1593437500,32656250,1560781250,3229130752,2791055360,202388,482754560,371269632,352595968,284209152,284209152,489,0,131348594899526598,0,0,4311200,603116,9837,9541,1784,11325,79135,132057779,9466744,141524523,4626307,153493504,1502031250,52968750,116562500,40094,625000,3750000,20992,0,1502031250,1435040813,0,0,20101,0,0,9640,2148,224677,132819573,9592262,14546039,227069,3029395,11788,131348593225000000,7,38,489,0,44600,0,54804472,28,0,7,0,5,0,16,12,13,137936,1564687500,19375000,1545312500,131348594899839098,0,0,0,0,0,0,0,213,62,5,0,151
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,35,0,0,0,0,5,143,190,0,4,0,0,0,0,0,0,418858,586330112,543559680,2147016704,10976,171965,30551,214340,70768,66672,15956,4096,80580608,19202048,16,49475,38384,33555156,21344256,22622208,80265216,7172096,2416640,5550080,5996544,21344256,132705,572588,559,0,392933376,38162432,55873536,137523200,0,35103,309,53,256,1000000000,10839,53,0,0,0,0,24264,120,136,0,0,0,0,0,465252000,465252000,462026000,462026000,3226000,3226000,465252000,462026000,3226000,12383,10994,1389,218608128,190254080,28354048,218608128,190254080,28354048,1434503000,107,1604687500,33125000,1571562500,3229130752,2790006784,202620,482885632,370368512,352845824,282419200,282419200,487,0,131348594910776598,0,0,4310208,602636,9832,9544,1787,11331,81730,132057799,9467902,141525701,4814986,152584192,1512031250,53437500,117343750,40185,625000,3750000,21001,0,1512031250,1444851083,0,0,20170,0,0,9643,2151,227272,132819593,9593420,14734718,228833,3055588,11794,131348593225000000,3,38,487,0,44600,0,54804472,28,0,7,0,5,0,16,12,13,139129,1574843750,19531250,1555312500,131348594911089098,0,0,0,0,0,0,0,213,62,5,0,151
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,35,0,0,0,0,5,143,190,0,4,0,0,0,0,0,0,419122,585859072,545767424,2147016704,10977,171967,30551,214602,70768,66672,15956,4096,80580608,19189760,16,49478,38381,33555156,21340160,22622208,80265216,7172096,2416640,5550080,5996544,21340160,133244,572128,558,0,392458240,38191104,55873536,137527296,0,35103,309,53,256,1000000000,10839,53,0,0,0,0,24264,120,136,0,0,0,0,0,465254000,465254000,462026000,462026000,3228000,3228000,465254000,462026000,3228000,12384,10994,1390,218611712,190254080,28357632,218611712,190254080,28357632,1445608000,107,1615781250,33437500,1582343750,3229130752,2790006784,202852,482885632,371273728,352845824,284225536,284225536,487,0,131348594922026598,0,0,4310208,602636,9838,9544,1788,11332,84150,132057799,9469040,141526839,4994792,153489408,1522031250,53593750,118281250,40265,625000,3750000,21006,0,1522031250,1454773547,0,0,20235,0,0,9643,2152,229692,132819593,9594558,14914524,230283,3074455,11795,131348593225000000,6,38,487,0,44600,0,54804472,28,0,7,0,5,0,16,12,13,140282,1584843750,19218750,1565625000,131348594922182848,0,0,0,0,0,0,0,213,62,5,0,151
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,35,0,0,0,0,5,143,191,0,4,0,0,0,0,0,0,419328,586317824,543731712,2147016704,10977,171969,30552,214805,70768,66672,15956,4096,80584704,19206144,16,49498,38384,33555156,21344256,22622208,80265216,7172096,2416640,5550080,5996544,21344256,132747,572576,559,0,392925184,38195200,55873536,137519104,0,35179,310,53,257,1000000000,10839,53,0,0,0,0,24340,121,136,0,0,0,0,0,465263000,465263000,462026000,462026000,3237000,3237000,465263000,462026000,3237000,12386,10994,1392,218632192,190254080,28378112,218632192,190254080,28378112,1456823000,107,1627031250,33437500,1593593750,3229130752,2790006784,203057,482885632,370487296,352845824,282660864,282660864,487,0,131348594933120348,0,0,4310400,603468,9846,9544,1789,11333,86715,132057799,9470178,141527977,5182754,152698880,1532031250,53750000,119375000,40350,625000,3750000,21011,0,1532031250,1464609210,0,0,20301,0,0,9643,2153,232257,132819593,9595696,15102486,231970,3099575,11796,131348593225000000,5,38,487,0,44600,0,54804472,28,0,7,0,5,0,16,12,13,141634,1595000000,19531250,1575468750,131348594933432848,0,0,0,0,0,0,0,214,62,5,0,152
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,35,0,0,0,0,5,143,192,0,4,0,0,0,0,0,0,419549,587362304,542814208,2147016704,10977,171970,30553,215024,70768,66672,15956,4096,80601088,19193856,16,49499,38382,33555156,21340160,22622208,80269312,7172096,2416640,5550080,5996544,21340160,132523,573596,560,0,393965568,38191104,55873536,137523200,0,35255,311,53,258,1000000000,10839,53,0,0,0,0,24416,122,136,0,0,0,0,0,465265000,465265000,462026000,462026000,3239000,3239000,465265000,462026000,3239000,12387,10994,1393,218637824,190254080,28383744,218637824,190254080,28383744,1468009000,107,1638281250,33906250,1604375000,3229130752,2790006784,203276,482885632,369766400,352854016,281235456,281235456,487,0,131348594944370348,0,0,4310400,603468,9852,9544,1790,11334,89187,132057799,9471316,141529115,5365236,151973888,1542031250,54062500,120156250,40428,625000,3750000,21014,0,1542031250,1474561059,0,0,20365,0,0,9643,2154,234729,132819593,9596834,15284968,233499,3121167,11797,131348593225000000,8,38,487,0,44600,0,54804472,28,0,7,0,5,0,16,12,13,142848,1605000000,19531250,1585468750,131348594944526598,0,0,0,0,0,0,0,215,62,5,0,153
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,35,0,0,0,0,5,143,193,0,4,0,0,0,0,0,0,419779,586305536,543862784,2147016704,10977,171970,30554,215253,70768,66672,15956,4096,80576512,19173376,16,49485,38351,33555156,21344256,22622208,80265216,7172096,2416640,5550080,5996544,21344256,132779,572564,559,0,392912896,38191104,55873536,137519104,0,35331,312,53,259,1000000000,10839,53,0,0,0,0,24492,123,136,0,0,0,0,0,465265000,465265000,462026000,462026000,3239000,3239000,465265000,462026000,3239000,12387,10994,1393,218637824,190254080,28383744,218637824,190254080,28383744,1479008000,107,1649218750,34375000,1614843750,3229130752,2790006784,203530,482885632,370601984,352854016,282808320,282808320,487,0,131348594955307848,0,0,4310400,603468,9853,9546,1793,11339,91733,132057819,9472474,141530293,5550958,152825856,1552031250,54687500,120625000,40510,625000,3750000,21020,0,1552031250,1484288369,0,0,20433,0,0,9645,2157,237275,132819613,9597992,15470690,235154,3144604,11802,131348593225000000,9,38,487,0,44600,0,54804472,28,0,7,0,5,0,16,12,13,144180,1615000000,19687500,1595312500,131348594955620348,0,0,0,0,0,0,0,216,62,5,0,154
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,35,0,0,0,0,5,143,193,0,4,0,0,0,0,0,0,420019,587100160,542777344,2147016704,10978,171972,30554,215491,70768,66672,15956,4096,80576512,19173376,16,49486,38346,33555156,21340160,22622208,80265216,7172096,2416640,5550080,5996544,21340160,132514,573340,559,0,393703424,38191104,55873536,137523200,0,35331,312,53,259,1000000000,10839,53,0,0,0,0,24492,123,136,0,0,0,0,0,465267000,465267000,462026000,462026000,3241000,3241000,465267000,462026000,3241000,12388,10994,1394,218641920,190254080,28387840,218641920,190254080,28387840,1490098000,107,1660312500,34687500,1625625000,3229130752,2787385344,203745,482992128,369790976,352976896,281255936,281255936,485,0,131348594966401598,0,0,4310400,602748,9854,9546,1794,11340,94151,132057819,9473612,141531431,5730516,152023040,1562031250,55000000,121406250,40590,625000,3750000,21022,0,1562031250,1494229747,0,0,20497,0,0,9645,2158,239693,132819613,9599130,15650248,236599,3163469,11803,131348593225000000,8,38,485,0,44600,0,54804472,28,0,7,0,5,0,16,12,13,145284,1625000000,19531250,1605468750,131348594966714098,0,0,0,0,0,0,0,216,62,5,0,154
