ICMP Messages/sec,ICMP Messages Received/sec,ICMP Messages Received Errors,ICMP Received Dest. Unreachable,ICMP Received Time Exceeded,ICMP Received Parameter Problem,ICMP Received Source Quench,ICMP Received Redirect/sec,ICMP Received Echo/sec,ICMP Received Echo Reply/sec,ICMP Received Timestamp/sec,ICMP Received Timestamp Reply/sec,ICMP Received Address Mask,ICMP Received Address Mask Reply,ICMP Messages Sent/sec,ICMP Messages Outbound Errors,ICMP Sent Destination Unreachable,ICMP Sent Time Exceeded,ICMP Sent Parameter Problem,ICMP Sent Source Quench,ICMP Sent Redirect/sec,ICMP Sent Echo/sec,ICMP Sent Echo Reply/sec,ICMP Sent Timestamp/sec,ICMP Sent Timestamp Reply/sec,ICMP Sent Address Mask,ICMP Sent Address Mask Reply,IPv4 Datagrams/sec,IPv4 Datagrams Received/sec,IPv4 Datagrams Received Header Errors,IPv4 Datagrams Received Address Errors,IPv4 Datagrams Forwarded/sec,IPv4 Datagrams Received Unknown Protocol,IPv4 Datagrams Received Discarded,IPv4 Datagrams Received Delivered/sec,IPv4 Datagrams Sent/sec,IPv4 Datagrams Outbound Discarded,IPv4 Datagrams Outbound No Route,IPv4 Fragments Received/sec,IPv4 Fragments Re-assembled/sec,IPv4 Fragment Re-assembly Failures,IPv4 Fragmented Datagrams/sec,IPv4 Fragmentation Failures,IPv4 Fragments Created/sec,Memory Page Faults/sec,Memory Available Bytes,Memory Committed Bytes,Memory Commit Limit,Memory Write Copies/sec,Memory Transition Faults/sec,Memory Cache Faults/sec,Memory Demand Zero Faults/sec,Memory Pages/sec,Memory Pages Input/sec,Memory Page Reads/sec,Memory Pages Output/sec,Memory Pool Paged Bytes,Memory Pool Nonpaged Bytes,Memory Page Writes/sec,Memory Pool Paged Allocs,Memory Pool Nonpaged Allocs,Memory Free System Page Table Entries,Memory Cache Bytes,Memory Cache Bytes Peak,Memory Pool Paged Resident Bytes,Memory System Code Total Bytes,Memory System Code Resident Bytes,Memory System Driver Total Bytes,Memory System Driver Resident Bytes,Memory System Cache Resident Bytes,Memory % Committed Bytes In Use,Memory Available KBytes,Memory Available MBytes,Memory Transition Pages RePurposed/sec,Memory Free & Zero Page List Bytes,Memory Modified Page List Bytes,Memory Standby Cache Reserve Bytes,Memory Standby Cache Normal Priority Bytes,Memory Standby Cache Core Bytes,Network Interface Bytes Total/sec,Network Interface Packets/sec,Network Interface Packets Received/sec,Network Interface Packets Sent/sec,Network Interface Current Bandwidth,Network Interface Bytes Received/sec,Network Interface Packets Received Unicast/sec,Network Interface Packets Received Non-Unicast/sec,Network Interface Packets Received Discarded,Network Interface Packets Received Errors,Network Interface Packets Received Unknown,Network Interface Bytes Sent/sec,Network Interface Packets Sent Unicast/sec,Network Interface Packets Sent Non-Unicast/sec,Network Interface Packets Outbound Discarded,Network Interface Packets Outbound Errors,Network Interface Output Queue Length,Network Interface Offloaded Connections,PhysicalDisk Current Disk Queue Length,PhysicalDisk % Disk Time,PhysicalDisk Avg. Disk Queue Length,PhysicalDisk % Disk Read Time,PhysicalDisk Avg. Disk Read Queue Length,PhysicalDisk % Disk Write Time,PhysicalDisk Avg. Disk Write Queue Length,PhysicalDisk Avg. Disk sec/Transfer,PhysicalDisk Avg. Disk sec/Read,PhysicalDisk Avg. Disk sec/Write,PhysicalDisk Disk Transfers/sec,PhysicalDisk Disk Reads/sec,PhysicalDisk Disk Writes/sec,PhysicalDisk Disk Bytes/sec,PhysicalDisk Disk Read Bytes/sec,PhysicalDisk Disk Write Bytes/sec,PhysicalDisk Avg. Disk Bytes/Transfer,PhysicalDisk Avg. Disk Bytes/Read,PhysicalDisk Avg. Disk Bytes/Write,PhysicalDisk % Idle Time,PhysicalDisk Split IO/Sec,Process % Processor Time,Process % User Time,Process % Privileged Time,Process Virtual Bytes Peak,Process Virtual Bytes,Process Page Faults/sec,Process Working Set Peak,Process Working Set,Process Page File Bytes Peak,Process Page File Bytes,Process Private Bytes,Process Thread Count,Process Priority Base,Process Elapsed Time,Process ID Process,Process Creating Process ID,Process Pool Paged Bytes,Process Pool Nonpaged Bytes,Process Handle Count,Process IO Read Operations/sec,Process IO Write Operations/sec,Process IO Data Operations/sec,Process IO Other Operations/sec,Process IO Read Bytes/sec,Process IO Write Bytes/sec,Process IO Data Bytes/sec,Process IO Other Bytes/sec,Process Working Set - Private,Processor % Processor Time,Processor % User Time,Processor % Privileged Time,Processor Interrupts/sec,Processor % DPC Time,Processor % Interrupt Time,Processor DPCs Queued/sec,Processor DPC Rate,Processor % Idle Time,Processor % C1 Time,Processor % C2 Time,Processor % C3 Time,Processor C1 Transitions/sec,Processor C2 Transitions/sec,Processor C3 Transitions/sec,System File Read Operations/sec,System File Write Operations/sec,System File Control Operations/sec,System File Read Bytes/sec,System File Write Bytes/sec,System File Control Bytes/sec,System Context Switches/sec,System System Calls/sec,System File Data Operations/sec,System System Up Time,System Processor Queue Length,System Processes,System Threads,System Alignment Fixups/sec,System Exception Dispatches/sec,System Floating Emulations/sec,System % Registry Quota In Use,TCPv4 Segments/sec,TCPv4 Connections Established,TCPv4 Connections Active,TCPv4 Connections Passive,TCPv4 Connection Failures,TCPv4 Connections Reset,TCPv4 Segments Received/sec,TCPv4 Segments Sent/sec,TCPv4 Segments Retransmitted/sec,Thread Context Switches/sec,Thread % Processor Time,Thread % User Time,Thread % Privileged Time,Thread Elapsed Time,Thread Priority Current,Thread Priority Base,Thread Start Address,Thread Thread State,Thread Thread Wait Reason,Thread ID Process,Thread ID Thread,UDPv4 Datagrams/sec,UDPv4 Datagrams Received/sec,UDPv4 Datagrams No Port/sec,UDPv4 Datagrams Received Errors,UDPv4 Datagrams Sent/sec
7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2664,43,0,0,0,7,5,474,2621,0,6,0,0,0,0,0,0,553254,536420352,634572800,2147016704,15343,201665,31745,321062,62088,62088,19268,0,85295104,23674880,0,62766,49007,33555668,27779072,27951104,84922368,7172096,2428928,5206016,5771264,27779072,154925,523848,511,0,376225792,21823488,22048768,138145792,0,217547,2749,67,2682,1000000000,26126,66,1,0,0,0,191421,2233,449,0,0,0,0,0,1060174000,1060174000,1023581000,1023581000,36593000,36593000,1060174000,1023581000,36593000,17522,14944,2578,195648000,175543296,20104704,195648000,175543296,20104704,2587065000,134,2849062500,489375000,2359687500,4973314048,4783992832,193954,476581888,405741568,393134080,331706368,331706368,1995,0,131348603659189837,0,0,4907152,1172396,12638,220094105,3159,220097264,131642,110320528,15853856,126174384,12408428,176508928,505312500,565468750,2167187500,88046,1093750,10312500,30117,0,505312500,406655805,0,0,11075,0,0,220094562,3300,328181,112144466,16524074,22869920,334470,227428085,220097862,131348600415000000,14,46,1994,0,456,0,51271228,1167,0,1075,0,1170,1,61,1106,1082,187509,2822343750,478125000,2344375000,131348603660596087,0,0,0,0,0,0,0,774,340,5,0,434
7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2665,43,0,0,0,7,5,475,2622,0,6,0,0,0,0,0,0,556455,535478272,636571648,2147016704,15437,202928,31767,322972,62135,62135,19293,0,85340160,23609344,0,62886,49115,33555668,27713536,27951104,84975616,7172096,2428928,5206016,5771264,27713536,155413,522928,510,0,375373824,22323200,22048768,138055680,0,217639,2750,67,2683,1000000000,26126,66,1,0,0,0,191513,2233,450,0,0,0,0,0,1061721000,1061721000,1025126000,1025126000,36595000,36595000,1061721000,1025126000,36595000,17548,14969,2579,195847680,175735808,20111872,195847680,175735808,20111872,2596865000,134,2860468750,492343750,2368125000,5029756928,4845056000,197118,482791424,410062848,396115968,331911168,331911168,2002,0,131348603670439837,0,0,5023616,1183444,12823,220845590,3160,220848750,134318,110320810,15855049,126175859,12615260,176517120,505312500,567968750,2175468750,88156,1093750,10312500,30143,0,505312500,406655805,0,0,11075,0,0,220846047,3301,330901,112144748,16525267,23076848,336326,228253082,220896343,131348600415000000,17,48,2004,0,456,0,51271228,1167,0,1075,0,1170,1,61,1106,1082,189020,2831093750,479218750,2351875000,131348603671846087,0,0,0,0,0,0,0,778,342,5,0,436
7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2667,43,0,0,0,7,5,477,2624,0,6,0,0,0,0,0,0,559131,536973312,633298944,2147016704,15494,203739,31789,324818,62161,62161,19312,0,85364736,23662592,0,62926,49207,33555668,27774976,27951104,85000192,7172096,2428928,5206016,5771264,27774976,154614,524388,512,0,376782848,22581248,22233088,137957376,0,217823,2752,67,2685,1000000000,26126,66,1,0,0,0,191697,2233,452,0,0,0,0,0,1062272000,1062272000,1025677000,1025677000,36595000,36595000,1062272000,1025677000,36595000,17567,14988,2579,195954176,175842304,20111872,195954176,175842304,20111872,2607790000,134,2871875000,495156250,2376718750,4962799616,4778876928,197315,476758016,404238336,394014720,330706944,330706944,2002,0,131348603682002337,0,0,4876288,1168964,12730,221669601,3162,221672763,136729,110320822,15856254,126177076,12814404,175235072,505312500,571093750,2184218750,88277,1093750,10312500,30167,0,505312500,406655805,0,0,11075,0,0,221701110,3303,333472,112144760,16526472,23280866,338044,229085752,221704413,131348600415000000,15,45,2002,0,456,0,51271228,1167,0,1075,0,1171,1,61,1106,1082,190250,2839843750,481718750,2358125000,131348603683096087,0,0,0,0,0,0,0,780,343,5,0,437
7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2668,43,0,0,0,7,5,478,2625,0,6,0,0,0,0,0,0,561314,534073344,635277312,2147016704,15507,203819,31810,327025,62181,62181,19332,0,85438464,23699456,0,63019,49234,33555668,27832320,27951104,85061632,7172096,2428928,5206016,5771264,27832320,155643,519732,507,0,371765248,22851584,22233088,137977856,0,217915,2753,67,2686,1000000000,26126,66,1,0,0,0,191789,2233,453,0,0,0,0,0,1063096000,1063096000,1026497000,1026497000,36599000,36599000,1063096000,1026497000,36599000,17589,15008,2581,196040704,175924224,20116480,196040704,175924224,20116480,2618524000,136,2883437500,497968750,2385468750,4976992256,4792545280,200046,480792576,409014272,397340672,335790080,335790080,2000,0,131348603693408587,0,0,4904040,1168964,12736,222544565,3163,222547728,139323,110320822,15857447,126178269,13019936,179736576,505312500,573906250,2193125000,88384,1093750,10312500,30190,0,505312500,406655805,0,0,11075,0,0,222586837,3304,336080,112144760,16527665,23490782,339831,229997905,222590141,131348600415000000,15,45,1999,0,456,0,51271228,1167,0,1075,0,1171,1,61,1106,1082,191209,2849218750,483593750,2365781250,131348603694814837,0,0,0,0,0,0,0,782,344,5,0,438
7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2670,43,0,0,0,7,5,480,2627,0,6,0,0,0,0,0,0,563614,531136512,638550016,2147016704,15508,203822,31895,329112,62202,62202,19353,0,85471232,23650304,0,63141,49260,33555156,28143616,28147712,85094400,7172096,2428928,5206016,5771264,28143616,155040,520348,508,0,372592640,23097344,22233088,138010624,0,218099,2755,67,2688,1000000000,26126,66,1,0,0,0,191973,2233,455,0,0,0,0,0,1063787000,1063787000,1027184000,1027184000,36603000,36603000,1063787000,1027184000,36603000,17610,15028,2582,196125184,176006144,20119040,196125184,176006144,20119040,2629435000,136,2895000000,500156250,2394843750,4976992256,4790972416,201724,481329152,406970368,398262272,332722176,332722176,1997,0,131348603705127337,0,0,4904040,1168292,12731,223438928,3166,223442094,141881,110320842,15858660,126179502,13227950,177737728,505312500,575781250,2202812500,88496,1093750,10312500,30216,0,505312500,406655805,0,0,11075,0,0,223487157,3307,338625,112144780,16528878,23694412,341396,230918280,223490464,131348600415000000,15,45,1997,0,456,0,51271228,1167,0,1075,0,1172,1,61,1106,1082,192540,2858593750,485000000,2373750000,131348603706533587,0,0,0,0,0,0,0,786,346,5,0,440
7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2671,43,0,0,0,7,5,481,2628,0,6,0,0,0,0,0,0,565871,531693568,637083648,2147016704,15513,204462,32033,330674,62368,62368,19407,0,85577728,23703552,0,63173,49309,33555668,28200960,28655616,85200896,7172096,2428928,5550080,6078464,28200960,155538,519232,507,0,371142656,23408640,22319104,138231808,0,218191,2756,67,2689,1000000000,26126,66,1,0,0,0,192065,2233,456,0,0,0,0,1,1070954000,1070954000,1034320000,1034320000,36634000,36634000,1070954000,1034320000,36634000,17671,15086,2585,196918784,176734208,20184576,196918784,176734208,20184576,2634185000,136,2906406250,503281250,2403125000,4980846592,4795351040,203700,483356672,407953408,398667776,333697024,333697024,2000,0,131348603716533587,0,0,4911536,1169132,12780,224265826,3167,224268993,144476,110320842,15859853,126180695,13439108,178089984,505312500,578906250,2210625000,88652,1093750,10312500,30285,2,505312500,406655805,0,0,11075,0,0,224266284,3308,341227,112144780,16530071,23905588,343242,231723325,224269592,131348600415000000,17,45,2000,0,779,0,51271228,1167,0,1075,0,1172,1,61,1106,1082,193960,2866875000,487343750,2379687500,131348603717471087,0,0,0,0,0,0,0,788,347,5,0,441
7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2673,43,0,0,0,7,5,483,2630,0,6,0,0,0,0,0,0,568420,529047552,639139840,2147016704,15591,205145,32074,332460,62652,62652,19491,0,85704704,23756800,0,63310,49417,33555668,28282880,28655616,85327872,7172096,2428928,5550080,6103040,28282880,156040,516648,504,0,368373760,23552000,22736896,137936896,0,218375,2758,67,2691,1000000000,26126,66,1,0,0,0,192249,2233,458,0,0,0,0,1,1083113000,1083113000,1046476000,1046476000,36637000,36637000,1083113000,1046476000,36637000,17749,15163,2586,197952000,177762304,20189696,197952000,177762304,20189696,2635897000,138,2919687500,506562500,2413125000,5017878528,4831961088,206077,486047744,410902528,399499264,335437824,335437824,2000,0,131348603730127337,0,0,4984304,1173052,12828,225266909,3168,225270077,147188,110344972,15861046,126206018,13655044,178987008,505312500,582343750,2220625000,88834,1093750,10312500,30362,0,505312500,406655805,0,0,11075,0,0,225267366,3309,343931,112168910,16531264,24121506,344988,232750367,225270675,131348600415000000,19,45,2000,0,6012,0,51271228,1167,0,1075,0,1173,1,61,1106,1082,195343,2877812500,489843750,2388125000,131348603730908587,0,0,0,0,0,0,0,792,349,5,0,443
7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2674,43,0,0,0,7,5,484,2631,0,6,0,0,0,0,0,0,570746,526647296,643330048,2147016704,15607,205557,32124,334253,63208,63208,19611,0,85778432,23793664,0,63397,49512,33555156,28426240,28655616,85405696,7172096,2428928,5550080,6103040,28426240,157063,514304,502,0,364933120,23605248,22757376,138956800,0,218467,2759,67,2692,1000000000,26126,66,1,0,0,0,192341,2233,459,0,0,0,0,2,1093681000,1093681000,1057044000,1057044000,36637000,36637000,1093681000,1057044000,36637000,17885,15299,2586,200321536,180131840,20189696,200321536,180131840,20189696,2638440000,138,2932343750,508125000,2424218750,5028626432,4842708992,208439,489127936,414392320,400302080,337149952,337223680,2002,0,131348603742471087,0,0,5001616,1175332,12880,226241938,3170,226245108,149923,110480144,15862244,126350580,13873542,180330496,505312500,583906250,2231562500,89097,1093750,10312500,30504,3,505312500,406655805,0,0,11075,0,0,226242398,3311,346666,112324562,16532462,24340020,346986,233750326,226245711,131348600415000000,17,45,2002,0,6012,0,51271228,1167,0,1075,0,1174,1,61,1106,1082,197004,2888125000,491250000,2397031250,131348603743408587,0,0,0,0,0,0,0,794,350,5,0,444
7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2676,43,0,0,0,7,5,486,2633,0,6,0,0,0,0,0,0,573041,526077952,643100672,2147016704,15656,205939,32172,336096,63395,63395,19681,0,85868544,23773184,0,63492,49563,33555156,28573696,28655616,85508096,7172096,2428928,5550080,6103040,28573696,157007,513748,501,0,364224512,23617536,22761472,139091968,0,218651,2761,67,2694,1000000000,26126,66,1,0,0,0,192525,2233,461,0,0,0,0,0,1102580000,1102580000,1065787000,1065787000,36793000,36793000,1102580000,1065787000,36793000,17962,15357,2605,201094656,180814336,20280320,201094656,180814336,20280320,2647579000,138,2945468750,511093750,2434375000,5050400768,4864483328,210540,491053056,414720000,402120704,336347136,336347136,2003,0,131348603755439837,0,0,5030512,1177924,12904,227270495,3175,227273670,152596,110500644,15866178,126366822,14083654,179474432,505312500,586718750,2241718750,89279,1093750,10312500,30572,0,505312500,406655805,0,0,11075,0,0,227270952,3316,349339,112324582,16536396,24550116,348823,234849295,227319862,131348600415000000,16,45,2002,0,6012,0,51271228,1167,0,1075,0,1174,1,61,1106,1082,198353,2899218750,493437500,2405937500,131348603756689837,0,0,0,0,0,0,0,798,352,5,0,446
7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2677,43,0,0,0,7,5,487,2634,0,6,0,0,0,0,0,0,575922,524230656,646582272,2147016704,15743,206969,32194,337925,63416,63416,19702,0,85917696,23805952,0,63602,49652,33555156,28643328,28655616,85565440,7172096,2428928,5550080,6103040,28643328,157857,511944,499,0,362385408,23724032,22769664,139075584,0,218743,2762,67,2695,1000000000,26126,66,1,0,0,0,192617,2233,462,0,0,0,0,0,1103361000,1103361000,1066533000,1066533000,36828000,36828000,1103361000,1066533000,36828000,17990,15378,2612,201213952,180900352,20313600,201213952,180900352,20313600,2658202000,140,2956875000,512812500,2444062500,5084774400,4900765696,213371,495542272,419487744,403685376,338636800,338636800,2007,0,131348603766846087,0,0,5109880,1186508,13024,228133666,3176,228136842,155334,110500644,15867372,126368016,14295398,181026816,505312500,588437500,2251406250,89399,1093750,10312500,30599,0,505312500,406655805,0,0,11075,0,0,228165706,3317,352084,112324582,16537590,24761980,350567,235722747,228169023,131348600415000000,17,46,2007,0,6012,0,51271228,1167,0,1075,0,1175,1,61,1106,1082,199745,2908281250,495156250,2413281250,131348603768096087,0,0,0,0,0,0,0,802,354,5,0,448
