ICMP Messages/sec,ICMP Messages Received/sec,ICMP Messages Received Errors,ICMP Received Dest. Unreachable,ICMP Received Time Exceeded,ICMP Received Parameter Problem,ICMP Received Source Quench,ICMP Received Redirect/sec,ICMP Received Echo/sec,ICMP Received Echo Reply/sec,ICMP Received Timestamp/sec,ICMP Received Timestamp Reply/sec,ICMP Received Address Mask,ICMP Received Address Mask Reply,ICMP Messages Sent/sec,ICMP Messages Outbound Errors,ICMP Sent Destination Unreachable,ICMP Sent Time Exceeded,ICMP Sent Parameter Problem,ICMP Sent Source Quench,ICMP Sent Redirect/sec,ICMP Sent Echo/sec,ICMP Sent Echo Reply/sec,ICMP Sent Timestamp/sec,ICMP Sent Timestamp Reply/sec,ICMP Sent Address Mask,ICMP Sent Address Mask Reply,IPv4 Datagrams/sec,IPv4 Datagrams Received/sec,IPv4 Datagrams Received Header Errors,IPv4 Datagrams Received Address Errors,IPv4 Datagrams Forwarded/sec,IPv4 Datagrams Received Unknown Protocol,IPv4 Datagrams Received Discarded,IPv4 Datagrams Received Delivered/sec,IPv4 Datagrams Sent/sec,IPv4 Datagrams Outbound Discarded,IPv4 Datagrams Outbound No Route,IPv4 Fragments Received/sec,IPv4 Fragments Re-assembled/sec,IPv4 Fragment Re-assembly Failures,IPv4 Fragmented Datagrams/sec,IPv4 Fragmentation Failures,IPv4 Fragments Created/sec,Memory Page Faults/sec,Memory Available Bytes,Memory Committed Bytes,Memory Commit Limit,Memory Write Copies/sec,Memory Transition Faults/sec,Memory Cache Faults/sec,Memory Demand Zero Faults/sec,Memory Pages/sec,Memory Pages Input/sec,Memory Page Reads/sec,Memory Pages Output/sec,Memory Pool Paged Bytes,Memory Pool Nonpaged Bytes,Memory Page Writes/sec,Memory Pool Paged Allocs,Memory Pool Nonpaged Allocs,Memory Free System Page Table Entries,Memory Cache Bytes,Memory Cache Bytes Peak,Memory Pool Paged Resident Bytes,Memory System Code Total Bytes,Memory System Code Resident Bytes,Memory System Driver Total Bytes,Memory System Driver Resident Bytes,Memory System Cache Resident Bytes,Memory % Committed Bytes In Use,Memory Available KBytes,Memory Available MBytes,Memory Transition Pages RePurposed/sec,Memory Free & Zero Page List Bytes,Memory Modified Page List Bytes,Memory Standby Cache Reserve Bytes,Memory Standby Cache Normal Priority Bytes,Memory Standby Cache Core Bytes,Network Interface Bytes Total/sec,Network Interface Packets/sec,Network Interface Packets Received/sec,Network Interface Packets Sent/sec,Network Interface Current Bandwidth,Network Interface Bytes Received/sec,Network Interface Packets Received Unicast/sec,Network Interface Packets Received Non-Unicast/sec,Network Interface Packets Received Discarded,Network Interface Packets Received Errors,Network Interface Packets Received Unknown,Network Interface Bytes Sent/sec,Network Interface Packets Sent Unicast/sec,Network Interface Packets Sent Non-Unicast/sec,Network Interface Packets Outbound Discarded,Network Interface Packets Outbound Errors,Network Interface Output Queue Length,Network Interface Offloaded Connections,PhysicalDisk Current Disk Queue Length,PhysicalDisk % Disk Time,PhysicalDisk Avg. Disk Queue Length,PhysicalDisk % Disk Read Time,PhysicalDisk Avg. Disk Read Queue Length,PhysicalDisk % Disk Write Time,PhysicalDisk Avg. Disk Write Queue Length,PhysicalDisk Avg. Disk sec/Transfer,PhysicalDisk Avg. Disk sec/Read,PhysicalDisk Avg. Disk sec/Write,PhysicalDisk Disk Transfers/sec,PhysicalDisk Disk Reads/sec,PhysicalDisk Disk Writes/sec,PhysicalDisk Disk Bytes/sec,PhysicalDisk Disk Read Bytes/sec,PhysicalDisk Disk Write Bytes/sec,PhysicalDisk Avg. Disk Bytes/Transfer,PhysicalDisk Avg. Disk Bytes/Read,PhysicalDisk Avg. Disk Bytes/Write,PhysicalDisk % Idle Time,PhysicalDisk Split IO/Sec,Process % Processor Time,Process % User Time,Process % Privileged Time,Process Virtual Bytes Peak,Process Virtual Bytes,Process Page Faults/sec,Process Working Set Peak,Process Working Set,Process Page File Bytes Peak,Process Page File Bytes,Process Private Bytes,Process Thread Count,Process Priority Base,Process Elapsed Time,Process ID Process,Process Creating Process ID,Process Pool Paged Bytes,Process Pool Nonpaged Bytes,Process Handle Count,Process IO Read Operations/sec,Process IO Write Operations/sec,Process IO Data Operations/sec,Process IO Other Operations/sec,Process IO Read Bytes/sec,Process IO Write Bytes/sec,Process IO Data Bytes/sec,Process IO Other Bytes/sec,Process Working Set - Private,Processor % Processor Time,Processor % User Time,Processor % Privileged Time,Processor Interrupts/sec,Processor % DPC Time,Processor % Interrupt Time,Processor DPCs Queued/sec,Processor DPC Rate,Processor % Idle Time,Processor % C1 Time,Processor % C2 Time,Processor % C3 Time,Processor C1 Transitions/sec,Processor C2 Transitions/sec,Processor C3 Transitions/sec,System File Read Operations/sec,System File Write Operations/sec,System File Control Operations/sec,System File Read Bytes/sec,System File Write Bytes/sec,System File Control Bytes/sec,System Context Switches/sec,System System Calls/sec,System File Data Operations/sec,System System Up Time,System Processor Queue Length,System Processes,System Threads,System Alignment Fixups/sec,System Exception Dispatches/sec,System Floating Emulations/sec,System % Registry Quota In Use,TCPv4 Segments/sec,TCPv4 Connections Established,TCPv4 Connections Active,TCPv4 Connections Passive,TCPv4 Connection Failures,TCPv4 Connections Reset,TCPv4 Segments Received/sec,TCPv4 Segments Sent/sec,TCPv4 Segments Retransmitted/sec,Thread Context Switches/sec,Thread % Processor Time,Thread % User Time,Thread % Privileged Time,Thread Elapsed Time,Thread Priority Current,Thread Priority Base,Thread Start Address,Thread Thread State,Thread Thread Wait Reason,Thread ID Process,Thread ID Thread,UDPv4 Datagrams/sec,UDPv4 Datagrams Received/sec,UDPv4 Datagrams No Port/sec,UDPv4 Datagrams Received Errors,UDPv4 Datagrams Sent/sec
2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,170,18,0,0,0,0,7,209,152,0,2,0,0,0,0,0,0,451303,564121600,567246848,2147016704,11335,184285,42964,222291,74178,70144,17654,4034,79958016,19329024,16,49898,38779,33555668,22695936,24657920,79601664,7172096,2433024,5533696,6103040,22695936,138488,550900,537,0,367316992,36507648,57503744,139300864,0,30244,265,32,233,1000000000,5612,32,0,0,0,0,24632,16,217,0,0,0,0,0,1703050000,1703050000,1692883000,1692883000,10167000,10167000,1703050000,1692883000,10167000,14238,12429,1809,235352576,204267520,31085056,235352576,204267520,31085056,1915378000,132,3008906250,49531250,2959375000,3311513600,2890809344,239336,498864128,403132416,362315776,299106304,299106304,473,0,131350044531058374,0,0,4448144,613996,10060,10704,2473,13177,93149,133485452,11109837,144595289,6339487,170237952,2903593750,51875000,66562500,54831,312500,3125000,25035,0,2903593750,2426927958,0,0,31842,0,0,15407,7273,105454,178372375,55228405,6580837,172876,2300561,22680,131350041445000000,1,38,473,0,43266,0,54587744,10,0,1,0,0,0,5,5,0,122635,2976718750,31562500,2945156250,131350044531195488,0,0,0,0,0,0,0,221,94,7,0,127
2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,170,18,0,0,0,0,7,209,152,0,2,0,0,0,0,0,0,451621,563011584,569655296,2147016704,11337,184305,42965,222579,74231,70197,17662,4034,79962112,19329024,16,49899,38775,33555668,22695936,24657920,79601664,7172096,2433024,5533696,6103040,22695936,139076,549816,536,0,366084096,36499456,57503744,139423744,0,30244,265,32,233,1000000000,5612,32,0,0,0,0,24632,16,217,0,0,0,0,0,1703508000,1703508000,1693326000,1693326000,10182000,10182000,1703508000,1693326000,10182000,14254,12437,1817,235634176,204484608,31149568,235634176,204484608,31149568,1925277000,134,3019218750,50000000,2969218750,3311513600,2890809344,239619,499953664,404221952,364146688,300929024,300929024,473,0,131350044540107898,0,0,4448144,613996,10061,10704,2474,13178,95586,133485452,11110982,144596434,6519269,171225088,2912812500,52343750,67187500,54918,312500,3125000,25048,0,2912812500,2436084579,0,0,31910,0,0,15407,7274,107891,178372375,55229550,6760619,174465,2325883,22681,131350041445000000,4,38,473,0,43266,0,54587744,10,0,1,0,0,0,5,5,0,123902,2985781250,31406250,2954531250,131350044540382126,0,0,0,0,0,0,0,221,94,7,0,127
2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,170,18,0,0,0,0,7,209,152,0,2,0,0,0,0,0,0,458629,558465024,576626688,2147016704,11533,186936,43345,226661,74504,70470,17723,4034,80244736,19369984,16,50086,39012,33555670,22319104,24657920,79876096,7172096,2433024,5533696,6103040,22319104,140778,544656,531,0,359669760,36560896,57421824,140636160,0,30244,265,32,233,1000000000,5612,32,0,0,0,0,24632,16,217,0,0,0,0,0,1706676000,1706676000,1696494000,1696494000,10182000,10182000,1706676000,1696494000,10182000,14317,12500,1817,236748800,205599232,31149568,236748800,205599232,31149568,1933801000,134,3030937500,51093750,2979843750,3378860032,2961506304,244098,510963712,415924224,369704960,305684480,305684480,491,0,131350044550391448,0,0,4575136,632612,10328,10907,2476,13383,98527,135148428,11112484,146260912,6729101,174981120,2921562500,53437500,69062500,55086,312500,3125000,25112,0,2921562500,2444656134,0,0,32023,0,0,15610,7276,110832,180035351,55231052,6970451,179957,2417497,22886,131350041445000000,1,40,491,0,43266,0,54587744,10,0,1,0,0,0,5,5,0,129043,2996406250,32031250,2964375000,131350044550528562,0,0,0,0,0,0,0,221,94,7,0,127
2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,170,18,0,0,0,0,7,209,152,0,2,0,0,0,0,0,0,459221,557625344,579026944,2147016704,11533,186941,43345,227125,74768,70478,17723,4290,80244736,19365888,17,50193,39008,33555668,22315008,24657920,79876096,7172096,2433024,5533696,6103040,22315008,141364,544556,531,0,358608896,35627008,58372096,140644352,0,30244,265,32,233,1000000000,5612,32,0,0,0,0,24632,16,217,0,0,0,0,0,1706695000,1706695000,1696494000,1696494000,10201000,10201000,1706695000,1696494000,10201000,14320,12500,1820,237803008,205599232,32203776,237803008,205599232,32203776,1944945000,136,3042031250,51406250,2990625000,3382530048,2961506304,244488,511729664,416800768,370462720,307376128,307376128,491,0,131350044560126542,0,0,4575136,632612,10334,10907,2477,13384,100973,135148428,11113629,146262057,6908909,175853568,2931562500,53750000,70000000,55175,312500,3125000,25118,0,2931562500,2454337347,0,0,32089,0,0,15610,7277,113278,180035351,55232197,7150259,181714,2449073,22887,131350041445000000,3,40,491,0,43266,0,54587744,10,0,1,0,0,0,5,5,0,130478,3006406250,32343750,2974062500,131350044560400770,0,0,0,0,0,0,0,221,94,7,0,127
2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,170,18,0,0,0,0,7,209,152,0,2,0,0,0,0,0,0,459979,557006848,579088384,2147016704,11533,186948,43346,227875,74768,70478,17723,4290,80142336,19369984,17,50195,39010,33555668,22319104,24657920,79802368,7172096,2433024,5533696,6103040,22319104,141379,543952,531,0,358006784,35627008,58372096,140627968,0,30244,265,32,233,1000000000,5612,32,0,0,0,0,24632,16,217,0,0,0,0,0,1706695000,1706695000,1696494000,1696494000,10201000,10201000,1706695000,1696494000,10201000,14320,12500,1820,237803008,205599232,32203776,237803008,205599232,32203776,1956046000,136,3053125000,51718750,3001406250,3382530048,2959409152,244729,512585728,417546240,370778112,307482624,307482624,487,0,131350044569861636,0,0,4575136,631652,10326,10932,2480,13412,103443,135149000,11114795,146263795,7090053,176574464,2941406250,54218750,70781250,55307,312500,3125000,25146,0,2941406250,2464021660,0,0,32177,0,0,15635,7280,115748,180035923,55233363,7331403,183473,2474075,22915,131350041445000000,8,40,487,0,43266,0,54587744,10,0,1,0,0,0,5,5,0,131875,3016406250,32343750,2984062500,131350044570135864,0,0,0,0,0,0,0,221,94,7,0,127
2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,170,18,0,0,0,0,7,209,152,0,2,0,0,0,0,0,0,460268,556482560,578670592,2147016704,11534,186967,43349,228143,74769,70479,17724,4290,80146432,19369984,17,50204,39013,33555670,22327296,24657920,79802368,7172096,2433024,5533696,6111232,22327296,141277,543440,530,0,357490688,35614720,58372096,140619776,0,30244,265,32,233,1000000000,5612,32,0,0,0,0,24632,16,217,0,0,0,0,0,1707076000,1707076000,1696869000,1696869000,10207000,10207000,1707076000,1696869000,10207000,14325,12501,1824,237868032,205603328,32264704,237868032,205603328,32264704,1966744000,136,3064218750,52187500,3012031250,3382530048,2956787712,244973,513462272,418316288,370786304,307109888,307109888,482,0,131350044579404776,0,0,4574144,630452,10315,10932,2484,13416,105938,135149000,11120139,146269139,7271349,177287168,2951406250,54531250,71562500,55398,312500,3125000,25153,0,2951406250,2473706064,0,0,32246,0,0,15635,7284,118243,180035923,55238707,7512699,185280,2505839,22919,131350041445000000,10,40,482,0,43266,0,54587744,10,0,1,0,0,0,5,5,0,129824,3025312500,31718750,2993593750,131350044579651582,0,0,0,0,0,0,0,221,94,7,0,127
2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,170,18,0,0,0,0,7,209,152,0,2,0,0,0,0,0,0,460476,558702592,576507904,2147016704,11534,186968,43350,228348,74777,70487,17725,4290,80146432,19369984,17,50205,39011,33555668,22331392,24657920,79802368,7172096,2433024,5533696,6111232,22331392,140749,545608,532,0,359686144,35618816,58372096,140644352,0,30244,265,32,233,1000000000,5612,32,0,0,0,0,24632,16,217,0,0,0,0,0,1707083000,1707083000,1696876000,1696876000,10207000,10207000,1707083000,1696876000,10207000,14326,12502,1824,237900800,205636096,32264704,237900800,205636096,32264704,1977966000,136,3075468750,52656250,3022812500,3382530048,2956263424,245180,513527808,415981568,370909184,305369088,305369088,481,0,131350044588289792,0,0,4574048,630084,10318,10932,2485,13417,108362,135149000,11121286,146270286,7451133,174948352,2961406250,55000000,72343750,55477,312500,3125000,25155,0,2961406250,2483544575,0,0,32311,0,0,15635,7285,120667,180035923,55239854,7692483,186827,2525090,22920,131350041445000000,9,40,481,0,43269,0,54587744,10,0,1,0,0,0,5,5,0,131034,3035468750,32187500,3003281250,131350044588536598,0,0,0,0,0,0,0,221,94,7,0,127
2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,170,18,0,0,0,0,7,209,152,0,2,0,0,0,0,0,0,460744,559382528,575504384,2147016704,11534,186969,43352,228612,74780,70490,17727,4290,80146432,19369984,17,50207,39011,33555668,22327296,24657920,79802368,7172096,2433024,5533696,6111232,22327296,140504,546272,533,0,360349696,35614720,58372096,140660736,0,30244,265,32,233,1000000000,5612,32,0,0,0,0,24632,16,217,0,0,0,0,0,1707101000,1707101000,1696885000,1696885000,10216000,10216000,1707101000,1696885000,10216000,14330,12503,1827,237920256,205644288,32275968,237920256,205644288,32275968,1989547000,136,3087031250,53125000,3033906250,3382530048,2956263424,245406,513527808,415256576,370909184,303939584,303939584,481,0,131350044597545017,0,0,4574048,629956,10324,10932,2486,13418,110805,135149000,11122432,146271432,7630869,174219264,2971406250,55468750,73437500,55563,312500,3125000,25160,0,2971406250,2493512000,0,0,32377,0,0,15635,7286,123110,180035923,55241000,7872219,188638,2556819,22921,131350041445000000,7,40,481,0,43269,0,54587744,10,0,1,0,0,0,5,5,0,132529,3045781250,32031250,3013750000,131350044597668420,0,0,0,0,0,0,0,221,94,7,0,127
2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,170,18,0,0,0,0,7,209,152,0,2,0,0,0,0,0,0,461003,559120384,576552960,2147016704,11534,186970,43353,228869,74780,70490,17727,4290,80080896,19369984,17,50209,39020,33555668,22327296,24657920,79732736,7172096,2433024,5533696,6111232,22327296,140760,546016,533,0,360087552,35614720,58372096,140660736,0,30244,265,32,233,1000000000,5612,32,0,0,0,0,24632,16,217,0,0,0,0,0,1707103000,1707103000,1696885000,1696885000,10218000,10218000,1707103000,1696885000,10218000,14331,12503,1828,237923328,205644288,32279040,237923328,205644288,32279040,2000618000,136,3098125000,53281250,3044843750,3382530048,2956263424,245632,513527808,416006144,370909184,305491968,305491968,481,0,131350044606183227,0,0,4574048,629956,10328,10935,2491,13426,113273,135149020,11124710,146273730,7812024,174968832,2981406250,55625000,74375000,55648,312500,3125000,25167,0,2981406250,2503107244,0,0,32445,0,0,15638,7291,125593,180035943,55243278,8053526,190391,2583630,22929,131350041445000000,1,40,481,0,43269,0,54587744,10,0,1,0,0,0,5,5,0,133954,3055937500,32031250,3023906250,131350044606676839,0,0,0,0,0,0,0,221,94,7,0,127
2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,170,18,0,0,0,0,7,209,152,0,2,0,0,0,0,0,0,461270,559583232,575303680,2147016704,11535,186977,43354,229127,74784,70494,17728,4290,80080896,19369984,17,50210,39020,33555668,22331392,24657920,79732736,7172096,2433024,5533696,6111232,22331392,140455,546468,533,0,360538112,35614720,58372096,140673024,0,30244,265,32,233,1000000000,5612,32,0,0,0,0,24632,16,217,0,0,0,0,0,1707943000,1707943000,1697721000,1697721000,10222000,10222000,1707943000,1697721000,10222000,14336,12505,1831,237992960,205677056,32315904,237992960,205677056,32315904,2011196000,136,3109531250,53437500,3056093750,3382530048,2955739136,245858,513527808,415252480,370909184,303878144,303878144,480,0,131350044615315049,0,0,4573056,629844,10327,10935,2492,13427,115726,135149020,11125856,146274876,7992262,174186496,2991718750,55781250,75312500,55733,312500,3125000,25174,0,2991718750,2513103578,0,0,32518,0,0,15638,7292,128031,180035943,55244424,8233612,192067,2608988,22930,131350041445000000,4,40,480,0,43269,0,54587744,10,0,1,0,0,0,5,5,0,135020,3062343750,30937500,3031406250,131350044615438452,0,0,0,0,0,0,0,221,94,7,0,127
2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,170,18,0,0,0,0,7,209,152,0,2,0,0,0,0,0,0,461492,559087616,577040384,2147016704,11535,186978,43354,229348,74784,70494,17728,4290,80080896,19369984,17,50213,39017,33555668,22327296,24657920,79732736,7172096,2433024,5533696,6111232,22327296,140879,545984,533,0,360034304,35635200,58372096,140681216,0,30244,265,32,233,1000000000,5612,32,0,0,0,0,24632,16,217,0,0,0,0,0,1707951000,1707951000,1697721000,1697721000,10230000,10230000,1707951000,1697721000,10230000,14341,12505,1836,238010880,205677056,32333824,238010880,205677056,32333824,2022470000,136,3120937500,54218750,3066718750,3382530048,2956263424,246080,513527808,416116736,370909184,305618944,305618944,481,0,131350044624200065,0,0,4573152,630212,10333,10935,2494,13429,118153,135149020,11127514,146276534,8172098,175050752,3001718750,56562500,75781250,55817,312500,3125000,25179,0,3001718750,2522982358,0,0,32584,0,0,15638,7294,130458,180035943,55246082,8413448,193658,2628363,22932,131350041445000000,3,40,481,0,43269,0,54587744,10,0,1,0,0,0,5,5,0,136290,3072500000,31406250,3041250000,131350044624446871,0,0,0,0,0,0,0,221,94,7,0,127
2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,170,18,0,0,0,0,7,209,152,0,2,0,0,0,0,0,0,461743,559632384,575139840,2147016704,11535,186980,43356,229596,74784,70494,17728,4290,80080896,19369984,17,50214,39022,33555668,22335488,24657920,79732736,7172096,2433024,5533696,6111232,22335488,140415,546516,533,0,360587264,35647488,58372096,140673024,0,30244,265,32,233,1000000000,5612,32,0,0,0,0,24632,16,217,0,0,0,0,0,1707951000,1707951000,1697721000,1697721000,10230000,10230000,1707951000,1697721000,10230000,14341,12505,1836,238010880,205677056,32333824,238010880,205677056,32333824,2033860000,136,3132343750,55000000,3077343750,3382530048,2955739136,246290,513527808,415301632,370909184,303996928,303996928,480,0,131350044633208484,0,0,4572064,629844,10331,10935,2497,13432,120595,135149020,11145040,146294060,8351834,174231552,3011718750,57343750,76406250,55896,312500,3125000,25180,0,3011718750,2532715718,0,0,32648,0,0,15638,7297,132900,180035943,55263608,8593184,195443,2660177,22935,131350041445000000,2,40,480,0,43269,0,54587744,10,0,1,0,0,0,5,5,0,137680,3082500000,31250000,3051250000,131350044633331887,0,0,0,0,0,0,0,221,94,7,0,127
2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,170,18,0,0,0,0,7,209,152,0,2,0,0,0,0,0,0,462619,557412352,577933312,2147016704,11543,187031,43551,230225,74960,70670,17731,4290,80093184,19374080,17,50245,39039,33555668,22343680,24657920,79732736,7172096,2433024,5533696,6111232,22343680,141097,544348,531,0,358469632,36409344,58372096,140570624,0,30244,265,32,233,1000000000,5612,32,0,0,0,0,24632,16,217,0,0,0,0,0,1708441000,1708441000,1698205000,1698205000,10236000,10236000,1708441000,1698205000,10236000,14349,12509,1840,238761472,206398464,32363008,238761472,206398464,32363008,2044424000,139,3143281250,55156250,3088125000,3387469824,2957307904,246965,515391488,417247232,375218176,306601984,306601984,480,0,131350044641846694,0,0,4572712,630140,10347,10937,2502,13439,123110,135929552,11922426,147851978,8534306,175996928,3021718750,57656250,77187500,55986,312500,3125000,25189,0,3021718750,2542609107,0,0,32717,0,0,15640,7302,135415,180816475,56040994,8775656,197029,2680346,22942,131350041445000000,4,40,480,0,43269,0,54587744,10,0,1,0,0,0,5,5,0,138946,3092500000,31406250,3061093750,131350044642093500,0,0,0,0,0,0,0,221,94,7,0,127
2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,170,18,0,0,0,0,7,209,152,0,2,0,0,0,0,0,0,464022,557465600,576389120,2147016704,11544,187070,43937,231202,74978,70688,17735,4290,80121856,19378176,17,50300,39061,33555668,22376448,24657920,79757312,7172096,2433024,5533696,6111232,22376448,140720,544400,531,0,358600704,37240832,58372096,140492800,0,30244,265,32,233,1000000000,5612,32,0,0,0,0,24632,16,217,0,0,0,0,0,1708441000,1708441000,1698205000,1698205000,10236000,10236000,1708441000,1698205000,10236000,14349,12509,1840,238761472,206398464,32363008,238761472,206398464,32363008,2055705000,139,3154687500,55625000,3099062500,3387469824,2957307904,247935,515416064,416509952,375230464,305659904,305659904,476,0,131350044650855113,0,0,4568744,629300,10320,10966,6744,17710,125927,139451872,14293743,153745615,8723178,175124480,3031562500,57968750,78281250,56073,312500,3125000,25194,0,3031562500,2551956560,0,0,32784,0,0,15669,11544,138232,184338795,58412311,8964528,199008,2729261,27213,131350041445000000,6,40,476,0,43269,0,54587744,10,0,1,0,0,0,5,5,0,140494,3102343750,30781250,3071562500,131350044650978516,0,0,0,0,0,0,0,221,94,7,0,127
2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,170,18,0,0,0,0,7,209,152,0,2,0,0,0,0,0,0,464266,557613056,578498560,2147016704,11544,187076,43938,231439,74978,70688,17735,4290,80121856,19378176,17,50301,39037,33555668,22376448,24657920,79757312,7172096,2433024,5533696,6111232,22376448,141235,544352,531,0,357740544,36421632,58372096,141303808,0,30244,265,32,233,1000000000,5612,32,0,0,0,0,24632,16,217,0,0,0,0,0,1708503000,1708503000,1698205000,1698205000,10298000,10298000,1708503000,1698205000,10298000,14381,12509,1872,239861760,206398464,33463296,239861760,206398464,33463296,2066765000,148,3165781250,55781250,3110000000,3387469824,2958356480,248197,515416064,417542144,375230464,307474432,307474432,477,0,131350044659320566,0,0,4568744,629540,10323,10966,6745,17711,128352,139451872,14294890,153746762,8902980,176132096,3041562500,58125000,79218750,56193,312500,3125000,25217,0,3041562500,2561774889,0,0,32858,0,0,15669,11545,140657,184338795,58413458,9144330,200608,2748592,27214,131350041445000000,2,40,477,0,43269,0,54587744,10,0,1,0,0,0,5,5,0,141770,3112343750,30781250,3081562500,131350044659431629,0,0,0,0,0,0,0,221,94,7,0,127
