ICMP Messages/sec,ICMP Messages Received/sec,ICMP Messages Received Errors,ICMP Received Dest. Unreachable,ICMP Received Time Exceeded,ICMP Received Parameter Problem,ICMP Received Source Quench,ICMP Received Redirect/sec,ICMP Received Echo/sec,ICMP Received Echo Reply/sec,ICMP Received Timestamp/sec,ICMP Received Timestamp Reply/sec,ICMP Received Address Mask,ICMP Received Address Mask Reply,ICMP Messages Sent/sec,ICMP Messages Outbound Errors,ICMP Sent Destination Unreachable,ICMP Sent Time Exceeded,ICMP Sent Parameter Problem,ICMP Sent Source Quench,ICMP Sent Redirect/sec,ICMP Sent Echo/sec,ICMP Sent Echo Reply/sec,ICMP Sent Timestamp/sec,ICMP Sent Timestamp Reply/sec,ICMP Sent Address Mask,ICMP Sent Address Mask Reply,IPv4 Datagrams/sec,IPv4 Datagrams Received/sec,IPv4 Datagrams Received Header Errors,IPv4 Datagrams Received Address Errors,IPv4 Datagrams Forwarded/sec,IPv4 Datagrams Received Unknown Protocol,IPv4 Datagrams Received Discarded,IPv4 Datagrams Received Delivered/sec,IPv4 Datagrams Sent/sec,IPv4 Datagrams Outbound Discarded,IPv4 Datagrams Outbound No Route,IPv4 Fragments Received/sec,IPv4 Fragments Re-assembled/sec,IPv4 Fragment Re-assembly Failures,IPv4 Fragmented Datagrams/sec,IPv4 Fragmentation Failures,IPv4 Fragments Created/sec,Memory Page Faults/sec,Memory Available Bytes,Memory Committed Bytes,Memory Commit Limit,Memory Write Copies/sec,Memory Transition Faults/sec,Memory Cache Faults/sec,Memory Demand Zero Faults/sec,Memory Pages/sec,Memory Pages Input/sec,Memory Page Reads/sec,Memory Pages Output/sec,Memory Pool Paged Bytes,Memory Pool Nonpaged Bytes,Memory Page Writes/sec,Memory Pool Paged Allocs,Memory Pool Nonpaged Allocs,Memory Free System Page Table Entries,Memory Cache Bytes,Memory Cache Bytes Peak,Memory Pool Paged Resident Bytes,Memory System Code Total Bytes,Memory System Code Resident Bytes,Memory System Driver Total Bytes,Memory System Driver Resident Bytes,Memory System Cache Resident Bytes,Memory % Committed Bytes In Use,Memory Available KBytes,Memory Available MBytes,Memory Transition Pages RePurposed/sec,Memory Free & Zero Page List Bytes,Memory Modified Page List Bytes,Memory Standby Cache Reserve Bytes,Memory Standby Cache Normal Priority Bytes,Memory Standby Cache Core Bytes,Network Interface Bytes Total/sec,Network Interface Packets/sec,Network Interface Packets Received/sec,Network Interface Packets Sent/sec,Network Interface Current Bandwidth,Network Interface Bytes Received/sec,Network Interface Packets Received Unicast/sec,Network Interface Packets Received Non-Unicast/sec,Network Interface Packets Received Discarded,Network Interface Packets Received Errors,Network Interface Packets Received Unknown,Network Interface Bytes Sent/sec,Network Interface Packets Sent Unicast/sec,Network Interface Packets Sent Non-Unicast/sec,Network Interface Packets Outbound Discarded,Network Interface Packets Outbound Errors,Network Interface Output Queue Length,Network Interface Offloaded Connections,PhysicalDisk Current Disk Queue Length,PhysicalDisk % Disk Time,PhysicalDisk Avg. Disk Queue Length,PhysicalDisk % Disk Read Time,PhysicalDisk Avg. Disk Read Queue Length,PhysicalDisk % Disk Write Time,PhysicalDisk Avg. Disk Write Queue Length,PhysicalDisk Avg. Disk sec/Transfer,PhysicalDisk Avg. Disk sec/Read,PhysicalDisk Avg. Disk sec/Write,PhysicalDisk Disk Transfers/sec,PhysicalDisk Disk Reads/sec,PhysicalDisk Disk Writes/sec,PhysicalDisk Disk Bytes/sec,PhysicalDisk Disk Read Bytes/sec,PhysicalDisk Disk Write Bytes/sec,PhysicalDisk Avg. Disk Bytes/Transfer,PhysicalDisk Avg. Disk Bytes/Read,PhysicalDisk Avg. Disk Bytes/Write,PhysicalDisk % Idle Time,PhysicalDisk Split IO/Sec,Process % Processor Time,Process % User Time,Process % Privileged Time,Process Virtual Bytes Peak,Process Virtual Bytes,Process Page Faults/sec,Process Working Set Peak,Process Working Set,Process Page File Bytes Peak,Process Page File Bytes,Process Private Bytes,Process Thread Count,Process Priority Base,Process Elapsed Time,Process ID Process,Process Creating Process ID,Process Pool Paged Bytes,Process Pool Nonpaged Bytes,Process Handle Count,Process IO Read Operations/sec,Process IO Write Operations/sec,Process IO Data Operations/sec,Process IO Other Operations/sec,Process IO Read Bytes/sec,Process IO Write Bytes/sec,Process IO Data Bytes/sec,Process IO Other Bytes/sec,Process Working Set - Private,Processor % Processor Time,Processor % User Time,Processor % Privileged Time,Processor Interrupts/sec,Processor % DPC Time,Processor % Interrupt Time,Processor DPCs Queued/sec,Processor DPC Rate,Processor % Idle Time,Processor % C1 Time,Processor % C2 Time,Processor % C3 Time,Processor C1 Transitions/sec,Processor C2 Transitions/sec,Processor C3 Transitions/sec,System File Read Operations/sec,System File Write Operations/sec,System File Control Operations/sec,System File Read Bytes/sec,System File Write Bytes/sec,System File Control Bytes/sec,System Context Switches/sec,System System Calls/sec,System File Data Operations/sec,System System Up Time,System Processor Queue Length,System Processes,System Threads,System Alignment Fixups/sec,System Exception Dispatches/sec,System Floating Emulations/sec,System % Registry Quota In Use,TCPv4 Segments/sec,TCPv4 Connections Established,TCPv4 Connections Active,TCPv4 Connections Passive,TCPv4 Connection Failures,TCPv4 Connections Reset,TCPv4 Segments Received/sec,TCPv4 Segments Sent/sec,TCPv4 Segments Retransmitted/sec,Thread Context Switches/sec,Thread % Processor Time,Thread % User Time,Thread % Privileged Time,Thread Elapsed Time,Thread Priority Current,Thread Priority Base,Thread Start Address,Thread Thread State,Thread Thread Wait Reason,Thread ID Process,Thread ID Thread,UDPv4 Datagrams/sec,UDPv4 Datagrams Received/sec,UDPv4 Datagrams No Port/sec,UDPv4 Datagrams Received Errors,UDPv4 Datagrams Sent/sec
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,177,19,0,0,0,0,6,220,158,0,2,0,0,0,0,0,0,4658203,556273664,564031488,2147016704,16081,278045,1216428,3164815,435529,426057,39415,9472,96604160,25358336,37,89192,48225,33555668,44453888,73703424,96223232,7172096,2441216,5550080,6156288,44453888,137703,543236,530,292946,57872384,31584256,53248,498348032,0,32198,280,33,247,1000000000,5615,33,0,0,0,0,26583,14,233,0,0,0,0,0,12662491000,12662491000,7686642000,7686642000,4975849000,4975849000,12662491000,7686642000,4975849000,291726,33376,258350,7277188608,1656882176,5620306432,7277188608,1656882176,5620306432,2149939000,8063,7655156250,2606406250,5048750000,3119116288,2680877056,2520693,494862336,385105920,375238656,309215232,309215232,417,0,131350055192815390,0,0,4126616,589580,9507,323529,514299,837828,21125200,4967785520,18721969903,23689755423,4620491501,163565568,1310781250,2782031250,3974687500,474712,24375000,168906250,303453,5,1310781250,1171500329,0,0,20235,0,0,335179,515531,21198545,6319677699,18735627950,4627516304,1826532,39158863,850711,131350047124998455,8,36,416,0,43348,0,54579520,10,0,1,0,0,0,5,5,0,1543798,7469531250,2518750000,4950781250,131350055193799765,0,0,0,0,0,0,0,237,103,6,0,134
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,177,19,0,0,0,0,6,220,158,0,2,0,0,0,0,0,0,4663241,554696704,566247424,2147016704,16083,278065,1216767,3169485,435607,426135,39441,9472,96620544,25358336,37,89440,48230,33555668,44417024,73703424,96239616,7172096,2441216,5550080,6156288,44417024,138244,541696,529,292946,56037376,31580160,53248,498606080,0,32198,280,33,247,1000000000,5615,33,0,0,0,0,26583,14,233,0,0,0,0,0,12673560000,12673560000,7688525000,7688525000,4985035000,4985035000,12673560000,7688525000,4985035000,292204,33402,258802,7285810688,1657201664,5628609024,7285810688,1657201664,5628609024,2151533000,8071,7666093750,2611250000,5054843750,3119116288,2681155584,2525286,495828992,386846720,377069568,311803904,311803904,416,0,131350055203221640,0,0,4125624,592700,9507,323601,515109,838710,21167922,4970139808,18752295459,23722435267,4627176927,165203968,1310781250,2786406250,3981093750,475329,24375000,169062500,303892,6,1310781250,1171500329,0,0,20235,0,0,335251,516298,21237212,6322031987,18764724706,4632569668,1830325,39245000,851550,131350047124998455,9,36,416,0,43348,0,54579520,10,0,1,0,0,0,5,5,0,1547233,7478593750,2522656250,4955937500,131350055203362265,0,0,0,0,0,0,0,237,103,6,0,134
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,177,19,0,0,0,0,6,220,158,0,2,0,0,0,0,0,0,4668511,554823680,564764672,2147016704,16084,278077,1216836,3174672,435645,426173,39464,9472,96575488,25358336,37,87681,48235,33555668,44449792,73703424,96215040,7172096,2441216,5550080,6156288,44449792,137882,541820,529,292946,56098816,31608832,53248,498671616,0,32198,280,33,247,1000000000,5615,33,0,0,0,0,26583,14,233,0,0,0,0,0,12687295000,12687295000,7690541000,7690541000,4996754000,4996754000,12687295000,7690541000,4996754000,292755,33424,259331,7294547456,1657353216,5637194240,7294547456,1657353216,5637194240,2152833000,8081,7679687500,2617656250,5062031250,3119116288,2681270272,2530247,496013312,386256896,377454592,310517760,310517760,416,0,131350055214893515,0,0,4125624,593180,9512,323645,515996,839641,21217076,4970493040,18785060743,23755553783,4638816361,164569088,1310781250,2792656250,3987812500,476005,24375000,169062500,304401,0,1310781250,1171500329,0,0,20235,0,0,335295,517184,21286366,6322385219,18797457222,4644209102,1834558,39338910,852479,131350047124998455,13,36,416,0,43348,0,54579520,10,0,1,0,0,0,5,5,0,1551246,7490781250,2528750000,4962031250,131350055215737265,0,0,0,0,0,0,0,237,103,6,0,134
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,177,19,0,0,0,0,6,220,158,0,2,0,0,0,0,0,0,4672482,551714816,567017472,2147016704,16084,278080,1217457,3178018,435662,426190,39474,9472,96595968,25255936,37,87764,48215,33555668,44687360,73703424,96215040,7172096,2441216,5550080,6156288,44687360,138432,538784,526,292946,52944896,34009088,53248,498716672,0,32198,280,33,247,1000000000,5615,33,0,0,0,0,26583,14,233,0,0,0,0,0,12695548000,12695548000,7691574000,7691574000,5003974000,5003974000,12695548000,7691574000,5003974000,293077,33435,259642,7301588480,1657426944,5644161536,7301588480,1657426944,5644161536,2160446000,8089,7694375000,2623906250,5070468750,3119116288,2680745984,2532964,496013312,386494464,377454592,311750656,311750656,416,0,131350055228534140,0,0,4125624,590420,9518,323791,516562,840353,21247112,4975085052,18807267936,23782352988,4658163923,164806656,1310781250,2798906250,3997187500,476500,24375000,169375000,304733,1,1310781250,1171500329,0,0,20235,0,0,335453,517789,21317107,6327369455,18821777951,4663556664,1837958,39408267,853242,131350047124998455,8,36,416,0,43348,0,54579520,10,0,1,0,0,0,5,5,0,1554148,7504375000,2534843750,4969687500,131350055229659140,0,0,0,0,0,0,0,237,103,6,0,134
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,177,19,0,0,0,0,6,220,158,0,2,0,0,0,0,0,0,4675029,555229184,565465088,2147016704,16084,278085,1217544,3180477,435671,426199,39483,9472,96612352,25255936,37,87783,48222,33555668,44482560,73703424,96231424,7172096,2441216,5550080,6156288,44482560,138053,542216,529,292946,56287232,31592448,53248,498888704,0,32198,280,33,247,1000000000,5615,33,0,0,0,0,26583,14,233,0,0,0,0,0,12702102000,12702102000,7692024000,7692024000,5010078000,5010078000,12702102000,7692024000,5010078000,293358,33444,259914,7306049024,1657463808,5648585216,7306049024,1657463808,5648585216,2164251000,8093,7704218750,2627031250,5077187500,3119116288,2680279040,2535404,496017408,385503232,377675776,310173696,310173696,416,0,131350055237970057,0,0,4124840,591548,9521,323803,517053,840856,21272934,4975477276,18826110756,23801588032,4669645101,164020224,1310781250,2802187500,4003437500,476849,24375000,169531250,304996,0,1310781250,1171500329,0,0,20235,0,0,335453,518241,21342224,6327369455,18838507235,4675037842,1840690,39460691,853694,131350047124998455,11,36,416,0,43348,0,54579520,10,0,1,0,0,0,5,5,0,1556544,7510000000,2536250000,4973906250,131350055238434118,0,0,0,0,0,0,0,237,103,6,0,134
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,177,19,0,0,0,0,6,220,158,0,2,0,0,0,0,0,0,4677701,554799104,566824960,2147016704,16085,278087,1217556,3183135,435683,426211,39495,9472,96636928,25255936,37,88071,48231,33555668,44498944,73703424,96256000,7172096,2441216,5550080,6156288,44498944,138385,541796,529,292946,55824384,31592448,53248,498921472,0,32198,280,33,247,1000000000,5615,33,0,0,0,0,26583,14,233,0,0,0,0,0,12708434000,12708434000,7692361000,7692361000,5016073000,5016073000,12708434000,7692361000,5016073000,293682,33456,260226,7311156736,1657512960,5653643776,7311156736,1657512960,5653643776,2170135000,8097,7716093750,2630625000,5085468750,3119116288,2681212928,2538055,496017408,385912832,377675776,311545856,311545856,417,0,131350055249880956,0,0,4124840,589100,9514,323803,517595,841398,21302511,4975477276,18846477289,23821954565,4684359581,164433920,1310781250,2805781250,4011875000,477276,24531250,169531250,305313,0,1310781250,1171500329,0,0,20235,0,0,335453,518783,21371801,6327369455,18858873768,4689752322,1844001,39527604,854236,131350047124998455,8,36,417,0,43348,0,54579520,10,0,1,0,0,0,5,5,0,1559545,7520000000,2539218750,4980937500,131350055250345017,0,0,0,0,0,0,0,237,103,6,0,134
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,177,19,0,0,0,0,6,220,158,0,2,0,0,0,0,0,0,4681772,555409408,564973568,2147016704,16085,278094,1218016,3186744,435702,426230,39507,9472,96657408,25251840,37,88376,48227,33555668,44515328,73703424,96276480,7172096,2441216,5550080,6156288,44515328,137933,542392,529,292946,56377344,31580160,53248,498978816,0,32198,280,33,247,1000000000,5615,33,0,0,0,0,26583,14,233,0,0,0,0,0,12717141000,12717141000,7693570000,7693570000,5023571000,5023571000,12717141000,7693570000,5023571000,294066,33467,260599,7318242816,1657586688,5660656128,7318242816,1657586688,5660656128,2175319000,8105,7728593750,2636250000,5092343750,3119116288,2679492608,2541338,496058368,385474560,377733120,310124544,310124544,413,0,131350055262719977,0,0,4124744,590772,9505,323891,518256,842147,21337798,4978355148,18871821709,23850176857,4704839893,163995648,1310781250,2811250000,4019375000,477843,24531250,170000000,305687,0,1310781250,1171500329,0,0,20235,0,0,335541,519444,21407088,6330247327,18884218188,4710232634,1847405,39600898,854985,131350047124998455,13,36,413,0,43348,0,54579520,10,0,1,0,0,0,5,5,0,1560176,7528750000,2542187500,4986562500,131350055263184038,0,0,0,0,0,0,0,237,103,6,0,134
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,177,19,0,0,0,0,6,220,158,0,2,0,0,0,0,0,0,4686172,554201088,565133312,2147016704,16085,278099,1218528,3190630,435712,426240,39517,9472,96661504,25169920,37,88635,48242,33555668,44556288,73703424,96280576,7172096,2441216,5550080,6156288,44556288,137972,541212,528,292946,55160832,31576064,57344,498982912,0,32198,280,33,247,1000000000,5615,33,0,0,0,0,26583,14,233,0,0,0,0,0,12725752000,12725752000,7694374000,7694374000,5031378000,5031378000,12725752000,7694374000,5031378000,294436,33477,260959,7325070848,1657627648,5667443200,7325070848,1657627648,5667443200,2180425000,8113,7741406250,2641250000,5100156250,3119116288,2681016320,2544770,496058368,386355200,377737216,310218752,310218752,413,0,131350055275558998,0,0,4124744,591492,9511,324009,518842,842851,21372749,4982163996,18892888362,23875052358,4719273129,164884480,1310781250,2816250000,4027187500,478349,24531250,170000000,306048,0,1310781250,1171500329,0,0,20235,0,0,335659,520030,21442039,6334056175,18905284841,4724665870,1850828,39674957,855689,131350047124998455,11,36,413,0,43348,0,54579520,10,0,1,0,0,0,5,5,0,1563270,7539531250,2546562500,4992968750,131350055276023059,0,0,0,0,0,0,0,237,103,6,0,134
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,177,19,0,0,0,0,6,220,158,0,2,0,0,0,0,0,0,4689643,554536960,565571584,2147016704,16085,278101,1218687,3193941,435722,426250,39527,9472,96673792,25169920,37,88994,48271,33555668,44589056,73703424,96292864,7172096,2441216,5550080,6156288,44589056,138079,541540,528,292946,55480320,31584256,65536,498991104,0,32198,280,33,247,1000000000,5615,33,0,0,0,0,26583,14,233,0,0,0,0,0,12733648000,12733648000,7694539000,7694539000,5039109000,5039109000,12733648000,7694539000,5039109000,294813,33488,261325,7332042240,1657672704,5674369536,7332042240,1657672704,5674369536,2185133000,8121,7753906250,2646406250,5107500000,3119116288,2679197696,2547996,496058368,386244608,377737216,310980608,310980608,412,0,131350055288243332,0,0,4124744,593412,9512,324040,519515,843555,21408390,4983031128,18919037387,23902068515,4736977034,165363712,1310781250,2821718750,4034687500,478853,24531250,170000000,306421,1,1310781250,1171500329,0,0,20235,0,0,335690,520706,21477680,6334923307,18931483018,4742369775,1854341,39750089,856396,131350047124998455,10,36,412,0,43348,0,54579520,10,0,1,0,0,0,5,5,0,1566469,7550312500,2551875000,4998437500,131350055288707393,0,0,0,0,0,0,0,237,103,6,0,134
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,177,19,0,0,0,0,6,220,158,0,2,0,0,0,0,0,0,4692784,556249088,563515392,2147016704,16086,278103,1218985,3196782,435735,426263,39537,9472,96677888,25169920,37,89004,48208,33555668,44576768,73703424,96296960,7172096,2441216,5550080,6156288,44576768,137577,543212,530,292946,57126912,31612928,65536,499056640,0,32198,280,33,247,1000000000,5615,33,0,0,0,0,26583,14,233,0,0,0,0,0,12742005000,12742005000,7695910000,7695910000,5046095000,5046095000,12742005000,7695910000,5046095000,295132,33498,261634,7337088512,1657725952,5679362560,7337088512,1657725952,5679362560,2190842000,8125,7766250000,2652656250,5113593750,3119116288,2678411264,2550691,496062464,384765952,377737216,308641792,308641792,412,0,131350055300927666,0,0,4124744,589260,9517,324092,520087,844179,21438901,4984732664,18941564656,23926297320,4761292676,163307520,1310781250,2827656250,4041406250,479294,24843750,170468750,306731,0,1310781250,1171500329,0,0,20235,0,0,335742,521275,21508191,6336624843,18953961135,4766685417,1857460,39816957,857017,131350047124998455,12,36,412,0,43348,0,54579520,10,0,1,0,0,0,5,5,0,1569227,7560468750,2557343750,5003281250,131350055301237040,0,0,0,0,0,0,0,237,103,6,0,134
