ICMP Messages/sec,ICMP Messages Received/sec,ICMP Messages Received Errors,ICMP Received Dest. Unreachable,ICMP Received Time Exceeded,ICMP Received Parameter Problem,ICMP Received Source Quench,ICMP Received Redirect/sec,ICMP Received Echo/sec,ICMP Received Echo Reply/sec,ICMP Received Timestamp/sec,ICMP Received Timestamp Reply/sec,ICMP Received Address Mask,ICMP Received Address Mask Reply,ICMP Messages Sent/sec,ICMP Messages Outbound Errors,ICMP Sent Destination Unreachable,ICMP Sent Time Exceeded,ICMP Sent Parameter Problem,ICMP Sent Source Quench,ICMP Sent Redirect/sec,ICMP Sent Echo/sec,ICMP Sent Echo Reply/sec,ICMP Sent Timestamp/sec,ICMP Sent Timestamp Reply/sec,ICMP Sent Address Mask,ICMP Sent Address Mask Reply,IPv4 Datagrams/sec,IPv4 Datagrams Received/sec,IPv4 Datagrams Received Header Errors,IPv4 Datagrams Received Address Errors,IPv4 Datagrams Forwarded/sec,IPv4 Datagrams Received Unknown Protocol,IPv4 Datagrams Received Discarded,IPv4 Datagrams Received Delivered/sec,IPv4 Datagrams Sent/sec,IPv4 Datagrams Outbound Discarded,IPv4 Datagrams Outbound No Route,IPv4 Fragments Received/sec,IPv4 Fragments Re-assembled/sec,IPv4 Fragment Re-assembly Failures,IPv4 Fragmented Datagrams/sec,IPv4 Fragmentation Failures,IPv4 Fragments Created/sec,Memory Page Faults/sec,Memory Available Bytes,Memory Committed Bytes,Memory Commit Limit,Memory Write Copies/sec,Memory Transition Faults/sec,Memory Cache Faults/sec,Memory Demand Zero Faults/sec,Memory Pages/sec,Memory Pages Input/sec,Memory Page Reads/sec,Memory Pages Output/sec,Memory Pool Paged Bytes,Memory Pool Nonpaged Bytes,Memory Page Writes/sec,Memory Pool Paged Allocs,Memory Pool Nonpaged Allocs,Memory Free System Page Table Entries,Memory Cache Bytes,Memory Cache Bytes Peak,Memory Pool Paged Resident Bytes,Memory System Code Total Bytes,Memory System Code Resident Bytes,Memory System Driver Total Bytes,Memory System Driver Resident Bytes,Memory System Cache Resident Bytes,Memory % Committed Bytes In Use,Memory Available KBytes,Memory Available MBytes,Memory Transition Pages RePurposed/sec,Memory Free & Zero Page List Bytes,Memory Modified Page List Bytes,Memory Standby Cache Reserve Bytes,Memory Standby Cache Normal Priority Bytes,Memory Standby Cache Core Bytes,Network Interface Bytes Total/sec,Network Interface Packets/sec,Network Interface Packets Received/sec,Network Interface Packets Sent/sec,Network Interface Current Bandwidth,Network Interface Bytes Received/sec,Network Interface Packets Received Unicast/sec,Network Interface Packets Received Non-Unicast/sec,Network Interface Packets Received Discarded,Network Interface Packets Received Errors,Network Interface Packets Received Unknown,Network Interface Bytes Sent/sec,Network Interface Packets Sent Unicast/sec,Network Interface Packets Sent Non-Unicast/sec,Network Interface Packets Outbound Discarded,Network Interface Packets Outbound Errors,Network Interface Output Queue Length,Network Interface Offloaded Connections,PhysicalDisk Current Disk Queue Length,PhysicalDisk % Disk Time,PhysicalDisk Avg. Disk Queue Length,PhysicalDisk % Disk Read Time,PhysicalDisk Avg. Disk Read Queue Length,PhysicalDisk % Disk Write Time,PhysicalDisk Avg. Disk Write Queue Length,PhysicalDisk Avg. Disk sec/Transfer,PhysicalDisk Avg. Disk sec/Read,PhysicalDisk Avg. Disk sec/Write,PhysicalDisk Disk Transfers/sec,PhysicalDisk Disk Reads/sec,PhysicalDisk Disk Writes/sec,PhysicalDisk Disk Bytes/sec,PhysicalDisk Disk Read Bytes/sec,PhysicalDisk Disk Write Bytes/sec,PhysicalDisk Avg. Disk Bytes/Transfer,PhysicalDisk Avg. Disk Bytes/Read,PhysicalDisk Avg. Disk Bytes/Write,PhysicalDisk % Idle Time,PhysicalDisk Split IO/Sec,Process % Processor Time,Process % User Time,Process % Privileged Time,Process Virtual Bytes Peak,Process Virtual Bytes,Process Page Faults/sec,Process Working Set Peak,Process Working Set,Process Page File Bytes Peak,Process Page File Bytes,Process Private Bytes,Process Thread Count,Process Priority Base,Process Elapsed Time,Process ID Process,Process Creating Process ID,Process Pool Paged Bytes,Process Pool Nonpaged Bytes,Process Handle Count,Process IO Read Operations/sec,Process IO Write Operations/sec,Process IO Data Operations/sec,Process IO Other Operations/sec,Process IO Read Bytes/sec,Process IO Write Bytes/sec,Process IO Data Bytes/sec,Process IO Other Bytes/sec,Process Working Set - Private,Processor % Processor Time,Processor % User Time,Processor % Privileged Time,Processor Interrupts/sec,Processor % DPC Time,Processor % Interrupt Time,Processor DPCs Queued/sec,Processor DPC Rate,Processor % Idle Time,Processor % C1 Time,Processor % C2 Time,Processor % C3 Time,Processor C1 Transitions/sec,Processor C2 Transitions/sec,Processor C3 Transitions/sec,System File Read Operations/sec,System File Write Operations/sec,System File Control Operations/sec,System File Read Bytes/sec,System File Write Bytes/sec,System File Control Bytes/sec,System Context Switches/sec,System System Calls/sec,System File Data Operations/sec,System System Up Time,System Processor Queue Length,System Processes,System Threads,System Alignment Fixups/sec,System Exception Dispatches/sec,System Floating Emulations/sec,System % Registry Quota In Use,TCPv4 Segments/sec,TCPv4 Connections Established,TCPv4 Connections Active,TCPv4 Connections Passive,TCPv4 Connection Failures,TCPv4 Connections Reset,TCPv4 Segments Received/sec,TCPv4 Segments Sent/sec,TCPv4 Segments Retransmitted/sec,Thread Context Switches/sec,Thread % Processor Time,Thread % User Time,Thread % Privileged Time,Thread Elapsed Time,Thread Priority Current,Thread Priority Base,Thread Start Address,Thread Thread State,Thread Thread Wait Reason,Thread ID Process,Thread ID Thread,UDPv4 Datagrams/sec,UDPv4 Datagrams Received/sec,UDPv4 Datagrams No Port/sec,UDPv4 Datagrams Received Errors,UDPv4 Datagrams Sent/sec
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,17,0,0,0,0,5,191,143,0,1,0,0,0,0,0,0,351383,592658432,531795968,2147016704,8131,124645,29723,195390,64436,63924,15555,512,77905920,18587648,2,46800,36317,33555668,20557824,21594112,77561856,7172096,2408448,5550080,5992448,20557824,129833,578688,565,0,417591296,48291840,46084096,128901120,0,28504,250,31,219,1000000000,5398,31,0,0,0,0,23106,16,203,0,0,0,0,0,1194509000,1194509000,1189954000,1189954000,4555000,4555000,1194509000,1189954000,4555000,12106,10949,1157,194354688,182258176,12096512,194354688,182258176,12096512,970708000,66,1653437500,39375000,1614062500,2716504064,2573316096,196370,452591616,343928832,340934656,277139456,277139456,456,0,131350046736833091,0,0,3889544,555884,9064,9553,1724,11277,74970,125386114,8925749,134311863,4377971,144089088,1554687500,41562500,67187500,43251,312500,4062500,22986,0,1554687500,1315846740,0,0,22694,0,0,9572,1936,79551,125593848,8954691,4470789,151274,2126678,11508,131350045035000000,1,34,456,0,43234,0,53537920,10,0,1,0,0,0,5,5,0,117324,1627812500,25625000,1602187500,131350046737095237,0,0,0,0,0,0,0,210,90,5,0,120
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,17,0,0,0,0,5,191,143,0,1,0,0,0,0,0,0,351918,591552512,534216704,2147016704,8137,124684,29726,195872,64757,63989,15565,768,77910016,18587648,3,46818,36319,33555668,20570112,21594112,77565952,7172096,2408448,5550080,5992448,20570112,130424,577688,564,0,415932416,47767552,46084096,129536000,0,28504,250,31,219,1000000000,5398,31,0,0,0,0,23106,16,203,0,0,0,0,0,1195331000,1195331000,1190754000,1190754000,4577000,4577000,1195331000,1190754000,4577000,12116,10958,1158,195636736,182491648,13145088,195636736,182491648,13145088,980001000,66,1663593750,39375000,1624218750,2985029632,2573316096,196858,453742592,345149440,342831104,279076864,279076864,456,0,131350046745352836,0,0,3890536,555884,9072,9557,1725,11282,77419,125392650,8926880,134319530,4557661,145190912,1563437500,41562500,68437500,43342,312500,4062500,22999,0,1563437500,1324307683,0,0,22758,0,0,9576,1937,82000,125600384,8955822,4650479,152935,2152534,11513,131350045035000000,3,34,456,0,43234,0,53537920,10,0,1,0,0,0,5,5,0,118653,1636562500,25312500,1611250000,131350046745614982,0,0,0,0,0,0,0,210,90,5,0,120
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,17,0,0,0,0,5,191,143,0,1,0,0,0,0,0,0,352165,592908288,533041152,2147016704,8138,124695,29726,196210,65032,64008,15569,1024,77914112,18587648,4,46820,36316,33555668,20557824,21594112,77570048,7172096,2408448,5550080,5992448,20557824,130137,579012,565,0,416493568,47009792,46366720,130048000,0,28504,250,31,219,1000000000,5398,31,0,0,0,0,23106,16,203,0,0,0,0,0,1195598000,1195598000,1191000000,1191000000,4598000,4598000,1195598000,1191000000,4598000,12122,10962,1160,196771328,182569472,14201856,196771328,182569472,14201856,991316000,66,1675000000,40000000,1635000000,2985029632,2573316096,197206,453939200,344899584,343216128,278200320,278200320,456,0,131350046755052238,0,0,3890536,555884,9077,9567,1726,11293,79837,125392890,8928011,134320901,4737199,144896000,1573593750,42343750,69218750,43459,312500,4218750,23018,1,1573593750,1334282080,0,0,22828,0,0,9586,1938,84418,125600624,8956953,4830017,154508,2171730,11524,131350045035000000,3,34,456,0,43234,0,53537920,10,0,1,0,0,0,5,5,0,119901,1646562500,25781250,1620781250,131350046755314384,0,0,0,0,0,0,0,210,90,5,0,120
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,17,0,0,0,0,5,191,143,0,1,0,0,0,0,0,0,353369,590794752,536518656,2147016704,8165,124895,29882,196927,65534,64254,15625,1280,77950976,18620416,5,46926,36430,33555668,21135360,21594112,77615104,7172096,2408448,5550080,5992448,21135360,130986,576948,563,0,413540352,46436352,46977024,130277376,0,28504,250,31,219,1000000000,5398,31,0,0,0,0,23106,16,203,0,0,0,0,0,1197508000,1197508000,1192882000,1192882000,4626000,4626000,1197508000,1192882000,4626000,12190,11024,1166,198881792,183557632,15324160,198881792,183557632,15324160,1000712000,66,1686250000,40781250,1645468750,2985029632,2584465408,198021,454975488,347418624,344092672,280989696,280989696,456,0,131350046764620567,0,0,3902440,558564,9153,9665,1730,11395,82562,126066694,8929291,134995985,4919851,146632704,1582812500,42968750,70625000,43664,312500,4218750,23115,0,1582812500,1343117546,0,0,22969,0,0,9684,1942,87143,126274428,8958233,5012669,156986,2210804,11626,131350045035000000,4,34,456,0,43234,0,53537920,10,0,1,0,0,0,5,5,0,122045,1656562500,25625000,1631093750,131350046764882713,0,0,0,0,0,0,0,210,90,5,0,120
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,17,0,0,0,0,5,191,143,0,1,0,0,0,0,0,0,353562,591540224,534495232,2147016704,8165,124896,29883,197142,65790,64254,15625,1536,77950976,18624512,6,46929,36428,33555668,21123072,21594112,77615104,7172096,2408448,5550080,5992448,21123072,130492,577676,564,0,413569024,45731840,47677440,130293760,0,28504,250,31,219,1000000000,5398,31,0,0,0,0,23106,16,203,0,0,0,0,0,1197532000,1197532000,1192882000,1192882000,4650000,4650000,1197532000,1192882000,4650000,12194,11024,1170,199941120,183557632,16383488,199941120,183557632,16383488,1012128000,68,1697812500,41093750,1656718750,2985029632,2583416832,198237,455098368,346742784,344342528,279453696,279453696,454,0,131350046774188896,0,0,3901448,558084,9150,9665,1731,11396,84986,126066694,8930424,134997118,5099329,145956864,1592812500,43281250,71718750,43761,312500,4218750,23122,0,1592812500,1352943503,0,0,23033,0,0,9684,1943,89567,126274428,8959366,5192147,158532,2230029,11627,131350045035000000,5,34,454,0,43234,0,53537920,10,0,1,0,0,0,5,5,0,123189,1666562500,25937500,1640781250,131350046774451042,0,0,0,0,0,0,0,210,90,5,0,120
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,17,0,0,0,0,5,191,143,0,1,0,0,0,0,0,0,353997,591609856,536612864,2147016704,8166,124897,29884,197551,66046,64254,15625,1792,77955072,18608128,7,46947,36433,33555668,21127168,21594112,77615104,7172096,2408448,5550080,5992448,21127168,131009,577744,564,0,412667904,44756992,48652288,130289664,0,28504,250,31,219,1000000000,5398,31,0,0,0,0,23106,16,203,0,0,0,0,0,1197550000,1197550000,1192882000,1192882000,4668000,4668000,1197550000,1192882000,4668000,12195,11024,1171,200989696,183557632,17432064,200989696,183557632,17432064,1023503000,68,1709062500,41406250,1667812500,2985029632,2583416832,198607,455143424,347545600,344354816,281145344,281145344,454,0,131350046783757225,0,0,3901448,558084,9156,9665,1732,11397,87430,126066694,8931557,134998251,5279091,146759680,1602812500,43593750,72812500,43848,312500,4218750,23126,0,1602812500,1362618198,0,0,23097,0,0,9684,1944,92011,126274428,8960499,5371909,160197,2261410,11628,131350045035000000,6,34,454,0,43234,0,53537920,10,0,1,0,0,0,5,5,0,124535,1676562500,25625000,1650937500,131350046784019371,0,0,0,0,0,0,0,210,90,5,0,120
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,17,0,0,0,0,5,191,143,0,1,0,0,0,0,0,0,354199,594034688,534016000,2147016704,8166,124898,29884,197751,66566,64262,15626,2304,77959168,18616320,9,46948,36428,33555668,21123072,21594112,77615104,7172096,2408448,5550080,5992448,21123072,130375,580112,566,0,413716480,43454464,49954816,130363392,0,28504,250,31,219,1000000000,5398,31,0,0,0,0,23106,16,203,0,0,0,0,0,1197602000,1197602000,1192890000,1192890000,4712000,4712000,1197602000,1192890000,4712000,12201,11025,1176,203128320,183590400,19537920,203128320,183590400,19537920,1034868000,70,1720625000,42031250,1678593750,2985029632,2579136512,198809,455237632,346628096,344473600,279146496,279146496,446,0,131350046793325554,0,0,3893344,555924,9124,9665,1733,11398,89852,126066694,8932690,134999384,5458675,145879040,1612812500,44218750,73593750,43960,312500,4218750,23138,0,1612812500,1372450881,0,0,23163,0,0,9684,1945,94433,126274428,8961632,5551493,161788,2280833,11629,131350045035000000,8,34,446,0,43234,0,53537920,10,0,1,0,0,0,5,5,0,125677,1686406250,25781250,1660625000,131350046793587700,0,0,0,0,0,0,0,210,90,5,0,120
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,17,0,0,0,0,5,191,143,0,1,0,0,0,0,0,0,354626,595095552,532553728,2147016704,8166,124902,29885,198172,66824,64264,15627,2560,77967360,18628608,10,46983,36430,33555668,21118976,21594112,77623296,7172096,2408448,5550080,5992448,21118976,130018,581148,567,0,414384128,43061248,50348032,130363392,0,28504,250,31,219,1000000000,5398,31,0,0,0,0,23106,16,203,0,0,0,0,0,1197657000,1197657000,1192908000,1192908000,4749000,4749000,1197657000,1192908000,4749000,12204,11026,1178,204186624,183598592,20588032,204186624,183598592,20588032,1046340000,70,1732031250,42343750,1689687500,2985029632,2579136512,199193,455249920,345968640,344481792,277716992,277716992,446,0,131350046802487569,0,0,3893344,555924,9129,9667,1736,11403,92346,126066714,8933843,135000557,5639915,145203200,1622656250,44687500,74843750,44058,312500,4218750,23150,0,1622656250,1382309527,0,0,23232,0,0,9686,1948,96927,126274448,8962785,5732733,163597,2313640,11634,131350045035000000,9,34,446,0,43234,0,53537920,10,0,1,0,0,0,5,5,0,127165,1696562500,25781250,1670781250,131350046802723501,0,0,0,0,0,0,0,210,90,5,0,120
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,17,0,0,0,0,5,191,143,0,1,0,0,0,0,0,0,354973,594939904,533913600,2147016704,8166,124903,29886,198517,67080,64264,15627,2816,77967360,18616320,11,46985,36427,33555668,21123072,21594112,77623296,7172096,2408448,5550080,5992448,21123072,130350,580996,567,0,413794304,42614784,50786304,130359296,0,28504,250,31,219,1000000000,5398,31,0,0,0,0,23106,16,203,0,0,0,0,0,1197677000,1197677000,1192908000,1192908000,4769000,4769000,1197677000,1192908000,4769000,12208,11026,1182,205259776,183598592,21661184,205259776,183598592,21661184,1057762000,70,1743593750,42968750,1700625000,2985029632,2578612224,199539,455249920,346652672,344481792,279187456,279187456,445,0,131350046811099087,0,0,3893344,555684,9159,9667,1737,11404,94774,126066714,8934977,135001691,5819749,145903616,1632656250,45312500,75781250,44152,312500,4218750,23158,0,1632656250,1392050155,0,0,23299,0,0,9686,1949,99360,126274448,8963919,5912567,165215,2339105,11635,131350045035000000,3,34,445,0,43234,0,53537920,10,0,1,0,0,0,5,5,0,126974,1706250000,25937500,1680312500,131350046811335019,0,0,0,0,0,0,0,210,90,5,0,120
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,17,0,0,0,0,5,191,143,0,1,0,0,0,0,0,0,355373,594755584,535093248,2147016704,8167,124906,29886,198913,67340,64268,15628,3072,77971456,18612224,12,46986,36424,33555668,21118976,21594112,77627392,7172096,2408448,5550080,5992448,21118976,130638,580816,567,0,413036544,42045440,51347456,130371584,0,28504,250,31,219,1000000000,5398,31,0,0,0,0,23106,16,203,0,0,0,0,0,1197760000,1197760000,1192976000,1192976000,4784000,4784000,1197760000,1192976000,4784000,12211,11027,1184,206328832,183614976,22713856,206328832,183614976,22713856,1068653000,70,1754531250,43437500,1711093750,2985029632,2578612224,199898,455249920,347402240,344481792,280760320,280760320,445,0,131350046819356707,0,0,3893248,555620,9127,9667,1738,11405,97215,126066714,8936111,135002825,5999431,146628608,1642343750,45625000,76562500,44238,312500,4218750,23163,0,1642343750,1401410634,0,0,23361,0,0,9686,1950,101796,126274448,8965053,6092249,166814,2364309,11636,131350045035000000,5,34,445,0,43234,0,53537920,10,0,1,0,0,0,5,5,0,128246,1715625000,25312500,1690312500,131350046819592639,0,0,0,0,0,0,0,210,90,5,0,120
