ICMP Messages/sec,129
ICMP Messages Received/sec,122
ICMP Messages Received Errors,171
ICMP Received Dest. Unreachable,123
ICMP Received Time Exceeded,170
ICMP Received Parameter Problem,169
ICMP Received Source Quench,168
ICMP Received Redirect/sec,167
ICMP Received Echo/sec,166
ICMP Received Echo Reply/sec,165
ICMP Received Timestamp/sec,164
ICMP Received Timestamp Reply/sec,163
ICMP Received Address Mask,162
ICMP Received Address Mask Reply,158
ICMP Messages Sent/sec,134
ICMP Messages Outbound Errors,159
ICMP Sent Destination Unreachable,133
ICMP Sent Time Exceeded,157
ICMP Sent Parameter Problem,148
ICMP Sent Source Quench,149
ICMP Sent Redirect/sec,150
ICMP Sent Echo/sec,132
ICMP Sent Echo Reply/sec,147
ICMP Sent Timestamp/sec,153
ICMP Sent Timestamp Reply/sec,154
ICMP Sent Address Mask,152
ICMP Sent Address Mask Reply,156
IPv4 Datagrams/sec,98
IPv4 Datagrams Received/sec,127
IPv4 Datagrams Received Header Errors,161
IPv4 Datagrams Received Address Errors,131
IPv4 Datagrams Forwarded/sec,190
IPv4 Datagrams Received Unknown Protocol,124
IPv4 Datagrams Received Discarded,141
IPv4 Datagrams Received Delivered/sec,117
IPv4 Datagrams Sent/sec,97
IPv4 Datagrams Outbound Discarded,199
IPv4 Datagrams Outbound No Route,135
IPv4 Fragments Received/sec,198
IPv4 Fragments Re-assembled/sec,197
IPv4 Fragment Re-assembly Failures,196
IPv4 Fragmented Datagrams/sec,195
IPv4 Fragmentation Failures,194
IPv4 Fragments Created/sec,203
Memory Page Faults/sec,61
Memory Available Bytes,59
Memory Committed Bytes,48
Memory Commit Limit,176
Memory Write Copies/sec,95
Memory Transition Faults/sec,87
Memory Cache Faults/sec,68
Memory Demand Zero Faults/sec,63
Memory Pages/sec,82
Memory Pages Input/sec,81
Memory Page Reads/sec,93
Memory Pages Output/sec,99
Memory Pool Paged Bytes,71
Memory Pool Nonpaged Bytes,76
Memory Page Writes/sec,120
Memory Pool Paged Allocs,92
Memory Pool Nonpaged Allocs,105
Memory Free System Page Table Entries,143
Memory Cache Bytes,54
Memory Cache Bytes Peak,51
Memory Pool Paged Resident Bytes,72
Memory System Code Total Bytes,145
Memory System Code Resident Bytes,103
Memory System Driver Total Bytes,121
Memory System Driver Resident Bytes,112
Memory System Cache Resident Bytes,53
Memory % Committed Bytes In Use,96
Memory Available KBytes,94
Memory Available MBytes,128
Memory Transition Pages RePurposed/sec,78
Memory Free & Zero Page List Bytes,42
Memory Modified Page List Bytes,64
Memory Standby Cache Reserve Bytes,45
Memory Standby Cache Normal Priority Bytes,43
Memory Standby Cache Core Bytes,151
Network Interface Bytes Total/sec,84
Network Interface Packets/sec,102
Network Interface Packets Received/sec,125
Network Interface Packets Sent/sec,101
Network Interface Current Bandwidth,144
Network Interface Bytes Received/sec,90
Network Interface Packets Received Unicast/sec,126
Network Interface Packets Received Non-Unicast/sec,138
Network Interface Packets Received Discarded,172
Network Interface Packets Received Errors,160
Network Interface Packets Received Unknown,155
Network Interface Bytes Sent/sec,85
Network Interface Packets Sent Unicast/sec,100
Network Interface Packets Sent Non-Unicast/sec,118
Network Interface Packets Outbound Discarded,173
Network Interface Packets Outbound Errors,175
Network Interface Output Queue Length,174
Network Interface Offloaded Connections,201
PhysicalDisk Current Disk Queue Length,142
PhysicalDisk % Disk Time,12
